string,string,string,localized_a,string,string,string,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string
0,,none,a&ATTACHMENTS/NO_ATTACHMENT,none,none,,a&ATTACHMENTS/NO_ATTACHMENT,,0,0,FALSE,,,0,0,0,0,0,,weapon_missing_image
1,,rail,a&ATTACHMENTS_ACOG_SCOPE,acog,acog,placeholder_x,a&ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,attachment_acogdigital_vm,0,0,TRUE,rifle,,8,0,10,0,0,,attachment_icon_showcase_acog
2,,rail,a&ATTACHMENTS_ACOG_SCOPE,acogake,acog,placeholder_x,a&ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,attachment_acogdigital_vm,0,0,TRUE,rifle,ake,8,0,10,0,0,,attachment_icon_showcase_acog
3,,rail,a&ATTACHMENTS_ACOG_SCOPE,acogake_gold,acog,placeholder_x,a&ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,attachment_acogdigital_vm_gold,0,0,TRUE,rifle,ake_gold,8,0,10,0,0,,attachment_icon_showcase_acog
4,,rail,a&ATTACHMENTS_ACOG_SCOPE,acogsmg,acog,placeholder_x,a&ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,attachment_acogdigital_vm,0,0,TRUE,smg,,8,0,10,0,0,,attachment_icon_showcase_acog
5,,rail,a&ATTACHMENTS_ACOG_SCOPE_NO_ALT,acogsmgnoalt,acog,placeholder_x,a&ATTACHMENTS_ACOG_NO_ALT,attachment_acogdigital_sniper_vm,0,0,TRUE,smg,ripper,erad,8,0,10,0,0,,attachment_icon_showcase_acog
6,,rail,a&ATTACHMENTS_ACOG_SCOPE,acogpistol,acog,placeholder_x,a&ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,attachment_acogdigital_vm,0,0,TRUE,,,8,0,10,0,0,,attachment_icon_showcase_acog
7,,rail,a&ATTACHMENTS_ACOG_SCOPE,acoglmg,acog,placeholder_x,a&ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,attachment_acogdigital_sniper_vm,0,0,TRUE,mg,,8,0,10,0,0,,attachment_icon_showcase_acog
8,,rail,a&ATTACHMENTS_ACOG_SCOPE_NO_ALT,acogarnoalt,acog,placeholder_x,a&ATTACHMENTS_ACOG_NO_ALT,attachment_acogdigital_sniper_vm,0,0,TRUE,rifle,fmg,8,0,10,0,0,,attachment_icon_showcase_acog
9,,rail,a&ATTACHMENTS_ACOG_SCOPE_NO_ALT,acogkbs,acog,placeholder_x,a&ATTACHMENTS_ACOG_NO_ALT,attachment_acogdigital_sniper_vm,0,0,TRUE,sniper,kbs,stasis,-14,0,-14,0,0,,attachment_icon_showcase_acog
10,,rail,a&ATTACHMENTS_ACOG_SCOPE_NO_ALT,acogm8,acog,placeholder_x,a&ATTACHMENTS_ACOG_NO_ALT,attachment_acogdigital_sniper_vm,0,0,TRUE,sniper,m8,-14,0,-14,0,0,,attachment_icon_showcase_acog
11,,rail,a&ATTACHMENTS_ACOG_SCOPE,acogm4,acog,placeholder_x,a&ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,attachment_acogdigital_vm,0,0,TRUE,rifle,m4,8,0,10,0,0,,attachment_icon_showcase_acog
12,,rail,a&ATTACHMENTS_ACOG_SCOPE_NO_ALT,acoglmgnoalt,acog,placeholder_x,a&ATTACHMENTS_ACOG_NO_ALT,attachment_acogdigital_sniper_vm,0,0,TRUE,mg,mauler,8,0,10,0,0,,attachment_icon_showcase_acog
13,,rail,a&ATTACHMENTS_RED_DOT_SIGHT,reflex,reflex,placeholder_x,a&ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,reflex_base_vm,0,0,TRUE,rifle,,3,0,3,0,0,,attachment_icon_showcase_reflex
