string,string,string,string,string
tagReject,nodmz,100,,
tagReject,nodrop,100,,
rollChance,tactical,14,,
rollChance,valuable,47,,
rollChance,super,14,,
rollChance,lethal,14,,
rollChance,key,7,,
rollChance,weapon,2,,
rollChance,killstreak,1,,
rollChance,personal,23,,
item,brloot_balloon_extract,1,,
item,brloot_killstreak_assaultdrone,1,,
item,brloot_killstreak_recondrone,12,,
item,brloot_offhand_atmine,2,,
item,brloot_offhand_binoculars,1,,
item,brloot_offhand_c4,3,,
item,brloot_offhand_claymore,2,,
item,brloot_offhand_concussion,3,,
item,brloot_offhand_decoy,5,,
item,brloot_offhand_deployed_decoy,6,,
item,brloot_offhand_flash,3,,
item,brloot_offhand_gas,2,,
item,brloot_offhand_shockstick,3,,
item,brloot_offhand_smoke,8,,
item,brloot_offhand_snapshot,4,,
item,brloot_offhand_taccover,12,,
item,brloot_offhand_thermite,1,,
item,brloot_offhand_trophysystem,5,,
item,brloot_personal_oldwatch,1,,
item,brloot_personal_pictureofacat,1,,
item,brloot_personal_pictureofadog,1,,
item,brloot_personal_toyknife,1,,
item,brloot_super_deadsilence,2,,
item,brloot_super_emppulse,4,,
item,brloot_super_tacticalcamera,8,,
item,brloot_valuable_battery,70,,
item,brloot_valuable_drill,20,,
item,brloot_valuable_electroniccomponents,30,,
item,brloot_valuable_gunoil,10,,
item,brloot_valuable_wrench,120,,
item,brloot_valuable_gold_skull,1,,
item,loot_key_fortress,1,,
tagChance,key&pristine&keytier2,1,,
tagChance,key&used&keytier2,2,,
tagChance,key&pristine&keytier1,4,,
tagChance,key&used&keytier1,5,,
tagChance,key&used&hero,1,,
tagChance,weapon&small&[0-1],10,,
tagChance,weapon&small&[2-3],2,0,100
tagChance,weapon&small&4,1,0,50
item,brloot_valuable_screwdriver,14,0,15
reqAdd,,1,,
reqAdd,,1,,
reqAdd,,1,,
