string,string,string,string,string
tagReject,nodmz,100,,
tagReject,nodrop,100,,
rollChance,tactical,20,,
rollChance,gear,10,,
rollChance,revive,2,,
rollChance,valuable,12,,
rollChance,personal,15,,
rollChance,super,10,,
tagChance,key&worn,20,,
tagChance,key&pristine,10,,
item,brloot_valuable_soothinglotion,5,,
item,brloot_valuable_liquor,1,,
item,brloot_valuable_lighter,2,,
item,brloot_valuable_bandage,4,,
item,brloot_super_stimpistol,3,,
item,brloot_super_battlerage,2,,
item,brloot_self_revive,2,,
item,brloot_personal_cancermedication,10,,
item,brloot_offhand_heartbeatsensor,1,,
item,brloot_health_adrenaline,25,,
item,brloot_equip_iodine_pills,10,,
item,brloot_equip_gasmask_durable,1,,
item,brloot_equip_gasmask,2,,
reqAdd,,1,0,100
reqAdd,,1,0,50
reqAdd,,1,0,15
