string,string,string,string,string
tagReject,nodmz,100,,
tagReject,nodrop,100,,
rollChance,health,22,,
rollChance,plunder,6,,
rollChance,weapon,3,,
rollChance,gear,11,,
rollChance,key,6,,
rollChance,valuable,5,,
rollChance,personal,15,,
rollChance,plate_carrier,2,,
tagChance,health,1,,
tagChance,plunder&[0-1],1,,
item,brloot_plate_carrier_2,20,,
item,brloot_backpack_medium,9,,
item,brloot_backpack_large,1,,
item,loot_key_fortress,1,,
tagChance,key&pristine&keytier2,1,,
tagChance,key&used&keytier2,2,,
tagChance,key&pristine&keytier1,4,,
tagChance,key&used&keytier1,5,,
tagChance,personal,10,,
item,brloot_plate_carrier_3,1,,
item,brloot_valuable_comicbook,200,,
item,brloot_valuable_laptop,100,,
item,brloot_valuable_goldbar,10,,
item,brloot_valuable_game_console,70,,
item,brloot_valuable_folder,40,,
item,brloot_valuable_gold_skull,1,,
tagChance,weapon&small&0,1,,
reqAdd,,1,0,100
reqAdd,,1,0,45
reqAdd,,1,0,25
