string,string,string,string,string
tagReject,nodmz,100,,
tagReject,nodrop,100,,
rollChance,plunder,24,,
rollChance,key,6,,
rollChance,valuable,10,,
rollChance,personal,50,,
rollChance,plate_carrier,2,,
rollChance,gear,4,,
rollChance,weapon,2,,
item,loot_key_fortress,1,,
tagChance,key&pristine&keytier2,1,,
tagChance,key&used&keytier2,2,,
tagChance,key&pristine&keytier1,4,,
tagChance,key&used&keytier1,5,,
tagChance,personal,1,,
tagChance,plunder&0,1,,
item,brloot_valuable_laptop,30,,
item,brloot_valuable_liquor,10,,
item,brloot_valuable_comicbook,30,,
item,brloot_valuable_game_console,20,,
item,brloot_valuable_watch,30,,
item,brloot_valuable_gold_skull,1,,
item,brloot_plate_carrier_2,1,,
item,brloot_backpack_medium,50,,
item,brloot_backpack_large,1,,
item,brloot_equip_gasmask,15,,
tagChance,weapon&0,99,,
tagChance,weapon&[1-4],1,,
item,brloot_personal_heartlocket,20,,
item,brloot_personal_smalldoll,20,,
reqAdd,,1,0,100
reqAdd,,1,0,50
reqAdd,,1,0,25
