string,string,string,string,string
tagReject,nodmz,100,,
tagReject,nodrop,100,,
rollChance,super,2,,
rollChance,weapon,1,,
rollChance,plate_carrier,1,,
rollChance,gear,1,,
item,brloot_plate_carrier_2,3,,
item,brloot_plate_carrier_3,2,,
item,brloot_super_munitionsbox,1,,
item,brloot_super_armorbox,1,,
tagChance,weapon&[2]&(medium|large),6,,
tagChance,weapon&[3-4]&small,3,,
tagChance,weapon&[3]&(medium|large),2,,
item,brloot_backpack_large,2,,
item,brloot_backpack_medium,3,,
reqAdd,weapon,2,0,100
reqAdd,gear,1,0,100
reqAdd,plate_carrier,1,0,100
reqAdd,,1,0,100
