string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
setchancecol,mp/loot/br/dmz/lootset_root.csv,2,,# root,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_global.csv,3,,# global,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_hotzone_on_test.csv,4,,# hotzone,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_hotzone_off_test.csv,5,,# hotzone_on_test,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_agent_backpack.csv,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_gascan_zone.csv,7,,# gas can,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_office_cabinet.csv,8,,# office cabinet,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_supply_drop_samsite.csv,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_saba_hospital.csv,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_saba_ambulance.csv,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_saba_medicaltent.csv,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_saba_blackmarket.csv,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_saba_gasstation.csv,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_saba_military.csv,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_saba_industrial.csv,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_saba_policestation.csv,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_saba_embassy.csv,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_saba_bank.csv,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_saba_ship.csv,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_saba_store.csv,21,,# cache_spawns,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_cache_base.csv,22,,# cache_base,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_cache_lege.csv,23,,# cache_lege,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_hotzone.csv,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_locked_space_tier1.csv,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_locked_space_tier2.csv,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_locked_space_tier3.csv,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_ls_weapon_tier1.csv,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_ls_weapon_tier2.csv,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/dmz/lootset_ls_weapon_tier3.csv,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tagReject,nodmz,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rollChance,ammo,,0,0,1,0,0,100,100,0,0,0,20,0,45,20,45,0,0,20,8,2,0,0,5,5,5,0,0,0
rollChance,health,,0,0,0,0,0,100,31,10,10,10,0,0,45,30,45,30,3,0,30,31,0,0,0,0,0,0,0,0
rollChance,plunder,,0,0,0,40,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,10,10,10,0,0,0
rollChance,killstreak,,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollChance,lethal,,0,0,0,20,0,20,13,0,0,0,7,0,30,0,30,0,0,0,7,13,130,0,0,0,0,0,0,0
rollChance,tactical,,0,0,0,40,0,20,20,5,5,5,8,8,8,8,8,0,0,8,8,20,200,0,0,0,0,0,0,0
rollChance,super,,0,0,0,0,0,0,10,0,0,0,3,0,10,0,10,10,0,0,0,10,100,0,0,0,0,0,0,0
rollChance,weapon,,0,0,0,0,0,1,6,0,0,0,2,0,5,0,5,0,0,0,0,3,10,0,0,0,0,1,1,1
rollChance,gear,,0,0,0,0,0,0,0,5,5,5,3,3,8,8,8,0,0,0,0,4,80,0,3,3,3,0,0,0
rollChance,revive,,0,0,0,0,0,0,2,5,2,2,1,0,1,0,0,0,0,0,0,2,20,0,5,5,5,0,0,0
rollChance,tablet,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollChance,keycard,,0,0,0,0,0,0,35,5,5,5,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
rollChance,key,,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0
rollChance,valuable,,25,0,0,16,0,200,0,5,0,0,3,3,3,60,3,3,20,25,10,0,5,25,10,10,10,0,0,0
rollChance,xp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollChance,activitystarter,,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0
rollChance,attachment,,0,0,0,0,0,20,0,0,0,0,4,0,25,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
rollChance,mission,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
rollChance,personal,,0,0,0,4,0,250,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollChance,gascan,,0,0,0,0,100,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollChance,plate_carrier,,0,10,10,0,0,0,10,0,0,0,6,0,6,0,6,10,1,0,0,6,6,0,5,10,15,0,0,0
item,brloot_ammo_12g,,15,15,1,15,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0
item,brloot_ammo_50cal,,23,23,0,23,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0,0,0
item,brloot_ammo_762,,30,30,0,30,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0
item,brloot_ammo_919,,23,23,0,23,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0,0,0
item,brloot_ammo_rocket,,9,9,0,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0
item,brloot_equip_gasmask,,30,0,0,0,0,0,0,20,20,20,20,20,30,30,30,30,30,30,30,5,0,30,30,30,30,0,0,0
item,brloot_equip_gasmask_durable,,0,0,0,0,0,0,0,5,5,5,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
item,brloot_equip_iodine_pills,,15,0,0,0,0,0,0,40,40,40,10,40,0,15,15,15,15,15,15,3,0,15,15,15,15,0,0,0
item,brloot_backpack_medium,,50,0,0,0,0,0,0,40,40,40,20,40,50,50,50,50,50,50,50,10,0,50,50,50,50,0,0,0
item,brloot_backpack_large,,0,0,0,0,0,0,0,5,5,5,5,0,10,0,10,0,0,0,0,1,10,0,0,0,0,0,0,0
item,brloot_plate_carrier_2,,10,0,0,0,0,0,0,20,20,20,10,10,10,10,10,10,10,10,10,10,25,10,1,1,0,0,0,0
item,brloot_plate_carrier_3,,0,0,0,0,0,0,0,10,10,10,2,0,2,0,2,0,0,0,0,0,75,0,0,1,1,0,0,0
item,brloot_self_revive,,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,1,1,0,0,0
tagChance,0&lethal,,50,45,45,50,0,50,45,50,50,50,50,50,50,50,50,50,50,50,50,45,0,50,50,10,10,0,0,0
tagChance,1&lethal,,30,30,30,30,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5,30,30,50,20,0,0,0
tagChance,2&lethal,,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,20,20,30,50,0,0,0
tagChance,3&lethal,,0,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,40,0,0,20,20,0,0,0
tagChance,4&lethal,,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,10,0,0,0
tagChance,0&tactical,,50,45,45,0,0,50,45,0,0,0,45,50,45,50,45,50,50,50,50,45,0,50,50,10,10,0,0,0
tagChance,1&tactical,,30,30,30,0,0,30,30,0,0,0,30,30,30,30,30,30,30,30,30,30,5,30,30,50,30,0,0,0
tagChance,2&tactical,,20,20,20,0,0,20,20,0,0,0,20,20,20,20,20,20,20,20,20,20,10,20,20,30,50,0,0,0
tagChance,3&tactical,,0,10,10,0,0,0,10,0,0,0,10,0,10,0,10,0,0,0,0,10,40,0,0,20,30,0,0,0
tagChance,4&tactical,,0,5,5,0,0,0,5,0,0,0,5,0,5,0,5,0,0,0,0,5,20,0,0,2,10,0,0,0
item,brloot_health_adrenaline,,0,100,100,50,0,0,100,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_offhand_binoculars,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_offhand_geigercounter,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tagChance,0&super,,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,0,40,40,20,10,0,0,0
tagChance,1&super,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5,30,30,40,20,0,0,0
tagChance,2&super,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,20,20,30,40,0,0,0
tagChance,3&super,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,40,10,10,10,20,0,0,0
tagChance,4&super,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,5,5,5,5,0,0,0
item,brloot_plunder_extract,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_offhand_advancedsupplydrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tagChance,0&weapon,,0,0,0,0,0,300,30,0,0,0,40,0,40,0,40,0,0,0,0,40,0,0,70,0,0,70,0,0
tagChance,1&weapon,,0,0,0,0,0,400,35,0,0,0,30,0,30,0,30,0,0,0,0,30,5,0,20,75,30,20,75,30
tagChance,2&weapon,,0,0,0,0,0,200,20,0,0,0,20,0,20,0,20,0,0,0,0,20,10,0,10,20,60,10,20,60
tagChance,3&weapon,,0,0,0,0,0,100,10,0,0,0,10,0,10,0,10,0,0,0,0,10,40,0,0,5,8,0,5,8
tagChance,4&weapon,,0,0,0,0,0,1,5,0,0,0,5,0,5,0,5,0,0,0,0,5,20,0,0,0,2,0,0,2
tagChance,0&health,,25,0,0,25,0,25,0,0,0,0,0,25,0,25,0,25,25,25,25,0,0,25,25,25,25,0,0,0
tagChance,1&health,,35,0,0,35,0,35,0,0,0,0,0,35,0,35,0,35,35,35,35,0,0,35,35,35,35,0,0,0
tagChance,2&health,,40,50,50,40,0,40,50,50,50,50,50,40,50,40,50,40,40,40,40,70,50,40,40,40,40,0,0,0
tagChance,3&health,,0,30,30,0,0,0,30,30,30,30,30,0,30,0,30,0,0,0,0,25,30,0,0,0,0,0,0,0
tagChance,4&health,,0,10,10,0,0,0,10,10,10,10,10,0,10,0,10,0,0,0,0,5,10,0,0,0,0,0,0,0
item,brloot_plunder_cash_common_1,,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
item,brloot_plunder_cash_uncommon_1,,50,0,0,50,0,30,0,0,0,0,0,50,0,50,0,50,50,50,50,20,0,50,50,0,0,0,0,0
item,brloot_plunder_cash_uncommon_2,,35,0,0,35,0,20,0,0,0,0,0,35,0,35,0,35,35,35,35,30,0,35,35,50,0,0,0,0
item,brloot_plunder_cash_uncommon_3,,15,0,50,15,0,0,50,0,0,0,0,15,0,15,0,15,15,15,15,30,20,15,15,35,50,0,0,0
item,brloot_plunder_cash_rare_1,,1,0,50,1,0,0,50,0,0,0,0,1,0,1,0,1,1,1,1,10,30,1,1,15,35,0,0,0
item,brloot_plunder_cash_rare_2,,0,0,0,0,0,0,0,20,20,20,20,0,20,0,20,0,0,0,0,0,30,0,0,1,15,0,0,0
item,brloot_plunder_cash_epic_1,,0,0,0,0,0,0,0,35,35,35,35,0,35,0,35,0,0,0,0,0,10,0,0,0,1,0,0,0
item,brloot_plunder_cash_epic_2,,0,0,0,0,0,0,0,30,30,30,30,0,30,0,30,0,0,0,0,0,5,0,0,0,0,0,0,0
item,brloot_plunder_cash_legendary_1,,0,1,0,0,0,0,0,15,15,15,15,0,15,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0
tagChance,0&killstreak,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
tagChance,1&killstreak,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
tagChance,2&killstreak,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
tagChance,3&killstreak,,0,50,50,0,0,0,0,50,50,50,50,0,0,0,0,0,0,0,0,20,50,0,0,0,0,0,0,0
tagChance,4&killstreak,,0,50,50,0,0,0,0,50,50,50,50,0,0,0,0,0,0,0,0,20,50,0,0,0,0,0,0,0
item,brloot_assassination_tablet,,20,20,20,20,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0
item,brloot_domination_tablet,,20,20,20,20,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0
item,brloot_scavenger_tablet,,20,20,20,20,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0
item,brloot_timedrun_tablet,,20,20,20,20,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0
item,brloot_vip_tablet,,20,20,20,20,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0
item,brloot_access_card_blue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_access_card_green,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_access_card_red,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_access_card_blue_stadium_parking,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_access_card_blue_stadium_executive,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_access_card_blue_stadium_concourse,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,loot_key_fortress,,0,100,100,0,0,0,40,20,20,20,20,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0,0,0
tagChance,0&noDrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tagChance,1&noDrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tagChance,2&noDrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tagChance,3&noDrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tagChance,4&noDrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_valuable_harddrive,,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
item,brloot_valuable_goldbar,,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,1,1,1,0,0,0
item,brloot_valuable_laptop,,10,10,10,10,0,10,0,0,0,0,5,0,10,0,10,0,0,0,0,0,0,0,1,1,1,0,0,0
item,brloot_valuable_liquor,,10,10,10,10,0,0,0,0,0,0,5,10,10,10,10,0,0,10,10,0,0,0,1,1,1,0,0,0
