string,string,string,string,string
tagReject,nodmz,100,,
tagReject,nodrop,100,,
rollChance,valuable,21,,
rollChance,plunder,2,,
rollChance,ammo,1,,
tagChance,plunder&1,19,,
tagChance,plunder&2,1,,
item,brloot_valuable_liquor,150,,
item,brloot_valuable_cannedfood,250,,
item,brloot_valuable_freshwater,180,,
item,brloot_valuable_importedtea,80,,
item,brloot_valuable_mre,120,,
item,brloot_valuable_wine,210,,
item,brloot_valuable_wine_aged,80,,
item,brloot_valuable_wine_vintage,10,,
item,brloot_valuable_gold_skull,1,,
tagChance,ammo,1,,
reqAdd,,1,0,100
reqAdd,,1,0,35
reqAdd,,1,0,25
