string,string,localized,string,string,string,string,string
-,veh9_mil_lnd_atv_physics_mp,&VEHICLES/ATV,hud_icon_vehicle_mil_atv,,,hud_icon_minimap_vehicle_atv,72
-,veh9_mil_lnd_utv_physics_mp,&VEHICLES/UTV,hud_icon_vehicle_utv,,,hud_icon_minimap_vehicle_utv,72
-,veh9_mil_lnd_apc_8x8_amphibious_physics_mp,&VEHICLES/APC_RUS,hud_icon_vehicle_apc,,,hud_icon_minimap_vehicle_apc,100
-,veh9_mil_lnd_tank_physics_mp,&VEHICLES/LIGHT_TANK,hud_icon_vehicle_tank_coscar,,,hud_icon_minimap_vehicle_tank_coscar,72
-,veh9_mil_lnd_tank_cougar_physics_mp,&VEHICLES/COUGAR,hud_icon_vehicle_tank_cougar,,,hud_icon_minimap_vehicle_tank_cougar,72
-,veh9_mil_air_heli_medium_physics_mp,&VEHICLES/LITTLE_BIRD,hud_icon_vehicle_heli_medium,,,hud_icon_minimap_vehicle_heli_medium,72
-,veh9_mil_air_heli_palfa_physics_mp,&VEHICLES/PALFA,hud_icon_vehicle_palfa,,,hud_icon_minimap_vehicle_palfa,72
-,veh9_mil_air_heli_blima_physics_mp,&VEHICLES/BLIMA,,,,ui_mp_br_mapmenu_icon_vehicle_plunderchopper,100
-,veh9_rhib_physics_mp,&VEHICLES/RHIB,hud_icon_vehicle_rhib,,,hud_icon_minimap_vehicle_rhib,64
-,veh9_armored_patrol_boat_physics_mp,&VEHICLES/ARMORED_PATROL_BOAT,hud_icon_vehicle_armored_patrol,,,hud_icon_minimap_vehicle_armored_patrol,100
-,veh9_jltv_physics_mp,&VEHICLES/JLTV,hud_icon_vehicle_jltv,,,hud_icon_minimap_vehicle_jltv,80
-,veh9_jltv_mg_physics_mp,&VEHICLES/JLTV,hud_icon_vehicle_jltv_mg,,,hud_icon_minimap_vehicle_jltv_mg,100
-,veh9_suv_1996_physics_mp,&VEHICLES/SUV_1996,hud_icon_vehicle_suv_1996,,,hud_icon_minimap_vehicle_suv_1996,100
-,veh9_sedan_hatchback_1985_physics_mp,&VEHICLES/SEDAN_1985,hud_icon_vehicle_sedan_hatchback_1985,,,hud_icon_minimap_vehicle_sedan_hatchback_1985,100
-,veh9_pickup_fullsized_2014_physics_mp,&VEHICLES/PICKUP_2014,hud_icon_vehicle_pickup_2014,,,hud_icon_minimap_vehicle_pickup_2014,100
-,veh9_civ_lnd_pickup_fullsized_2014_tech_armor_physics_mp,&VEHICLES/TECHO_REBEL_ARMOR,hud_icon_vehicle_techo_rebel_armor,,,hud_icon_minimap_vehicle_techo_rebel_armor,100
-,veh9_mil_lnd_cargo_truck_physics_mp,&VEHICLES/CARGO_TRUCK,hud_icon_vehicle_mil_cargo_truck,,,hud_icon_minimap_vehicle_mil_cargo_truck,100
-,veh9_civ_lnd_pickup_1992_chop_physics_mp,&VEHICLES/CHOPPED_PICKUP,hud_icon_vehicle_pickup_1992_chop,,,hud_icon_minimap_vehicle_pickup_1992_chop,100
-,veh9_techo_physics_mp,&VEHICLES/TECHO,hud_icon_vehicle_techo,,,hud_icon_minimap_vehicle_techo,100
-,veh9_suv_overland_2016_cage_wz_physics_mp,&VEHICLES/OVERLAND_2016,hud_icon_vehicle_suv_overland_2016_cage,,,hud_icon_minimap_vehicle_suv_overland_2016_cage,100
-,veh9_mil_lnd_cargo_truck_physics_mp,&VEHICLES/CARGO_TRUCK,hud_icon_vehicle_mil_cargo_truck,,,hud_icon_minimap_vehicle_mil_cargo_truck,100
-,veh9_civ_lnd_hummer_physics_mp,&VEHICLES/HUMMER,hud_icon_vehicle_hummer,,,hud_icon_minimap_vehicle_hummer,100
-,veh_airdrop_escort_dmz,&MP_DMZ_MISSIONS/BOSS_CHOPPER_HINDIA,,veh_airdrop_escort_dmz,,,100
veh_cruise_predator_mp,KILLSTREAKS/CRUISE_PREDATOR,&hud_icon_killstreak_cruise_missile,,,hud_icon_minimap_killstreak_cruise_missile,72,
veh_airdrop_escort_mp_phys,KILLSTREAKS/AIRDROP_ESCORT,&hud_icon_vehicle_heli_hind,,,hud_icon_minimap_vehicle_heli_hind,72,
veh_airdrop_mp_phys,KILLSTREAKS/AIRDROP,&hud_icon_vehicle_heli_medium,,,hud_icon_minimap_vehicle_heli_medium,72,
-,veh_apache_mp_phys,&KILLSTREAKS/CHOPPER_GUNNER,hud_icon_killstreak_chopper_gunner,veh_apache_mp,,hud_icon_minimap_killstreak_chopper_gunner,100
