string,string,string,localized,string,string,string,string,string,string,localized,string,string,string,localized,string,string,string,string
0,execution_default,debug_only,&EXECUTIONS/LYNCH_DEFAULT,0,200,0,5,icon_execution_base,4,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_001,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
1,neck_stab,debug_only,&EXECUTIONS/LYNCH_DEFAULT,0,200,0,5,icon_execution_base,4,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_001,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
2,execution_mp_juggernaut_01,jugg_only,&EXECUTIONS/LYNCH_DEFAULT,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,jug_execution_000_stand_mp_2,iw9_lm_dblmg_execution_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
3,execution_mp_juggernaut_02,jugg_only,&EXECUTIONS/LYNCH_DEFAULT,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,jug_execution_001_stand_mp_4,iw9_lm_dblmg_execution_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
4,execution_mp_juggernaut_03,jugg_only,&EXECUTIONS/LYNCH_DEFAULT,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,jug_execution_002_stand_mp_8,iw9_lm_dblmg_execution_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
5,execution_000,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_000,iw9_execution_knife,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
6,execution_001,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_001,iw9_execution_knife,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
7,execution_002,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_002,iw9_execution_pistol,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
8,execution_003,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_003,iw9_execution_pistol,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
9,execution_004,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_004,iw9_execution_sword,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
10,execution_005,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_005,iw9_execution_sword,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
11,execution_006,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_006,iw9_execution_ar,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
12,execution_007,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_007,iw9_execution_ar,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
13,execution_008,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_008,iw9_execution_sh,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
14,execution_009,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_009,iw9_execution_sh,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
15,execution_010,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_010,iw9_execution_lm,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
16,execution_011,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_011,iw9_execution_lm,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
17,execution_012,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_012,iw9_execution_sn,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
18,execution_013,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_013,iw9_execution_sn,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
19,execution_014,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_014,iw9_execution_hammer,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
