string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
setchancecol,mp/loot/br/sealion/resurgence/lootset_global.csv,3,,# global,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_named_Location.csv,4,,# named_Location,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_supply_drop.csv,5,,# supply_drop,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_base.csv,6,,# cache_base,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_lege.csv,7,,# cache_lege,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_stronghold.csv,8,,# cache_stronghold,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_blacksite.csv,9,,# cache_blacksite,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_stronghold_black.csv,10,,# stronghold_black,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_stronghold_high.csv,11,,# stronghold_high,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/resurgence/lootset_reusable_cache.csv,12,,# cache_reusable,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_cash_register.csv,13,,# cache_cash_register,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_duffel_bag.csv,14,,# cache_duffel_bag,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_hidden_container.csv,15,,# cache_hidden_container,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_medical_box_wall.csv,16,,# cache_medical_box,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_medicine_cabinet.csv,17,,# cache_medicine_cab,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_weapon_locker.csv,18,,# cache_weapon_locker,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/resurgence/lootset_agent_backpack.csv,19,,# agent_backpack,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_blacksite_boss_backpack.csv,20,,# blacksite_boss_backpack,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_asn.csv,21,,# contract_asn,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_dom.csv,22,,# contract_dom,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_scav1.csv,23,,# contract_scav1,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_scav2.csv,24,,# contract_scav2,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_scav3.csv,25,,# contract_scav3,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_safe1.csv,26,,# contract_safe1,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_empty.csv,27,,# empty,,,,,,,,,,,,,,,,,,,,,,,,
