string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int
setchancecol,mp/loot/br/delta/resurgence/lootset_global.csv,3,,# global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_named_Location.csv,4,,# named_Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_supply_drop.csv,5,,# supply_drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_cache_base.csv,6,,# cache_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_cache_lege.csv,7,,# cache_lege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_reusable_cache.csv,8,,# cache_reusable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_cache_cash_register.csv,9,,# cache_cash_register,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_cache_duffel_bag.csv,10,,# cache_duffel_bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_cache_hidden_container.csv,11,,# cache_hidden_container,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_cache_medical_box_wall.csv,12,,# cache_medical_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_cache_medicine_cabinet.csv,13,,# cache_medicine_cab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_cache_weapon_locker.csv,14,,# cache_weapon_locker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_agent_backpack.csv,15,,# agent_backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
