string,string,string,string,string,string
inherit,mp/loot/br/delta/resurgence/lootset_root.csv,,,,
reqAdd,ammo,1,,,# require ammo
reqAdd,plunder,1,,50,# chance for plunder
reqAdd,weapon,1,1,,# require a weapon
reqAdd,,1,,75,# chance for any item of any quality
reqLimit,perkpack,,1,,
reqAdd,brloot_armor_plate,1,1,,# require an armor plate
reqLimit,brloot_armor_plate,1,1,,# limit plates
reqLimit,ammo,1,1,,# limit ammo
reqAdd,brloot_offhand_magsnap|brloot_super_hauntedbox,1,1,25,# More chance of having MagSnap or Haunted Box
