string,string,string,string,string,string,int
0,weapon,none,,,,0
573,attachment,bolt_lgt_p20,0,iw9,,0
574,attachment,reflex02,1,iw9,,0
575,attachment,bar_ar_shorthvy_p01,2,iw9,,0
578,attachment,ammo_50p_op,3,iw9,LAUNCH,0
585,attachment,bar_br_short_p18,4,iw9,,0
593,attachment,stock_sh_light_p12,6,iw9,,0
595,attachment,lasercyl_ads03,7,iw9,,0
597,attachment,ammo_762n_hp,8,iw9,LAUNCH,0
599,attachment,grip_angled11,9,iw9,LAUNCH,0
601,attachment,pgrip_aim_p09,10,iw9,LAUNCH,0
602,attachment,ammo_762s_ap,11,iw9,LAUNCH,0
603,attachment,bolt_lgt_p12,12,iw9,,0
604,attachment,rec_la700,13,iw9,,0
609,attachment,bar_sn_heavy_p20,14,iw9,,0
620,attachment,ammo_458s_ap,17,iw9,LAUNCH,0
621,attachment,silencer06_ar,18,iw9,,0
623,attachment,flash_dm_03,19,iw9,,0
625,attachment,ammo_556n_hp,20,iw9,LAUNCH,0
628,attachment,stock_ar_p05,21,iw9,,0
630,attachment,ammo_9p_hp,22,iw9,LAUNCH,0
632,attachment,iw9_ironsdefault_beta,23,iw9,,0
633,attachment,bar_lm_p03,24,iw9,,0
635,attachment,stock_ar_p04,25,iw9,,0
636,attachment,bar_sh_short_p12,26,iw9,,0
639,attachment,lasercyl_ads02,28,iw9,,0
640,attachment,bar_dm_hvyass_p38,29,iw9,,0
646,attachment,pgrip_aim_p23,30,iw9,LAUNCH,0
650,attachment,bar_lm_long_p04,32,iw9,,0
652,attachment,bolt_hvy_p20,33,iw9,,0
656,attachment,bar_pi_long_p27,34,iw9,,0
659,attachment,thermal01,35,iw9,,0
662,attachment,silencer06_dm,36,iw9,,0
666,attachment,iw9_rec_scharlie,38,iw9,,0
675,attachment,mag_sm_p01,40,iw9,,0
676,attachment,laserbox_ads02,41,iw9,,0
681,attachment,ub_gl_akilo,42,iw9,,0
683,attachment,bar_ar_short_p02,43,iw9,,0
685,attachment,barsil_sm_p07,44,iw9,,0
686,attachment,trigger_hair_p24,45,iw9,,0
689,attachment,bartube_sh_short_p13,46,iw9,,0
690,attachment,bar_ar_hvylong_p04,47,iw9,,0
693,attachment,ammo_9p_ap,48,iw9,LAUNCH,0
696,attachment,stockr_dm_p18,49,iw9,,0
697,attachment,ironsdefault_mpapa7,50,iw9,,0
701,attachment,tube_7_12g_mike1014,51,iw9,,0
707,attachment,pgrip_aim_p05,53,iw9,LAUNCH,0
708,attachment,pgrip_ass_p26,54,iw9,LAUNCH,0
710,attachment,ammo_545s_hv,55,iw9,BETA,0
714,attachment,belt_lm_large_p02,56,iw9,,0
719,attachment,mag_ar_light_p04,57,iw9,,0
720,attachment,stock_sm_heavy_p07,58,iw9,,0
724,attachment,pgrip_ass_p15,59,iw9,LAUNCH,0
729,attachment,pgrip_tac_p21,60,iw9,LAUNCH,0
734,attachment,tube_2_12g_charlie725,61,iw9,,0
737,attachment,belt_lm_large_p17,62,iw9,,0
740,attachment,breacher_charlie725_01,64,iw9,,0
741,attachment,mag_ar_large_p02,65,iw9,,0
743,attachment,bgrip_hvy_p03,66,iw9,LAUNCH,0
747,attachment,ammo_500sw_hp,68,iw9,LAUNCH,0
751,attachment,silencer02_sh,69,iw9,,0
752,attachment,stock_dm_light_p18,70,iw9,,0
754,attachment,iw9_ironsdefault_mike4,71,iw9,,0
763,attachment,silencer_decho,73,iw9,,0
765,attachment,bar_sn_long_p22,74,iw9,,0
766,attachment,mag_ar_large_p01,75,iw9,,0
769,attachment,bar_sm_heavy_p07,76,iw9,,0
771,attachment,bar_ar_p01,77,iw9,,0
772,attachment,stockno_sm_p01,78,iw9,,0
773,attachment,mag_sm_small_p08,79,iw9,,0
775,attachment,stock_sn_p01,80,iw9,,0
776,attachment,mag_ar_small_p01,81,iw9,,0
789,attachment,mag_br_p18,83,iw9,,0
798,attachment,flash_sn_01,84,iw9,LAUNCH,0
799,attachment,mag_sm_p03,85,iw9,,0
803,attachment,drum_br_p05,86,iw9,,0
807,attachment,drum_lm_p03,87,iw9,,0
811,attachment,bar_sh_long_p14,88,iw9,,0
813,attachment,comp_sn_01,89,iw9,,0
822,attachment,bar_sn_hvylong_p22,90,iw9,,0
825,attachment,shscope02,91,iw9,,0
830,attachment,bar_lm_p16,92,iw9,,0
832,attachment,stock_sm_heavy_p09,93,iw9,,0
834,attachment,bar_ar_p08,94,iw9,,0
835,attachment,bar_dm_light_p38,95,iw9,,0
836,attachment,ub_glmini01_xmags,96,iw9,,0
837,attachment,mag_pi_xlarge_p27,97,iw9,,0
838,attachment,rec_aviktor,98,iw9,,0
