string,string,string,string
0,storage,MP_JUP_SCRAPYARD/CALLOUT_STORAGE,area
1,helipad,MP_JUP_SCRAPYARD/CALLOUT_HELIPAD,area
2,red_warehouse,MP_JUP_SCRAPYARD/CALLOUT_RED_WAREHOUSE,area
3,shed,MP_JUP_SCRAPYARD/CALLOUT_SHED,area
4,gas_tanks,MP_JUP_SCRAPYARD/CALLOUT_GAS_TANKS,area
5,forklift,MP_JUP_SCRAPYARD/CALLOUT_FORKLIFT,area
6,blue_warehouse,MP_JUP_SCRAPYARD/CALLOUT_BLUE_WAREHOUSE,area
7,center,MP_JUP_SCRAPYARD/CALLOUT_CENTER,area
8,loading_zone,MP_JUP_SCRAPYARD/CALLOUT_LOADING_ZONE,area
9,west_road,MP_JUP_SCRAPYARD/CALLOUT_WEST_ROAD,area
10,east_road,MP_JUP_SCRAPYARD/CALLOUT_EAST_ROAD,area
