string,string,string,string,string,string,string,string,string
clip32x32x128,,20624,-55440,1000,0,0,0,
clip256x256x8,,-14953.442,-42185.484,3285.5,0,20.167,0,
clip256x256x8,,-14865.17,-42425.777,3285.5,0,20.167,0,
clip256x256x8,,-14817.582,-42555.293,3285.5,0,20.167,0,
clip256x256x8,,-15193.736,-42273.785,3285.5,0,20.167,0,
clip256x256x8,,-15105.47,-42514.086,3285.5,0,20.167,0,
clip256x256x8,,-15057.89,-42643.633,3285.5,0,20.167,0,
clip256x256x8,,-15434.036,-42362.07,3285.5,0,20.167,0,
clip256x256x8,,-15345.765,-42602.367,3285.5,0,20.167,0,
clip256x256x8,,-15298.181,-42731.875,3285.5,0,20.167,0,
clip256x256x8,,-15674.343,-42450.289,3285.5,0,20.167,0,
clip256x256x8,,-15586.072,-42690.602,3285.5,0,20.167,0,
clip256x256x8,,-15538.481,-42820.121,3285.5,0,20.167,0,
clip256x256x8,,-15880.854,-42526.176,3285.5,0,20.167,0,
clip256x256x8,,-15792.589,-42766.477,3285.5,0,20.167,0,
clip256x256x8,,-15745,-42896,3285.5,0,20.167,0,
clip128x128x8,,17218,-6494,1638,90,0,118,
clip128x128x8,,19152,-8475.25,2464,0,44,-90,
clip128x128x8,,20826.5,-3817.75,2341.75,0,10.4,90,
clip128x128x8,,16840,-8123,2107,0,305,-90,
clip128x128x8,,11467,-21970,1708,0,33,0,
clip128x128x8,,11369,-22031,1708,0,25,0,
clip128x128x8,,11259,-22080,1706,0,21,0,
clip128x128x8,,28546,10087,1932,0,324,0,
clip128x128x8,,34428,306,2383.73,0,2,0,
clip256x256x8,,25567,23286,1791,0,0,-180,
clip256x256x8,,25567,23346,1791,0,0,-180,
clip128x128x8,,13426,-21634,1640,0,0,-90,
clip128x128x128,,31385,-29654,3060,0,25,0,
clip256x256x8,,25550,24601,1783,0,0,0,
clip256x256x8,,25550,24857,1783,0,0,0,
clip256x256x8,,23869,24601,1783,0,0,0,
clip256x256x8,,23869,24857,1783,0,0,0,
clip256x256x8,,25566,23289,1783,0,0,0,
clip256x256x8,,25566,23347,1783,0,0,0,
clip128x128x8,,10494,27588,1014,8.1,0.1,1.2,
clip256x256x8,,37586.5,-3044,2959.5,0,0,0,
clip256x256x8,,37842.5,-3044,2959.5,0,0,0,
clip256x256x8,,37586.5,-3300,2959.5,0,0,0,
clip256x256x8,,37842.5,-3300,2959.5,0,0,0,
clip256x256x8,,10176,-35712,2728,0,0,0,
clip256x256x8,,10432,-35712,2728,0,0,0,
clip256x256x8,,10176,-35968,2728,0,0,0,
clip256x256x8,,10432,-35968,2728,0,0,0,
clip128x128x8,,14657,2879,1905,0,0,0,
clip128x128x8,,14748,2879,1904,0,0,0,
clip128x128x8,,14870,2879,1904,0,0,0,
clip128x128x8,,14670,2752,1905,0,0,0,
clip128x128x8,,14748,2752,1904,0,0,0,
clip128x128x8,,14870,2752,1904,0,0,0,
clip128x128x8,,14748,2672,1904,0,0,0,
clip128x128x8,,14870,2672,1902,0,0,0,
