string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,int
14981,jup_ch_op_unlock_1,a&CHALLENGE/JUP_CH_OP_UNLOCK_1,a&CHALLENGE/JUP_CH_OP_UNLOCK_1_DESC,1,21633,,,,,,0,0
14984,jup_ch_op_unlock_3,a&CHALLENGE/JUP_CH_OP_UNLOCK_3,a&CHALLENGE/JUP_CH_OP_UNLOCK_3_DESC,1,29830,,,,,,0,0
14985,jup_ch_op_unlock_4,a&CHALLENGE/JUP_CH_OP_UNLOCK_4,a&CHALLENGE/JUP_CH_OP_UNLOCK_4_DESC,1,29832,,,,,,0,0
14986,jup_ch_op_unlock_5,a&CHALLENGE/JUP_CH_OP_UNLOCK_5,a&CHALLENGE/JUP_CH_OP_UNLOCK_5_DESC,1,29826,,,,,,0,0
14997,jup_ch_op_unlock_6,a&CHALLENGE/JUP_CH_OP_UNLOCK_6,a&CHALLENGE/JUP_CH_OP_UNLOCK_6_DESC,1,29825,,,,,,0,0
14998,jup_ch_op_unlock_7,a&CHALLENGE/JUP_CH_OP_UNLOCK_7,a&CHALLENGE/JUP_CH_OP_UNLOCK_7_DESC,1,21644,,,,,,0,0
15001,jup_ch_op_unlock_10,a&CHALLENGE/JUP_CH_OP_UNLOCK_10,a&CHALLENGE/JUP_CH_OP_UNLOCK_10_DESC,1,29841,,,,,,0,0
15002,jup_ch_op_unlock_11,a&CHALLENGE/JUP_CH_OP_UNLOCK_11,a&CHALLENGE/JUP_CH_OP_UNLOCK_11_DESC,1,29842,,,,,,0,0
15000,jup_ch_op_unlock_9,a&CHALLENGE/JUP_CH_OP_UNLOCK_9,a&CHALLENGE/JUP_CH_OP_UNLOCK_9_DESC,1,29833,,,,,,0,0
15009,jup_ch_op_unlock_16,a&CHALLENGE/JUP_CH_OP_UNLOCK_16,a&CHALLENGE/JUP_CH_OP_UNLOCK_16_DESC,1,29835,,,,,,0,0
15011,jup_ch_op_unlock_17,a&CHALLENGE/JUP_CH_OP_UNLOCK_17,a&CHALLENGE/JUP_CH_OP_UNLOCK_17_DESC,1,29827,,,,,,0,0
25594,jup_ch_op_unlock_oscar,a&CHALLENGE/OSCAR_CHALLENGE,a&CHALLENGE/OSCAR_CHALLENGE_DESC,1,29831,,,,,,0,0
25596,jup_ch_op_unlock_bravo,a&CHALLENGE/BRAVO_CHALLENGE,a&CHALLENGE/BRAVO_CHALLENGE_DESC,1,17239,,,,,,0,0
25598,jup_ch_op_unlock_juliet,a&CHALLENGE/JULIET_CHALLENGE,a&CHALLENGE/JULIET_CHALLENGE_DESC,1,29828,,,,,,0,0
25600,jup_ch_op_unlock_mike,a&CHALLENGE/MIKE_CHALLENGE,a&CHALLENGE/MIKE_CHALLENGE_DESC,1,17234,,,,,,0,0
42416,jup_ch_op_unlock_preorder_0,a&JUP_CHALLENGE/JUP_PREORDER_CH_1,a&JUP_CHALLENGE/JUP_PREORDER_CH_PURCHASE_DESC,1,63454,,,,,,0,0
42415,jup_ch_op_unlock_preorder_1,a&JUP_CHALLENGE/JUP_PREORDER_CH_2,a&JUP_CHALLENGE/JUP_PREORDER_CH_2_DESC,1,63452,,,,,,0,0
42417,jup_ch_op_unlock_preorder_2,a&JUP_CHALLENGE/JUP_PREORDER_CH_3,a&JUP_CHALLENGE/JUP_PREORDER_CH_3_DESC,1,63453,,,,,,0,0
8821,iw9_ch_op_unlock_chili,a&CHALLENGE/NAME_NONE,a&CHALLENGE/IW9_CH_OP_UNLOCK_CHILI_DESC,,5513,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8822,iw9_ch_op_unlock_nova,a&CHALLENGE/NAME_NONE,a&CHALLENGE/IW9_CH_OP_UNLOCK_NOVA_DESC,,5546,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8823,iw9_ch_op_unlock_reyes,a&CHALLENGE/NAME_NONE,a&CHALLENGE/IW9_CH_OP_UNLOCK_REYES_DESC,,11387,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8824,iw9_ch_op_unlock_hutch,a&CHALLENGE/NAME_NONE,a&CHALLENGE/IW9_CH_OP_UNLOCK_HUTCH_DESC,,5514,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
12503,iw9_ch_op_unlock_shredder,a&CHALLENGE/NAME_NONE,a&CHALLENGE/IW9_CH_OP_UNLOCK_SHREDDER_DESC,,23543,,,,1,,2500,0
14128,iw9_ch_op_unlock_blackcell,a&CHALLENGE/NAME_NONE,a&CHALLENGE/IW9_CH_OP_UNLOCK_BLACKCELL_DESC,,19103,,,,1,,3000,0
8938,iw9_ch_op_unlock_luna,a&CHALLENGE/REWARD_MISSION_COMPLETE_DEFENDER_MT_ZAYA,a&CHALLENGE/IW9_CH_OP_UNLOCK_LUNA_DESC,1,11391,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8939,iw9_ch_op_unlock_gromsko,a&CHALLENGE/REWARD_MISSION_COMPLETE_LOW_PROFILE,a&CHALLENGE/IW9_CH_OP_UNLOCK_GROMSKO_DESC,1,11390,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8940,iw9_ch_op_unlock_zero,a&CHALLENGE/REWARD_MISSION_COMPLETE_DENIED_AREA,a&CHALLENGE/IW9_CH_OP_UNLOCK_ZERO_DESC,1,11393,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
10448,iw9_ch_op_unlock_gaz,a&CHALLENGE/IW9_CH_OP_UNLOCK_GAZ,a&CHALLENGE/IW9_CH_OP_UNLOCK_GAZ_DESC,1,17419,,,,1,,1500,0
14779,iw9_ch_op_unlock_alex,a&CHALLENGE/IW9_CH_OP_UNLOCK_ALEX,a&CHALLENGE/IW9_CH_OP_UNLOCK_ALEX_DESC,1,27544,,,,1,,3500,0
12316,iw9_ch_op_unlock_price,a&CHALLENGE/IW9_CH_OP_UNLOCK_PRICE,a&CHALLENGE/IW9_CH_OP_UNLOCK_PRICE_DESC,1,5512,,,,1,,2500,0
8752,iw9_ch_op_unlock_kleo,a&CHALLENGE/IW9_CH_OP_UNLOCK_KLEO,a&CHALLENGE/IW9_CH_OP_UNLOCK_KLEO_DESC,1,5527,,,,,CHALLENGE/BUNDLE_PURCHASE,0,0
8753,iw9_ch_op_unlock_zimo,a&CHALLENGE/IW9_CH_OP_UNLOCK_ZIMO,a&CHALLENGE/IW9_CH_OP_UNLOCK_ZIMO_DESC,1,5509,,,,,CHALLENGE/BUNDLE_PURCHASE,0,0
8754,iw9_ch_op_unlock_konig,a&CHALLENGE/IW9_CH_OP_UNLOCK_KONIG,a&CHALLENGE/IW9_CH_OP_UNLOCK_KONIG_DESC,1,5543,,,,,CHALLENGE/BUNDLE_PURCHASE,0,0
8755,iw9_ch_op_unlock_roze,a&CHALLENGE/IW9_CH_OP_UNLOCK_ROZE,a&CHALLENGE/IW9_CH_OP_UNLOCK_ROZE_DESC,1,11392,,,,,CHALLENGE/BUNDLE_PURCHASE,0,0
8756,iw9_ch_op_unlock_fender,a&CHALLENGE/IW9_CH_OP_UNLOCK_FENDER,a&CHALLENGE/IW9_CH_OP_UNLOCK_FENDER_DESC,1,5517,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8757,iw9_ch_op_unlock_gus,a&CHALLENGE/IW9_CH_OP_UNLOCK_GUS,a&CHALLENGE/IW9_CH_OP_UNLOCK_GUS_DESC,1,5532,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8758,iw9_ch_op_unlock_horangi,a&CHALLENGE/IW9_CH_OP_UNLOCK_HORANGI,a&CHALLENGE/IW9_CH_OP_UNLOCK_HORANGI_DESC,1,5511,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
