string,string,localized_a,string,string,string,string,string,string,localized_a,localized_a
28112,1,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_1,1,0,1,0,2000,,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES_1_DESC,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
28225,1,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_2,1,1,3,0,2000,,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES_2_DESC,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
28418,1,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_3,1,2,3,0,,3962,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES_3_DESC,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
28420,1,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_4,1,3,1,0,4000,,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES_4_DESC,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
28422,1,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_5,1,4,1,0,,3945,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES_5_DESC,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
28226,0,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_STAGE_REWARD,1,7,0,1,,,a&,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
28674,0,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_7,2,8,1,0,,3962,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES_6_DESC,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
28516,1,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_8,2,9,1,0,,3946,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES_7_DESC,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
28518,1,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_9,2,10,1,0,4000,,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES_8_DESC,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
28676,0,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_10,2,11,1,0,4000,,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES_9_DESC,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
28118,1,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_11,2,12,3,0,,8599,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES_10_DESC,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
28227,0,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_STAGE_REWARD,2,15,0,1,,,a&,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
28229,1,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_13,3,16,1,0,,3946,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES_11_DESC,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
28513,1,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_14,3,17,1,0,,3948,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES_12_DESC,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
28602,1,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_15,3,18,1,0,4000,,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES_13_DESC,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
28677,0,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_16,3,19,10,0,4000,,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES_14_DESC,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
28515,1,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_17,3,20,6,0,,8599,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES_15_DESC,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
28228,0,a&NOTIFICATIONS/ONBOARDING_MISSION_REWARD_NOTIFICATION_STAGE_REWARD,3,23,0,1,,,a&,a&CHALLENGE/ONBOARDING_MISSION_CHALLENGES
