string,string,localized_a,localized_a,string,localized_a,string,string,string,string,string,string,localized_a,string,localized_a,string,string,localized_a,string,localized_a,string,int
1,REV_OB_BIGBOUNTY,a&JUP_OB_OBJECTIVES/BIGBOUNTY_TITLE,a&JUP_OB_OBJECTIVES/BIGBOUNTY_DESC,,a&,jup_ui_icon_contract_act_big_bounty,,0,p,,,a&,,a&,,,a&,REV_OB_BIGBOUNTY,a&,,0
2,REV_OB_VEHICLE_DRIVE,a&MP_DMZ_MISSIONS/VEHICLEDRIVE_TITLE,a&MP_DMZ_MISSIONS/VEHICLEDRIVE_DESC,,a&,jup_ui_icon_contract_act_cargo_delivery,,0,,,,a&,,a&,,,a&,REV_OB_VEHICLE_DRIVE,a&,,0
3,REV_OB_OUTLAST,a&JUP_OB_OBJECTIVES/OUTLAST_ACTIVITY_STARTER_TITLE,a&JUP_OB_OBJECTIVES/OUTLAST_ACTIVITY_PND_PHASE,,a&,jup_ui_icon_contract_act_outlast,,0,i,1,,a&,,a&,,,a&,REV_OB_OUTLAST,a&,,0
4,REV_OB_OUTLAST_ANALYSIS_PHASE,a&JUP_OB_OBJECTIVES/OUTLAST_ACTIVITY_STARTER_TITLE,a&JUP_OB_OBJECTIVES/OUTLAST_ACTIVITY_ANALYZE_PHASE,,a&,jup_ui_icon_contract_act_outlast,,0,i,1,,a&,,a&,,,a&,REV_OB_OUTLAST,a&,,0
5,ACTIVITY_NEXUS_TEST_TYPE,a&JUP_OB_OBJECTIVES/NEXUS_TEMPLATE_TITLE,a&JUP_OB_OBJECTIVES/NEXUS_TEMPLATE_DESC,,a&,ui_map_icon_obj_assassin,,0,,,,a&,,a&,,,a&,ACTIVITY_NEXUS_TEST_TYPE,a&,,0
6,REV_OB_ESCORT_ZOMBIES,a&JUP_OB_OBJECTIVES/ESCORT_ZOMBIES_ACTIVITY_BEGIN_TITLE,a&JUP_OB_OBJECTIVES/ESCORT_ZOMBIES_ACTIVITY_HEALTH,,a&,jup_ui_icon_contract_act_zombie_escort,,0,i,1,,a&,,a&,,,a&,REV_OB_ESCORT_ZOMBIES,a&,,0
7,REV_OB_SABOTAGE_THREE_EXTRACTORS,a&JUP_OB_OBJECTIVES/SABOTAGE_ACTIVITY_BEGIN_TITLE,a&JUP_OB_OBJECTIVES/SABOTAGE_PLAYER_JOIN_TITLE,3,a&JUP_OB_OBJECTIVES/SABOTAGE_OBJECTIVE_COUNTER,jup_tac_contract_act_aether_extractor,,1,i,1,,a&,,a&,,,a&,REV_OB_SABOTAGE,a&,,0
8,REV_OB_ZOMBIE_CONTROL,a&JUP_OB_OBJECTIVES/ZOMBIE_CONTROL_ACTIVITY_BEGIN_TITLE,a&JUP_OB_OBJECTIVES/ZOMBIE_CONTROL_ACTIVITY_INHIBITOR_PHASE,,a&,jup_ui_icon_contract_act_spore_control,,0,,,,a&,,a&,,,a&,REV_OB_ZOMBIE_CONTROL,a&,,0
9,REV_OB_ZOMBIE_CONTROL_SPORE_PHASE,a&JUP_OB_OBJECTIVES/ZOMBIE_CONTROL_ACTIVITY_BEGIN_TITLE,a&JUP_OB_OBJECTIVES/ZOMBIE_CONTROL_ACTIVITY_SPORE_PHASE,6,a&JUP_OB_OBJECTIVES/ZOMBIE_CONTROL_ACTIVITY_SPORE_PHASE,jup_ui_icon_contract_act_spore_control,,0,i,1,,a&,,a&,,,a&,REV_OB_ZOMBIE_CONTROL,a&,,0
10,REV_OB_RELIC_HUNT,a&JUP_OB_OBJECTIVES/RELIC_HUNT_ACTIVITY_ASSIGNED_TITLE,a&JUP_OB_OBJECTIVES/RELIC_HUNT_ACTIVITY_AETHER_COUNTER_PHASE,,a&,ui_map_icon_obj_scavenger,,0,,,,a&,,a&,,,a&,REV_OB_RELIC_HUNT,a&,,0
