string,string,string,string,string
sites,124,,,
-30236.21,23821.40,0,,
-32809.85,41817.92,15,,
-3149.16,36398.43,16,,
10036.09,32919.71,16,,
-21155.77,39435.34,15,,
-16331.69,28122.73,1,,
-16038.75,20945.58,1,,
-20139.98,13621.95,1,,
-6586.71,28265.32,2,,
7092.33,23041.25,2,,
-16896.27,1998.24,4,,
-10738.30,13446.00,4,,
-22703.25,20213.21,17,,
-32883.09,4320.94,3,,
-33176.04,11058.68,3,,
-24460.91,2050.62,18,,
-26804.48,12083.98,18,,
28745.51,34488.78,5,,
-24858.19,-23271.34,33,,
23345.62,20607.00,5,,
30905.72,39694.06,19,,
42855.79,34884.73,20,,
39436.20,29305.41,21,,
-35592.83,34933.70,0,,
35908.26,17594.41,6,,
4417.11,8175.41,26,,
9598.36,10861.23,26,,
-4214.67,-2958.59,27,,
-630.75,3878.84,14,,
3553.13,-7548.75,28,,
11616.63,937.86,28,,
17041.24,-8511.23,13,,
24430.94,2196.58,13,,
32329.91,-3414.20,22,,
31023.51,5580.97,22,,
42332.40,10683.36,7,,
39724.14,-5237.10,8,,
33850.98,-12651.65,23,,
38764.95,-19631.53,24,,
34775.82,-34623.23,25,,
28169.09,-21124.62,12,,
26574.98,-27472.57,12,,
24040.84,-36204.66,12,,
14584.54,-34332.20,11,,
14679.83,-22376.72,31,,
-1183.57,-41029.01,11,,
-13004.29,-40554.20,37,,
-23267.96,-35057.65,36,,
-31857.78,-26438.30,32,,
-29071.48,-11282.63,32,,
10367.26,-28687.27,10,,
-18822.29,-28316.68,9,,
-23033.96,-14095.85,9,,
-6907.62,-12213.27,30,,
-6488.75,-24965.69,35,,
-10305.16,-22219.72,9,,
-2596.86,-14865.05,30,,
-23383.37,-8396.86,29,,
-17053.70,-8676.10,29,,
8304.72,-20851.39,34,,
1932.05,-19205.58,34,,
-7543.34,-34347.82,10,,
917.38,-28545.74,10,,
21824.41,-15013.44,10,,
42331.38,-701.41,8,,
45123.13,20294.08,6,,
31949.11,25273.90,5,,
38139.98,24433.57,5,,
39183.86,21481.93,6,,
45555.09,25333.47,5,,
584.84,25700.66,2,,
3481.95,34392.02,16,,
-30093.73,30233.05,0,,
-25035.20,6756.90,18,,
-20843.74,8594.03,1,,
-14848.24,7721.03,4,,
8415.52,-1815.01,28,,
-13017.35,3513.22,4,,
-9882.84,9061.31,4,,
-3833.23,13198.86,4,,
962.57,20376.89,2,,
14346.94,3262.46,28,,
12966.95,-9416.59,13,,
22512.82,27346.10,5,,
-2782.54,-5777.17,27,,
185.46,1846.37,14,,
20875.05,-3308.65,13,,
26123.58,9625.38,22,,
26154.92,-1345.42,13,,
32862.78,472.60,22,,
37919.73,-15225.96,23,,
42409.73,-27853.99,24,,
18559.97,-26070.50,10,,
14596.80,-28694.48,10,,
21230.91,-21175.83,10,,
22361.40,-29203.73,12,,
23831.25,-18751.45,10,,
29252.05,-31895.79,12,,
43387.81,-33018.94,24,,
19357.59,-38571.94,11,,
10217.27,-36458.85,11,,
2796.90,-33657.78,10,,
5991.09,-40242.75,11,,
6875.64,-31348.12,10,,
-2117.26,-36507.99,10,,
-7937.41,-38731.91,37,,
-13828.90,-36292.96,10,,
-10344.68,-35279.38,10,,
-19340.30,-34772.58,36,,
-14715.79,-28215.92,9,,
-15222.50,-15134.27,9,,
-17242.42,-15064.73,9,,
-25120.04,-20066.74,33,,
-29932.23,-18615.41,32,,
-25705.94,-25852.41,33,,
-21531.46,-25852.41,33,,
-14647.26,-20432.92,9,,
-6229.86,-17395.52,30,,
-8451.26,-13843.48,30,,
-3516.46,-18745.27,30,,
-4797.91,-26880.43,35,,
4064.19,-23384.19,34,,
8163.17,-23381.77,34,,
6606.05,-28694.69,10,,
regions,38,,,
jup_bigmap_resort,0.833,0.077,0.438,0
jup_bigmap_outpost,0.215,0.061,0.437,1
jup_bigmap_power,0.842,0.524,0.020,0
jup_bigmap_seaport,0.194,0.414,0.152,0
jup_bigmap_cargo,0.874,0.806,0.020,0
jup_bigmap_militaryBase,0.365,0.484,0.333,0
jup_bigmap_academy,0.828,0.284,0.073,1
jup_bigmap_rural,0.000,0.000,0.000,1
jup_bigmap_farms,0.588,0.474,0.707,0
jup_bigmap_city,0.823,0.682,0.682,0
jup_bigmap_suburbs,0.042,0.449,0.693,0
jup_bigmap_estates,0.062,0.740,0.278,1
jup_bigmap_manor,0.736,0.052,0.744,0
jup_bigmap_lowTown,0.735,0.222,0.075,0
jup_bigmap_oldTown,0.677,0.036,0.865,0
jup_bigmap_blocks,0.122,0.693,0.252,1
jup_bigmap_industrial,0.041,0.137,0.884,1
jup_bigmap_shops,0.176,0.674,0.528,1
jup_bigmap_condos,0.265,0.524,0.740,1
jup_bigmap_subBase,0.449,0.893,0.888,1
jup_bigmap_array,0.555,0.702,0.577,1
jup_bigmap_silo,0.077,0.326,0.074,1
jup_bigmap_village,0.121,0.143,0.763,1
jup_bigmap_bazaar,0.258,0.753,0.165,1
jup_bigmap_ranch,0.805,0.523,0.075,1
jup_bigmap_island,0.749,0.672,0.000,1
jup_bigmap_bathhouse,0.347,0.633,0.525,1
jup_bigmap_seatown,0.000,0.919,0.986,1
jup_bigmap_palace,0.837,0.580,0.000,1
jup_bigmap_parkway,0.016,0.110,0.842,1
jup_bigmap_riverside,0.544,0.749,0.028,1
jup_bigmap_soukNuri,0.507,0.265,0.073,1
jup_bigmap_seaside,0.451,0.390,0.874,1
jup_bigmap_shoppingCenter,0.304,0.563,0.079,1
jup_bigmap_operaHouse,0.944,0.382,0.382,1
jup_bigmap_apartments,0.781,0.323,0.592,1
jup_bigmap_communityCenter,0.151,0.295,0.381,1
jup_bigmap_university,0.907,0.186,0.186,1
clips,10,,,
-43209.41,47090.93,,,
-46431.80,34787.23,,,
-39913.77,-38595.52,,,
-26218.59,-49434.49,,,
22190.59,-47896.53,,,
37524.52,-42697.08,,,
48043.00,-32956.33,,,
49947.14,22044.12,,,
44527.66,44454.42,,,
29294.52,48775.36,,,
