string,string,string,string,string,string,string,string,string
shotblock32x32x32,shotblock32x32x32,-358,-462,41,270,0,-180,
shotblock32x32x32,shotblock32x32x32,-366,-462,41,270,0,-180,
shotblock32x32x32,shotblock32x32x32,-288,-426,41,270,0,-90,
shotblock32x32x32,shotblock32x32x32,-366,-435,41,270,0,-180,
shotblock32x32x32,shotblock32x32x32,-358,-435,41,270,0,-180,
shotblock32x32x32,shotblock32x32x32,-288,-414,41,270,0,-90,
shotblock32x32x32,shotblock32x32x32,-310,-426,41,270,0,-90,
shotblock32x32x32,shotblock32x32x32,-310,-414,41,270,0,-90,
shotblock32x32x32,shotblock32x32x32,-355,-404,41,270,0,-180,
shotblock32x32x32,shotblock32x32x32,-366,-404,41,270,0,-180,
