string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,int,string,string,string,string
25543,jup_weekly_ch_s0_mp_w1_d1_revenge_kills,a&CHALLENGE/JUP_CH_WEEKLY_CHALLENGE_COMPLETED,a&CHALLENGE/JUP_CH_WEEKLY_REVENGE_KILLS_DESC,5,2500,,0,1,MP,1699466400,1701881999,1699466400,1701881999,0,,,,
25542,jup_weekly_ch_s0_mp_w1_d2_ar_charlie_kills,a&CHALLENGE/JUP_CH_WEEKLY_CHALLENGE_COMPLETED,a&CHALLENGE/JUP_CH_WEEKLY_AR_CHARLIE_KILLS_DESC,20,5000,,0,1,MP,1699466400,1701881999,1699466400,1701881999,0,,,,
25541,jup_weekly_ch_s0_mp_w1_d2_silenced_ar_kills,a&CHALLENGE/JUP_CH_WEEKLY_CHALLENGE_COMPLETED,a&CHALLENGE/JUP_CH_WEEKLY_SILENCED_AR_KILLS_DESC,20,5000,,0,1,MP,1699466400,1701881999,1699466400,1701881999,0,,,,
25540,jup_weekly_ch_s0_mp_w1_d2_scoped_ar_kills,a&CHALLENGE/JUP_CH_WEEKLY_CHALLENGE_COMPLETED,a&CHALLENGE/JUP_CH_WEEKLY_SCOPED_AR_KILLS_DESC,15,5000,,0,1,MP,1699466400,1701881999,1699466400,1701881999,0,,,,
25539,jup_weekly_ch_s0_mp_w1_d3_sliding_kills,a&CHALLENGE/JUP_CH_WEEKLY_CHALLENGE_COMPLETED,a&CHALLENGE/JUP_CH_WEEKLY_SLIDING_KILLS_DESC,10,7500,,0,1,MP,1699466400,1701881999,1699466400,1701881999,0,,,,
25538,jup_weekly_ch_s0_mp_w1_d3_ar_charlie_headshots,a&CHALLENGE/JUP_CH_WEEKLY_CHALLENGE_COMPLETED,a&CHALLENGE/JUP_CH_WEEKLY_AR_CHARLIE_HEADSHOTS_DESC,15,7500,,0,1,MP,1699466400,1701881999,1699466400,1701881999,0,,,,
25537,jup_weekly_ch_s0_mp_w1_d4_sniper_triple_kills,a&CHALLENGE/JUP_CH_WEEKLY_CHALLENGE_COMPLETED,a&CHALLENGE/JUP_CH_WEEKLY_SNIPER_TRIPLE_KILLS_DESC,1,10000,,0,1,MP,1699466400,1701881999,1699466400,1701881999,0,,,,
15305,jup_aa_s0_w1_dmz_0,a&,a&,1,,,0,1,DMZ,1699466400,1701881999,1699466400,1701881999,0,,,,
15306,jup_aa_s0_w1_dmz_1,a&,a&,1,,,0,1,DMZ,1699466400,1701881999,1699466400,1701881999,0,,,,
15307,jup_aa_s0_w1_dmz_2,a&,a&,1,,,0,1,DMZ,1699466400,1701881999,1699466400,1701881999,0,,,,
