xhash,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#zombie_kia,a&OB_SPLASHES/ZOMBIE_KIA,a&OB_SPLASHES/ZOMBIE_KIA,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#zombie_kia_critical,a&OB_SPLASHES/ZOMBIE_KIA_CRITICAL,a&OB_SPLASHES/ZOMBIE_KIA_CRITICAL,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#zombie_kia_melee,a&OB_SPLASHES/ZOMBIE_KIA_MELEE,a&OB_SPLASHES/ZOMBIE_KIA_MELEE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#zombie_kia_vehicle,a&OB_SPLASHES/ZOMBIE_KIA_VEHICLE,a&OB_SPLASHES/ZOMBIE_KIA_VEHICLE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#zombie_kia_special,a&OB_SPLASHES/ZOMBIE_KIA_SPECIAL,a&OB_SPLASHES/ZOMBIE_KIA_SPECIAL,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#zombie_kia_special_critical,a&OB_SPLASHES/ZOMBIE_KIA_SPECIAL_CRITICAL,a&OB_SPLASHES/ZOMBIE_KIA_SPECIAL_CRITICAL,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#zombie_kia_special_melee,a&OB_SPLASHES/ZOMBIE_KIA_SPECIAL_MELEE,a&OB_SPLASHES/ZOMBIE_KIA_SPECIAL_MELEE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#zombie_kia_special_vehicle,a&OB_SPLASHES/ZOMBIE_KIA_SPECIAL_VEHICLE,a&OB_SPLASHES/ZOMBIE_KIA_SPECIAL_VEHICLE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#zombie_kia_elite,a&OB_SPLASHES/ZOMBIE_KIA_ELITE,a&OB_SPLASHES/ZOMBIE_KIA_ELITE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#zombie_kia_elite_critical,a&OB_SPLASHES/ZOMBIE_KIA_ELITE_CRITICAL,a&OB_SPLASHES/ZOMBIE_KIA_ELITE_CRITICAL,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#zombie_kia_elite_melee,a&OB_SPLASHES/ZOMBIE_KIA_ELITE_MELEE,a&OB_SPLASHES/ZOMBIE_KIA_ELITE_MELEE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#zombie_kia_elite_vehicle,a&OB_SPLASHES/ZOMBIE_KIA,a&OB_SPLASHES/ZOMBIE_KIA,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_579c0067dbbccadd,a&OB_SPLASHES/ZOMBIE_KIA_PRECISION_AIRSTRIKE,a&OB_SPLASHES/ZOMBIE_KIA_PRECISION_AIRSTRIKE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_4fa78f3acf660149,a&OB_SPLASHES/ZOMBIE_KIA_SPECIAL_PRECISION_AIRSTRIKE,a&OB_SPLASHES/ZOMBIE_KIA_SPECIAL_PRECISION_AIRSTRIKE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_4058b257b6c79e09,a&OB_SPLASHES/ZOMBIE_KIA_ELITE_PRECISION_AIRSTRIKE,a&OB_SPLASHES/ZOMBIE_KIA_ELITE_PRECISION_AIRSTRIKE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_c26a7f5a39e94ef,a&OB_SPLASHES/ZOMBIE_KIA_CRUISE_PREDATOR,a&OB_SPLASHES/ZOMBIE_KIA_CRUISE_PREDATOR,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_99b585d9fc03d073,a&OB_SPLASHES/ZOMBIE_KIA_SPECIAL_CRUISE_PREDATOR,a&OB_SPLASHES/ZOMBIE_KIA_SPECIAL_CRUISE_PREDATOR,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_e6463ea1d910a033,a&OB_SPLASHES/ZOMBIE_KIA_ELITE_CRUISE_PREDATOR,a&OB_SPLASHES/ZOMBIE_KIA_ELITE_CRUISE_PREDATOR,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#powerup_nuke,a&OB_SPLASHES/POWERUP_NUKE,a&OB_SPLASHES/POWERUP_NUKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#powerup_bonus_points_team,a&OB_SPLASHES/POWERUP_BONUS_POINTS_TEAM,a&OB_SPLASHES/POWERUP_BONUS_POINTS_TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#revived,a&SPLASHES/REVIVED,a&SPLASHES/REVIVED,,icon_splash_skill_shot,,splash,skill,,,,,,0,0,,,,,,,,,,,,,,,,
#downed,a&SPLASHES/DOWNED_PLAYER,a&SPLASHES/DOWNED_PLAYER,,icon_splash_skill_shot,,splash,skill,,,,,,0,0,,,,,,,,,,,,,,,,
#loose_change,a&OB_SPLASHES/LOOSE_CHANGE,a&OB_SPLASHES/LOOSE_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#cp_mp_exfil_ready,a&SPLASHES/CP_MP_EXFIL_READY,a&SPLASHES/CP_MP_EXFIL_READY,,ui_map_icon_extraction,,splash,local,,,,,,,,,,,,,,,,,,,,,,,
#cp_mp_exfil_success,a&SPLASHES/CP_MP_EXFIL_SUCCESS,a&SPLASHES/CP_MP_EXFIL_SUCCESS,,ui_map_icon_extraction,,splash,local,,,,,,,,,,,,,,,,,,,,,,,
#cp_mp_exfil_failure,a&SPLASHES/CP_MP_EXFIL_FAILURE,a&SPLASHES/CP_MP_EXFIL_FAILURE,,ui_map_icon_extraction,,splash,local,,,,,,,,,,,,,,,,,,,,,,,
#cp_mp_exfil_inbound,a&SPLASHES/CP_MP_EXFIL_INBOUND,a&SPLASHES/CP_MP_EXFIL_INBOUND,,ui_map_icon_extraction,,splash,local,,,,,,,,,,,,,,,,,,,,,,,
