string,string,string,string,string,string,string,string
ui_missile_drone_hud,1,,c,i,0,0,1
ui_missile_drone_coord1_posx,1,,c,i,0,-100000,100000
ui_missile_drone_coord1_posy,1,,c,i,0,-100000,100000
ui_missile_drone_coord1_posz,1,,c,i,0,-100000,100000
ui_missile_drone_coord2_posx,1,,c,i,0,-100000,100000
ui_missile_drone_coord2_posy,1,,c,i,0,-100000,100000
ui_missile_drone_coord2_posz,1,,c,i,0,-100000,100000
ui_missile_drone_coord3_posx,1,1,c,i,0,-100000,100000
ui_missile_drone_coord3_posy,1,1,c,i,0,-100000,100000
ui_missile_drone_coord3_posz,1,1,c,i,0,-100000,100000
ui_missile_drone_hellfire_lockon,1,,c,i,0,0,1
ui_missile_drone_reloading,1,,c,b,0,0,1
ui_missile_drone_fire_time,1,,c,t,0,,
