string,string,string,string,string
sites,38,,,
-31826.47,30299.20,0,,
-15949.91,28343.40,1,,
366.18,29221.28,2,,
-31711.42,8095.03,3,,
-10466.44,11338.55,4,,
27653.11,28458.44,5,,
33635.58,18104.16,6,,
37547.20,12121.69,7,,
38577.14,-150.21,8,,
-16786.04,-23585.77,9,,
4758.65,-28835.23,10,,
15112.93,-39074.47,11,,
28343.39,-30560.95,12,,
17210.53,-2636.50,13,,
5794.56,3612.67,14,,
-29065.33,40538.44,15,,
2227.60,35936.53,16,,
-22622.66,21210.45,17,,
-27224.57,11661.50,18,,
30414.25,40193.29,19,,
42379.20,34555.96,20,,
38812.72,31104.54,21,,
32024.91,2917.89,22,,
33290.43,-11923.24,23,,
40883.57,-25613.91,24,,
34671.01,-34242.47,25,,
2112.56,7864.93,26,,
-5135.44,-2834.49,27,,
6829.50,-3754.87,28,,
-20091.62,-9277.15,29,,
-1914.11,-15834.86,30,,
14652.74,-21587.23,31,,
-33782.27,-18365.91,32,,
-24923.61,-24578.47,33,,
4528.55,-24003.23,34,,
-5480.58,-26304.18,35,,
-20896.95,-36658.47,36,,
-11348.01,-39879.80,37,,
regions,38,,,
MP_JUP_BIGMAP/CALLOUT_RESORT,0.000,0.000,0.000,0
MP_JUP_BIGMAP/CALLOUT_OUTPOST,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_POWER,0.000,0.000,0.000,0
MP_JUP_BIGMAP/CALLOUT_SEAPORT,0.000,0.000,0.000,0
MP_JUP_BIGMAP/CALLOUT_CARGO,0.000,0.000,0.000,0
MP_JUP_BIGMAP/CALLOUT_MILITARY_BASE,0.000,0.000,0.000,0
MP_JUP_BIGMAP/CALLOUT_ACADEMY,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_RURAL,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_FARMS,0.000,0.000,0.000,0
MP_JUP_BIGMAP/CALLOUT_CITY,0.000,0.000,0.000,0
MP_JUP_BIGMAP/CALLOUT_SUBURBS,0.000,0.000,0.000,0
MP_JUP_BIGMAP/CALLOUT_ESTATES,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_MANOR,0.000,0.000,0.000,0
MP_JUP_BIGMAP/CALLOUT_LOW_TOWN,0.000,0.000,0.000,0
MP_JUP_BIGMAP/CALLOUT_OLD_TOWN,0.000,0.000,0.000,0
MP_JUP_BIGMAP/CALLOUT_BLOCKS,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_INDUSTRIAL,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_SHOPS,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_CONDOS,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_SUB_BASE,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_ARRAY,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_SILO,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_VILLAGE,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_BAZAAR,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_RANCH,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_ISLAND,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_BATHHOUSE,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_SEATOWN,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_PALACE,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_PARKWAY,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_RIVERSIDE,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_SOUK_NURI,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_SEASIDE,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_SHOPPING_CENTER,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_OPERA_HOUSE,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_APARTMENTS,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_COMMUNITY_CENTER,0.000,0.000,0.000,1
MP_JUP_BIGMAP/CALLOUT_UNIVERSITY,0.000,0.000,0.000,1
clips,10,,,
-43209.41,47090.93,,,
-46431.80,34787.23,,,
-39913.77,-38595.52,,,
-26218.59,-49434.49,,,
22190.59,-47896.53,,,
37524.52,-42697.08,,,
48043.00,-32956.33,,,
49947.14,22044.12,,,
44527.66,44454.42,,,
29294.52,48775.36,,,
