string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,int,string
12258,jup_sb_ch_back_to_basics_low_profile,a&CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_LOW_PROFILE,a&CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_LOW_PROFILE_DESC,50|100|250,||35782,500|1000|2000,,1,,,,,,MP|LP_MP|HC,0,193
25885,jup_sb_ch_back_to_basics_close_quarters,a&CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_CLOSE_QUARTERS,a&CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_CLOSE_QUARTERS_DESC,25|50|100,||35781,500|1000|2000,,2,,,,,,MP|LP_MP|HC,0,193
12263,jup_sb_ch_back_to_basics_clean_sweep,a&CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_CLEAN_SWEEP,a&CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_CLEAN_SWEEP_DESC,10|25|50,||35779,500|1000|2000,,3,,,,,,MP|LP_MP|HC,0,193
12369,jup_sb_ch_back_to_basics_power_stance,a&CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_POWER_STANCE,a&CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_POWER_STANCE_DESC,50|100|250,||35778,500|1000|2000,,4,,,,,,MP|LP_MP|HC,0,193
12368,jup_sb_ch_back_to_basics_anti_air,a&CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_ANTI_AIR,a&CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_ANTI_AIR_DESC,25|50|100,||35780,500|1000|2000,,5,,,,,,MP|LP_MP|HC,0,193
15740,jup_sb_ch_back_to_basics_aerial_attack,a&CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_AERIAL_ATTACK,a&CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_AERIAL_ATTACK_DESC,10|25|50,||35777,500|1000|2000,,6,,,,,,MP|LP_MP|HC,0,193
16563,jup_sb_ch_mastery_back_to_basics,a&CHALLENGE/SB_CH_MASTERY_BACK_TO_BASICS,a&CHALLENGE/SB_CH_MASTERY_BACK_TO_BASICS_DESC,6,37168,2500,,1,12258|25885|12263|12369|12368|15740,,,,,,0,193
12464,jup_sb_ch_specialized_whats_yours,a&CHALLENGE/JUP_SB_CH_SPECIALIZED_WHATS_YOURS,a&CHALLENGE/JUP_SB_CH_SPECIALIZED_WHATS_YOURS_DESC,25|50|100,||35776,500|1000|2000,,1,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
12372,jup_sb_ch_specialized_sous_chef,a&CHALLENGE/JUP_SB_CH_SPECIALIZED_SOUS_CHEF,a&CHALLENGE/JUP_SB_CH_SPECIALIZED_SOUS_CHEF_DESC,25|50|100,||35775,500|1000|2000,,2,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
14834,jup_sb_ch_specialized_medic,a&CHALLENGE/JUP_SB_CH_SPECIALIZED_MEDIC,a&CHALLENGE/JUP_SB_CH_SPECIALIZED_MEDIC_DESC,25|50|100,||31283,500|1000|2000,,3,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
12383,jup_sb_ch_specialized_tactical,a&CHALLENGE/JUP_SB_CH_SPECIALIZED_TACTICAL,a&CHALLENGE/JUP_SB_CH_SPECIALIZED_TACTICAL_DESC,25|50|100,||31289,500|1000|2000,,4,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
12465,jup_sb_ch_specialized_hunter,a&CHALLENGE/JUP_SB_CH_SPECIALIZED_HUNTER,a&CHALLENGE/JUP_SB_CH_SPECIALIZED_HUNTER_DESC,50|100|250,||43603,500|1000|2000,,5,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
12471,jup_sb_ch_specialized_lethal,a&CHALLENGE/JUP_SB_CH_SPECIALIZED_LETHAL,a&CHALLENGE/JUP_SB_CH_SPECIALIZED_LETHAL_DESC,25|50|100,||35774,500|1000|2000,,6,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
16912,jup_sb_ch_mastery_specialized,a&CHALLENGE/SB_CH_MASTERY_SPECIALIZED,a&CHALLENGE/SB_CH_MASTERY_SPECIALIZED_DESC,6,37169,2500,,2,12464|12372|14834|12383|12465|12471,,,,,,0,193
12472,jup_sb_ch_best_of_the_best_first_place,a&CHALLENGE/JUP_SB_CH_BEST_OF_THE_BEST_FIRST_PLACE,a&CHALLENGE/JUP_SB_CH_BEST_OF_THE_BEST_FIRST_PLACE_DESC,3|5|10,||35773,500|1000|2000,,1,,,,,,MP|LP_MP|HC,0,193
12473,jup_sb_ch_best_of_the_best_winner,a&CHALLENGE/JUP_SB_CH_BEST_OF_THE_BEST_WINNER,a&CHALLENGE/JUP_SB_CH_BEST_OF_THE_BEST_WINNER_DESC,10|25|50,||35772,500|1000|2000,,2,,,,,,MP|LP_MP|HC,0,193
23593,jup_sb_ch_best_of_the_best_efficient_kills,a&CHALLENGE/JUP_SB_CH_BEST_OF_THE_BEST_EFFICIENT_KILLS,a&CHALLENGE/JUP_SB_CH_BEST_OF_THE_BEST_EFFICIENT_KILLS_DESC,10|25|50,||35771,500|1000|2000,,3,,,,,,MP|LP_MP|HC,0,193
23601,jup_sb_ch_best_of_the_best_leader,a&CHALLENGE/JUP_SB_CH_BEST_OF_THE_BEST_LEADER,a&CHALLENGE/JUP_SB_CH_BEST_OF_THE_BEST_LEADER_DESC,10|25|50,||35770,500|1000|2000,,4,,,,,,MP|LP_MP|HC,0,193
12476,jup_sb_ch_best_of_the_best_on_the_podium,a&CHALLENGE/JUP_SB_CH_BEST_OF_THE_BEST_ON_THE_PODIUM,a&CHALLENGE/JUP_SB_CH_BEST_OF_THE_BEST_ON_THE_PODIUM_DESC,3|5|10,||35769,500|1000|2000,,5,,,,,,MP|LP_MP|HC,0,193
12477,jup_sb_ch_best_of_the_best_strong_back,a&CHALLENGE/JUP_SB_CH_BEST_OF_THE_BEST_STRONG_BACK,a&CHALLENGE/JUP_SB_CH_BEST_OF_THE_BEST_STRONG_BACK_DESC,10|25|50,||35768,500|1000|2000,,6,,,,,,MP|LP_MP|HC,0,193
17093,jup_sb_ch_mastery_best_of_the_best,a&CHALLENGE/SB_CH_MASTERY_BEST_OF_THE_BEST,a&CHALLENGE/SB_CH_MASTERY_BEST_OF_THE_BEST_DESC,6,37170,2500,,3,12472|12473|23593|23601|12476|12477,,,,,,0,193
12524,jup_sb_ch_luddite_ghost_vehicle,a&CHALLENGE/JUP_SB_CH_LUDDITE_GHOST_VEHICLE,a&CHALLENGE/JUP_SB_CH_LUDDITE_GHOST_VEHICLE_DESC,3|5|10,||31282,500|1000|2000,,1,,,,,,MP|LP_MP|HC,0,193
12525,jup_sb_ch_luddite_gearhead,a&CHALLENGE/JUP_SB_CH_LUDDITE_GEARHEAD,a&CHALLENGE/JUP_SB_CH_LUDDITE_GEARHEAD_DESC,10|25|50,||35764,500|1000|2000,,2,,,,,,MP|LP_MP|HC,0,193
13498,jup_sb_ch_luddite_low_tech,a&CHALLENGE/JUP_SB_CH_LUDDITE_LOW_TECH,a&CHALLENGE/JUP_SB_CH_LUDDITE_LOW_TECH_DESC,50|100|250,||35763,500|1000|2000,,3,,,,,,MP|LP_MP|HC,0,193
15010,jup_sb_ch_luddite_auto_pilot,a&CHALLENGE/JUP_SB_CH_LUDDITE_AUTO_PILOT,a&CHALLENGE/JUP_SB_CH_LUDDITE_AUTO_PILOT_DESC,10|25|50,||35767,500|1000|2000,,4,,,,,,MP|LP_MP|HC,0,193
12510,jup_sb_ch_luddite_pilot_hunter,a&CHALLENGE/JUP_SB_CH_LUDDITE_PILOT_HUNTER,a&CHALLENGE/JUP_SB_CH_LUDDITE_PILOT_HUNTER_DESC,10|25|50,||35766,500|1000|2000,,5,,,,,,MP|LP_MP|HC,0,193
12511,jup_sb_ch_luddite_proportionate_response,a&CHALLENGE/JUP_SB_CH_LUDDITE_PROPORTIONATE_RESPONSE,a&CHALLENGE/JUP_SB_CH_LUDDITE_PROPORTIONATE_RESPONSE_DESC,3|5|10,||35765,500|1000|2000,,6,,,,,,MP|LP_MP|HC,0,193
17095,jup_sb_ch_mastery_luddite,a&CHALLENGE/SB_CH_MASTERY_LUDDITE,a&CHALLENGE/SB_CH_MASTERY_LUDDITE_DESC,6,43590,2500,,4,12524|12525|13498|15010|12510|12511,,,,,,0,193
12531,jup_sb_ch_big_picture_the_best_defense,a&ACHIEVEMENTS/JUP_SB_CH_BIG_PICTURE_THE_BEST_DEFENSE,a&ACHIEVEMENTS/JUP_SB_CH_BIG_PICTURE_THE_BEST_DEFENSE_DESC,25|50|100,||35762,500|1000|2000,,1,,,,,,MP|LP_MP|HC,0,193
12532,jup_sb_ch_big_picture_turtle,a&CHALLENGE/JUP_SB_CH_BIG_PICTURE_TURTLE,a&CHALLENGE/JUP_SB_CH_BIG_PICTURE_TURTLE_DESC,25|50|100,||35761,500|1000|2000,,2,,,,,,MP|LP_MP|HC,0,193
12533,jup_sb_ch_big_picture_power_hungry,a&CHALLENGE/JUP_SB_CH_BIG_PICTURE_POWER_HUNGRY,a&CHALLENGE/JUP_SB_CH_BIG_PICTURE_POWER_HUNGRY_DESC,10|25|50,||35760,500|1000|2000,,3,,,,,,MP|LP_MP|HC,0,193
13499,jup_sb_ch_big_picture_victory,a&CHALLENGE/JUP_SB_CH_BIG_PICTURE_VICTORY,a&CHALLENGE/JUP_SB_CH_BIG_PICTURE_VICTORY_DESC,10|25|50,||35758,500|1000|2000,,4,,,,,,MP|LP_MP|HC,0,193
12550,jup_sb_ch_big_picture_high_scorer,a&CHALLENGE/JUP_SB_CH_BIG_PICTURE_HIGH_SCORER,a&CHALLENGE/JUP_SB_CH_BIG_PICTURE_HIGH_SCORER_DESC,10|25|50,||35759,500|1000|2000,,5,,,,,,MP|LP_MP|HC,0,193
12552,jup_sb_ch_big_picture_on_the_point,a&CHALLENGE/JUP_SB_CH_BIG_PICTURE_ON_THE_POINT,a&CHALLENGE/JUP_SB_CH_BIG_PICTURE_ON_THE_POINT_DESC,25|50|100,||35757,500|1000|2000,,6,,,,,,MP|LP_MP|HC,0,193
17097,jup_sb_ch_mastery_big_picture,a&CHALLENGE/SB_CH_MASTERY_BIG_PICTURE,a&CHALLENGE/SB_CH_MASTERY_BIG_PICTURE_DESC,6,43591,2500,,5,12531|12532|12533|13499|12550|12552,,,,,,0,193
13616,jup_sb_ch_ice_cold_bloodthirsty,a&CHALLENGE/JUP_SB_CH_ICE_COLD_BLOODTHIRSTY,a&CHALLENGE/JUP_SB_CH_ICE_COLD_BLOODTHIRSTY_DESC,10|25|50,||35756,500|1000|2000,,1,,,,,,MP|LP_MP|HC,0,193
13634,jup_sb_ch_ice_cold_merciless,a&CHALLENGE/JUP_SB_CH_ICE_COLD_MERCILESS,a&CHALLENGE/JUP_SB_CH_ICE_COLD_MERCILESS_DESC,3|5|10,||35755,500|1000|2000,,2,,,,,,MP|LP_MP|HC,0,193
13648,jup_sb_ch_ice_cold_ruthless,a&CHALLENGE/JUP_SB_CH_ICE_COLD_RUTHLESS,a&CHALLENGE/JUP_SB_CH_ICE_COLD_RUTHLESS_DESC,1,35754,2000,,3,,,,,,MP|LP_MP|HC,0,193
15161,jup_sb_ch_ice_cold_double_kills,a&CHALLENGE/JUP_SB_CH_ICE_COLD_DOUBLE_KILLS,a&CHALLENGE/JUP_SB_CH_ICE_COLD_DOUBLE_KILLS_DESC,25|50|100,||35753,500|1000|2000,,4,,,,,,MP|LP_MP|HC,0,193
15163,jup_sb_ch_ice_cold_triple_kills,a&CHALLENGE/JUP_SB_CH_ICE_COLD_TRIPLE_KILLS,a&CHALLENGE/JUP_SB_CH_ICE_COLD_TRIPLE_KILLS_DESC,10|25|50,||35752,500|1000|2000,,5,,,,,,MP|LP_MP|HC,0,193
15165,jup_sb_ch_ice_cold_fury_kills,a&CHALLENGE/JUP_SB_CH_ICE_COLD_FURY_KILLS,a&CHALLENGE/JUP_SB_CH_ICE_COLD_FURY_KILLS_DESC,3|5|10,||35751,500|1000|2000,,6,,,,,,MP|LP_MP|HC,0,193
17099,jup_sb_ch_mastery_ice_cold,a&CHALLENGE/SB_CH_MASTERY_ICE_COLD,a&CHALLENGE/SB_CH_MASTERY_ICE_COLD_DESC,6,37171,2500,,6,13616|13634|13648|15161|15163|15165,,,,,,0,193
13650,jup_sb_ch_over_the_top_roadkills,a&CHALLENGE/JUP_SB_CH_OVER_THE_TOP_ROADKILLS,a&CHALLENGE/JUP_SB_CH_OVER_THE_TOP_ROADKILLS_DESC,3|5|10,||35750,500|1000|2000,,1,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
13651,jup_sb_ch_over_the_top_assassin,a&CHALLENGE/JUP_SB_CH_OVER_THE_TOP_ASSASSIN,a&CHALLENGE/JUP_SB_CH_OVER_THE_TOP_ASSASSIN_DESC,10|25|50,||35749,500|1000|2000,,2,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
13652,jup_sb_ch_over_the_top_spray_and_pray,a&CHALLENGE/JUP_SB_CH_OVER_THE_TOP_SPRAY_AND_PRAY,a&CHALLENGE/JUP_SB_CH_OVER_THE_TOP_SPRAY_AND_PRAY_DESC,50|100|250,||37175,500|1000|2000,,3,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
13655,jup_sb_ch_over_the_top_killstreaks,a&CHALLENGE/JUP_SB_CH_OVER_THE_TOP_KILLSTREAKS,a&CHALLENGE/JUP_SB_CH_OVER_THE_TOP_KILLSTREAKS_DESC,50|100|250,||35747,500|1000|2000,,4,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
13653,jup_sb_ch_over_the_top_hands_full,a&CHALLENGE/JUP_SB_CH_OVER_THE_TOP_HANDS_FULL,a&CHALLENGE/JUP_SB_CH_OVER_THE_TOP_HANDS_FULL_DESC,3|5|10,||30832,500|1000|2000,,5,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
13654,jup_sb_ch_over_the_top_direct_hit_kills,a&CHALLENGE/JUP_SB_CH_OVER_THE_TOP_DIRECT_HIT_KILLS,a&CHALLENGE/JUP_SB_CH_OVER_THE_TOP_DIRECT_HIT_KILLS_DESC,25|50|100,||35748,500|1000|2000,,6,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
17101,jup_sb_ch_mastery_over_the_top,a&CHALLENGE/SB_CH_MASTERY_OVER_THE_TOP,a&CHALLENGE/SB_CH_MASTERY_OVER_THE_TOP_DESC,6,43592,2500,,7,13650|13651|13652|13655|13653|13654,,,,,,0,193
13656,jup_sb_ch_bad_manners_stuck_kills,a&CHALLENGE/JUP_SB_CH_BAD_MANNERS_STUCK_KILLS,a&CHALLENGE/JUP_SB_CH_BAD_MANNERS_STUCK_KILLS_DESC,10|25|50,||35746,500|1000|2000,,1,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
13657,jup_sb_ch_bad_manners_gun_butt_kills,a&CHALLENGE/JUP_SB_CH_BAD_MANNERS_GUN_BUTT_KILLS,a&CHALLENGE/JUP_SB_CH_BAD_MANNERS_GUN_BUTT_KILLS_DESC,10|25|50,||35745,500|1000|2000,,2,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
13658,jup_sb_ch_bad_manners_return_fire,a&CHALLENGE/JUP_SB_CH_BAD_MANNERS_RETURN_FIRE,a&CHALLENGE/JUP_SB_CH_BAD_MANNERS_RETURN_FIRE_DESC,3|5|10,||31286,500|1000|2000,,3,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
13659,jup_sb_ch_bad_manners_low_blows,a&CHALLENGE/JUP_SB_CH_BAD_MANNERS_LOW_BLOWS,a&CHALLENGE/JUP_SB_CH_BAD_MANNERS_LOW_BLOWS_DESC,10|25|50,||35744,500|1000|2000,,4,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
17108,jup_sb_ch_bad_manners_finishers,a&CHALLENGE/JUP_SB_CH_BAD_MANNERS_FINISHERS,a&CHALLENGE/JUP_SB_CH_BAD_MANNERS_FINISHERS_DESC,3|5|10,||31281,500|1000|2000,,5,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
13661,jup_sb_ch_bad_manners_impactful,a&CHALLENGE/JUP_SB_CH_BAD_MANNERS_IMPACTFUL,a&CHALLENGE/JUP_SB_CH_BAD_MANNERS_IMPACTFUL_DESC,3|5|10,||35743,500|1000|2000,,6,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
17103,jup_sb_ch_mastery_bad_manners,a&CHALLENGE/SB_CH_MASTERY_BAD_MANNERS,a&CHALLENGE/SB_CH_MASTERY_BAD_MANNERS_DESC,6,43593,2500,,8,13656|13657|13658|13659|17108|13661,,,,,,0,193
13662,jup_sb_ch_laser_focused_headshots,a&CHALLENGE/JUP_SB_CH_LASER_FOCUSED_HEADSHOTS,a&CHALLENGE/JUP_SB_CH_LASER_FOCUSED_HEADSHOTS_DESC,25|50|100,||35742,500|1000|2000,,1,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
13663,jup_sb_ch_laser_focused_1_shot_1_kill,a&CHALLENGE/JUP_SB_CH_LASER_FOCUSED_1_SHOT_1_KILL,a&CHALLENGE/JUP_SB_CH_LASER_FOCUSED_1_SHOT_1_KILL_DESC,25|50|100,||35741,500|1000|2000,,2,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
13665,jup_sb_ch_laser_focused_long_distance,a&CHALLENGE/JUP_SB_CH_LASER_FOCUSED_LONG_DISTANCE,a&CHALLENGE/JUP_SB_CH_LASER_FOCUSED_LONG_DISTANCE_DESC,25|50|100,||35739,500|1000|2000,,3,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
13666,jup_sb_ch_laser_focused_surgical,a&CHALLENGE/JUP_SB_CH_LASER_FOCUSED_SURGICAL,a&CHALLENGE/JUP_SB_CH_LASER_FOCUSED_SURGICAL_DESC,3|5|10,||31284,500|1000|2000,,4,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
