string,string,string,string,string,string
loadoutName,CLASS/CLASS1,CLASS/CLASS2,CLASS/CLASS3,CLASS/CLASS4,CLASS/CLASS5
loadoutPrimary,jup_jp19_ar_acharlie,jup_jp07_sm_uzulup,jup_jp04_sm_umike,jup_cp08_br_xmike5,jup_jp01_lm_mgolf36
loadoutPrimaryAttachment1,jup_reflex03_tall,iw9_minireddot01_tall,jup_jp04_sm_umike_bar_hvylong,holo03,jup_las_minireddot01
loadoutPrimaryAttachment2,none,none,none,none,none
loadoutPrimaryAttachment3,none,none,none,none,none
loadoutPrimaryAttachment4,none,none,none,none,none
loadoutPrimaryAttachment5,none,none,none,none,none
loadoutPrimaryCamo,none,none,none,none,none
loadoutPrimaryReticle,none,none,none,none,none
loadoutSecondary,iw9_me_fists,iw9_me_fists,iw9_me_fists,iw9_me_fists,iw9_me_fists
loadoutSecondaryAttachment1,none,none,none,none,none
loadoutSecondaryAttachment2,none,none,none,none,none
loadoutSecondaryAttachment3,none,none,none,none,none
loadoutSecondaryAttachment4,none,none,none,none,none
loadoutSecondaryAttachment5,none,none,none,none,none
loadoutSecondaryCamo,none,none,none,none,none
loadoutSecondaryReticle,none,none,none,none,none
loadoutEquipmentPrimary,equip_frag,equip_frag,equip_frag,equip_frag,equip_frag
loadoutExtraPowerPrimary,FALSE,FALSE,FALSE,FALSE,FALSE
loadoutEquipmentSecondary,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_concussion
loadoutExtraPowerSecondary,FALSE,FALSE,FALSE,FALSE,FALSE
loadoutPerk1,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutExtraPerk1,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutExtraPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutExtraPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutOverkill,FALSE,FALSE,FALSE,FALSE,FALSE
fieldUpgrade,super_armor_drop,super_armor_drop,super_armor_drop,super_armor_drop,super_armor_drop
