string,string,localized_a,localized_a,string,string,string,string,int
22941,jup_s0_fieldrep_code_ch,a&,a&,10000|21600|35000|50700|68800|89800|114100|142400|175200|213200,38506|3946|39687|3942|43131|39684|39200|43598|8594|44180,1700244000,1700841600,0
22942,jup_s0_fieldrep_makarovs_return_ch,a&,a&,10000|21600|35000|50700|68800|89800|114100|142400|175200|213200,38507|3946|39746|3942|43130|36615|37064|41393|8594|45912,1700848800,1701446400,0
26574,jup_s1_fieldrep_dune_ch,a&,a&,10000|21600|35000|50700|68800|89800|114100|142400|175200|213200,48106|3946|44139|3942|43524|44160|44498|44340|8594|46051,1702490400,1703088000,0
26577,jup_s1_fieldrep_terminus_ch,a&,a&,9500|21500|36900|56350|81100|112450|152300|202950|267200|348900|452550|584250|751500|963950|1233700,38505|3946|39686|3942|43132|39685|37095|44257|8594|47936|3955|47933|47934|3951|46054,1704304800,1705507200,0
26575,jup_s1_fieldrep_the_boys_w2_ch,a&,a&,10000|23600|42100|67250|101460|148000|211300|297350|414350|573500,39742|3946|44153|3942|46489|39745|44499|44258|8594|46052,1706119200,1706716800,0
29264,jup_s2_fieldrep_lunar_new_year_ch,a&,a&,10000|23600|42100|67250|101460|148000|211300|297350|414350|573500,52583|3946|52836|3942|52526|52837|51705|51677|8594|52142,1707501600,1707926400,0
29265,jup_s2_fieldrep_dune_emperor_ch,a&,a&,10000|22250|37250|55650|78150|105750|139500|181000|231650|293750,52925|3946|53011|3942|52860|53012|52041|51859|8594|53555,1709748000,1710342000,0
29266,jup_s2_fieldrep_twd_ch,a&,a&,10000|22250|37250|55650|78150|105750|139500|181000|231650|293750,52579|3946|52839|3942|52529|52840|52042|53536|8594|52148,1709143200,1709740800,0
29376,jup_s2_fieldrep_warhammer_40k_ch,a&,a&,9500|21500|36500|55600|79500|109700|147700|195600|255950|332000|427800|548500,53010|51680|26329|54632|52923|53525|54686|52223|53526|51833|3946|52360,1710349200,1711551600,0
36234,jup_s3_fieldrep_gxk_ch,a&JUP_CHALLENGE/FIELD_REP_NAME_GXK,a&JUP_CHALLENGE/FIELD_REP_DESC,10000|21000|33100|45500|61000|77100|95000|114500|136000|160000,58110|3946|58521|3942|58688|58522|58725|58510|8594|56443,1712336400,1712761200,0
36235,jup_s3_fieldrep_virus_ch,a&JUP_CHALLENGE/FIELD_REP_NAME_VORTEX_VIRUS,a&JUP_CHALLENGE/FIELD_REP_DESC,9500|21500|36000|58000|90000|130000|175000|225000|285000|350000|420000|500000,58477|3948|58309|8355|58382|58310|58511|26329|58671|58719|58424|56444,1713978000,1715180400,0
43186,jup_s4_fieldrep_voxel_ch,a&JUP_CHALLENGE/FIELD_REP_NAME_CALL_OF_VOXEL,a&JUP_CHALLENGE/FIELD_REP_DESC,10000|20500|37200|55000|78000|105000|140000|180500|230500|290000|350400|400000|454000|510500|560900|600500|650000|705000,61002|60239|3948|60996|60240|60991|8355|60995|3948|26329|3955|56735|8599|61009|3978|60990|8594|57407,1719421200,1720623600,0
36237,jup_s4_fieldrep_gundam_ch,a&JUP_CHALLENGE/FIELD_REP_NAME_GUNDAM,a&JUP_CHALLENGE/FIELD_REP_DESC,9500|21500|36000|58000|90000|130000|175000|225000|285000|350000|420000|500000|520000|550000,65149|3946|65053|3942|44719|64982|65054|65001|8594|65007|65342|44607|26329|63318,1717606800,1718809200,0
36238,jup_s4_fieldrep_fallout_ch,a&JUP_CHALLENGE/FIELD_REP_NAME_FALLOUT,a&JUP_CHALLENGE/FIELD_REP_DESC,10000|20500|37200|55000|78000|105000|140000|180500|200000|225000,65066|3946|65056|3942|44720|26329|64983|65002|8594|65340,1718902800,1719414000,0
43315,jup_s5_fieldrep_emoji_ch,a&JUP_CHALLENGE/FIELD_REP_NAME_EMOJI,a&JUP_CHALLENGE/FIELD_REP_DESC,10000|20500|37200|55000|78000|105000|140000|180500|230500|290000,71721|3946|70646|3942|26329|71722|71872|71873|8594|65344,1726160400,1726671600,0
40806,jup_s5_fieldrep_echo_endo_ch,a&JUP_CHALLENGE/FIELD_REP_NAME_ECHO_ENDO,a&JUP_CHALLENGE/FIELD_REP_DESC,10000|20500|37200|55000|78000|105000|140000|180500|230500|290000,71490|3946|71169|3942|73580|26329|71157|70304|8594|68831,1723654800,1724252400,0
40807,jup_s5_fieldrep_battle_beasts_ch,a&JUP_CHALLENGE/FIELD_REP_NAME_BATTLE_BEASTS,a&JUP_CHALLENGE/FIELD_REP_DESC,10000|20500|37200|55000|78000|105000|140000|180500|230500|290000,81015|26329|70840|81013|26329|81098|79899|79900|79901|71952,1724259600,1724857200,0
43412,jup_s6_fieldrep_biker_ch,a&JUP_CHALLENGE/FIELD_REP_NAME_BIKER,a&JUP_CHALLENGE/FIELD_REP_DESC,10000|20500|37200|55000|78000|105000|140000|180500|230500|290000,83110|3946|83107|3942|84586|83108|82967|82352|8594|82118,1727283600,1727881200,0
