string,string,string,string
0,containers,MP_SHOOTHOUSE2/CALLOUT_CONTAINERS,area
1,bravo_gate,MP_SHOOTHOUSE2/CALLOUT_BRAVO,area
2,backalley,MP_SHOOTHOUSE2/CALLOUT_BACKALLEY,area
3,shantytown,MP_SHOOTHOUSE2/CALLOUT_SHANTYTOWN,area
4,mainstreet,MP_SHOOTHOUSE2/CALLOUT_MAINSTREET,area
5,junkyard,MP_SHOOTHOUSE2/CALLOUT_JUNKYARD,area
6,center,MP_SHOOTHOUSE2/CALLOUT_CENTER,area
7,office,MP_SHOOTHOUSE2/CALLOUT_OFFICE,area
8,courtyard,MP_SHOOTHOUSE2/CALLOUT_COURTYARD,area
9,forklift,MP_SHOOTHOUSE2/CALLOUT_FORKLIFT,area
10,alpha_gate,MP_SHOOTHOUSE2/CALLOUT_ALPHA,area
11,underpass,MP_SHOOTHOUSE2/CALLOUT_UNDERPASS,area
