string,string,string,string
0,workshop,MP_JUP_ESTATE/CALLOUT_WORKSHOP,area
1,workshop_02,MP_JUP_ESTATE/CALLOUT_WORKSHOP_02,area
2,main_road,MP_JUP_ESTATE/CALLOUT_MAIN_ROAD,area
3,lodge_path,MP_JUP_ESTATE/CALLOUT_LODGE_PATH,area
4,waterfall,MP_JUP_ESTATE/CALLOUT_WATERFALL,area
5,greenhouse,MP_JUP_ESTATE/CALLOUT_GREENHOUSE,area
6,greenhouse_lower,MP_JUP_ESTATE/CALLOUT_GREENHOUSE_LOWER,area
7,back_woods,MP_JUP_ESTATE/CALLOUT_BACK_WOODS,area
8,garden,MP_JUP_ESTATE/CALLOUT_GARDEN,area
9,gravel_courtyard,MP_JUP_ESTATE/CALLOUT_GRAVEL_COURTYARD,area
10,lodge_main_room,MP_JUP_ESTATE/CALLOUT_LODGE_MAIN_ROOM,area
11,lodge_kitchen,MP_JUP_ESTATE/CALLOUT_LODGE_KITCHEN,area
12,lodge_bedroom,MP_JUP_ESTATE/CALLOUT_LODGE_BEDROOM,area
13,lodge_game_room,MP_JUP_ESTATE/CALLOUT_LODGE_GAME_ROOM,area
14,lodge_front,MP_JUP_ESTATE/CALLOUT_LODGE_FRONT,area
15,rusted_truck,MP_JUP_ESTATE/CALLOUT_RUSTED_TRUCK,area
16,boathouse,MP_JUP_ESTATE/CALLOUT_BOATHOUSE,area
17,lake,MP_JUP_ESTATE/CALLOUT_LAKE,area
18,overlook,MP_JUP_ESTATE/CALLOUT_OVERLOOK,area
19,long_stairs,MP_JUP_ESTATE/CALLOUT_LONG_STAIRS,area
20,curved_stairs,MP_JUP_ESTATE/CALLOUT_CURVED_STAIRS,area
21,garage,MP_JUP_ESTATE/CALLOUT_GARAGE,area
22,garage_02,MP_JUP_ESTATE/CALLOUT_GARAGE_02,area
23,power_station,MP_JUP_ESTATE/CALLOUT_POWER_STATION,area
24,power_station_roof,MP_JUP_ESTATE/CALLOUT_POWER_STATION_ROOF,area
25,substation,MP_JUP_ESTATE/CALLOUT_SUBSTATION,area
