string,string,localized_a,localized_a,localized_a,string,string,string,string,string,string,string,localized_a,string,string,string,int,string
14763,jup_sb_ch_prestige_s1_throwing_knife_kills,a&CHALLENGE/SB_CH_PRESTIGE_S1_THROWING_KNIFE_KILLS,a&CHALLENGE/SB_CH_PRESTIGE_S1_THROWING_KNIFE_KILLS_DESC,a&,10|25|50,||44365,500|1000|2000,1,1,,,a&,1000,,,0,211
14764,jup_sb_ch_prestige_s1_smg_hipfire,a&CHALLENGE/SB_CH_PRESTIGE_S1_SMG_HIPFIRE,a&CHALLENGE/SB_CH_PRESTIGE_S1_SMG_HIPFIRE_DESC,a&,10|25|50,||44366,500|1000|2000,1,2,,,a&,1000,,,0,211
15742,jup_sb_ch_prestige_s1_assault_rifle_kills,a&CHALLENGE/SB_CH_PRESTIGE_S1_ASSAULT_RIFLE_KILLS,a&CHALLENGE/SB_CH_PRESTIGE_S1_ASSAULT_RIFLE_KILLS_DESC,a&,50|100|250,||44367,500|1000|2000,1,3,,,a&,1000,,,0,211
14776,jup_sb_ch_prestige_s1_switchblade_drone_kills,a&CHALLENGE/SB_CH_PRESTIGE_S1_SWITCHBLADE_DRONE_KILLS,a&CHALLENGE/SB_CH_PRESTIGE_S1_SWITCHBLADE_DRONE_KILLS_DESC,a&,5|10|20,||44368,500|1000|2000,1,4,,,a&,1000,,,0,211
14778,jup_sb_ch_prestige_s1_alternate_ammo_kills,a&CHALLENGE/SB_CH_PRESTIGE_S1_ALTERNATE_AMMO_KILLS,a&CHALLENGE/SB_CH_PRESTIGE_S1_ALTERNATE_AMMO_KILLS_DESC,a&,50|100|250,||44369,500|1000|2000,2,1,,,a&,1000,,,0,211
14795,jup_sb_ch_prestige_s1_butterfly_mine_hits,a&CHALLENGE/SB_CH_PRESTIGE_S1_BUTTERFLY_MINE_HITS,a&CHALLENGE/SB_CH_PRESTIGE_S1_BUTTERFLY_MINE_HITS_DESC,a&,10|25|50,||44370,500|1000|2000,2,2,,,a&,1000,,,0,211
14796,jup_sb_ch_prestige_s1_tactical_stance_headshots,a&CHALLENGE/SB_CH_PRESTIGE_S1_TACTICAL_STANCE_HEADSHOTS,a&CHALLENGE/SB_CH_PRESTIGE_S1_TACTICAL_STANCE_HEADSHOTS_DESC,a&,10|25|50,||44371,500|1000|2000,2,3,,,a&,1000,,,0,211
14797,jup_sb_ch_prestige_s1_killstreaks_destroyed,a&CHALLENGE/SB_CH_PRESTIGE_S1_KILLSTREAKS_DESTROYED,a&CHALLENGE/SB_CH_PRESTIGE_S1_KILLSTREAKS_DESTROYED_DESC,a&,3|5|10,||44372,500|1000|2000,2,4,,,a&,1000,,,0,211
27471,jup_sb_ch_prestige_s1_smg_tac_stance_kills,a&CHALLENGE/SB_CH_PRESTIGE_S1_CAPTURE_BOT_SECURES,a&CHALLENGE/SB_CH_PRESTIGE_S1_CAPTURE_BOT_SECURES_DESC,a&,50|100|250,||44373,500|1000|2000,3,1,,,a&,1000,,,0,211
16566,jup_sb_ch_prestige_s1_pistol_hipfire_kills,a&CHALLENGE/SB_CH_PRESTIGE_S1_PISTOL_HIPFIRE_KILLS,a&CHALLENGE/SB_CH_PRESTIGE_S1_PISTOL_HIPFIRE_KILLS_DESC,a&,50|100|250,||44374,500|1000|2000,3,2,,,a&,1000,,,0,211
14800,jup_sb_ch_prestige_s1_breacher_drone_kills,a&CHALLENGE/SB_CH_PRESTIGE_S1_BREACHER_DRONE_KILLS,a&CHALLENGE/SB_CH_PRESTIGE_S1_BREACHER_DRONE_KILLS_DESC,a&,3|5|10,||44375,500|1000|2000,3,3,,,a&,1000,,,0,211
