string,string,localized_a,string,string
0,Pit Lane,a&MP_GRANDPRIX_PM_2/PIT_LANE,area,
1,Pit Entry,a&MP_GRANDPRIX_PM_2/PIT_ENTRY,area,
2,Buses,a&MP_GRANDPRIX_PM_2/BUSES,area,
3,Blue Clubhouse,a&MP_GRANDPRIX_PM_2/BLUE_CLUBHOUSE,area,
4,Yellow Clubhouses,a&MP_GRANDPRIX_PM_2/YELLOW_CLUBHOUSES,area,
5,Emergency Services,a&MP_GRANDPRIX_PM_2/EMERGENCY_SERVICES,area,
6,Garages,a&MP_GRANDPRIX_PM_2/GARAGES,area,
7,Access Road,a&MP_GRANDPRIX_PM_2/ACCESS_ROAD,area,
8,Back Paddock,a&MP_GRANDPRIX_PM_2/BACK_PADDOCK,area,
9,Ferris Wheel,a&MP_GRANDPRIX_PM_2/FERRIS_WHEEL,area,
10,Fuel Fire,a&MP_GRANDPRIX_PM_2/FUEL_FIRE,area,
11,VIP Lounge,a&MP_GRANDPRIX_PM_2/VIP_LOUNGE,area,
