string,string,string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,localized_a
a0,b1,c2,d3,a&e4,a&g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,a&q16
maxrank,54,,,a&,a&,,,,,,,,,,,a&
0,,0,200,a&,a&,,0,,,,,,1,1,,a&
1,,200,300,a&,a&,,200,,,,,,2,2,,a&
2,,500,400,a&,a&,,500,,,,,,3,3,,a&
3,,900,400,a&,a&,,900,,,,,,4,4,,a&
4,,1300,400,a&,a&,,1300,,,,,,5,5,,a&
5,,1700,400,a&,a&,,1700,,,,,,6,6,,a&
6,,2100,500,a&,a&,,2100,,,,,,7,7,,a&
7,,2600,500,a&,a&,,2600,,,,,,8,8,,a&
8,,3100,500,a&,a&,,3100,,,,,,9,9,,a&
9,,3600,600,a&,a&,,3600,,,,,,10,10,,a&
10,,4200,600,a&,a&,,4200,,,,,,11,11,,a&
11,,4800,800,a&,a&,,4800,,,,,,12,12,,a&
12,,5600,800,a&,a&,,5600,,,,,,13,13,,a&
13,,6400,800,a&,a&,,6400,,,,,,14,14,,a&
14,,7200,800,a&,a&,,7200,,,,,,15,15,,a&
15,,8000,800,a&,a&,,8000,,,,,,16,16,,a&
16,,8800,1000,a&,a&,,8800,,,,,,17,17,,a&
17,,9800,1000,a&,a&,,9800,,,,,,18,18,,a&
18,,10800,1000,a&,a&,,10800,,,,,,19,19,,a&
19,,11800,1200,a&,a&,,11800,,,,,,20,20,,a&
20,,13000,1200,a&,a&,,13000,,,,,,21,21,,a&
21,,14200,1200,a&,a&,,14200,,,,,,22,22,,a&
22,,15400,1200,a&,a&,,15400,,,,,,23,23,,a&
23,,16600,1400,a&,a&,,16600,,,,,,24,24,,a&
24,,18000,1400,a&,a&,,18000,,,,,,25,25,,a&
25,,19400,1400,a&,a&,,19400,,,,,,26,26,,a&
26,,20800,1400,a&,a&,,20800,,,,,,27,27,,a&
27,,22200,2000,a&,a&,,22200,,,,,,28,28,,a&
28,,24200,2000,a&,a&,,24200,,,,,,29,29,,a&
29,,26200,,a&,a&,,26200,,,,,,30,30,,a&
