string,string,localized_a,string
legend,icon_minimap_player,a&MPUI/PLAYER_ICON,
legend,ui_mp_br_mapmenu_ping_navigation_squadleader,a&MPUI/PLAYER_PING_ICON,
vehicles,,a&LUA_MENU/VEHICLES,
vehicles,hud_icon_minimap_vehicle_apc,a&VEHICLES/APC_RUS,
vehicles,hud_icon_minimap_vehicle_acv_6x6,a&VEHICLES/ACV_6X6,
vehicles,hud_icon_minimap_vehicle_palfa,a&VEHICLES/PALFA,
vehicles,hud_icon_minimap_vehicle_littlebird,a&VEHICLES/LITTLE_BIRD,
vehicles,hud_icon_minimap_vehicle_armored_patrol,a&VEHICLES/ARMORED_PATROL_BOAT,
vehicles,hud_icon_minimap_vehicle_rhib,a&VEHICLES/RHIB,
vehicles,hud_icon_minimap_vehicle_tank_cougar,a&VEHICLES/COUGAR,
vehicles,hud_icon_minimap_vehicle_tank_coscar,a&VEHICLES/LIGHT_TANK,
vehicles,hud_icon_minimap_vehicle_jltv_mg,a&VEHICLES/JLTV,
vehicles,hud_icon_minimap_vehicle_atv,a&VEHICLES/ATV,
vehicles,hud_icon_minimap_vehicle_utv,a&VEHICLES/UTV,
vehicles,hud_icon_minimap_vehicle_mil_cargo_truck,a&VEHICLES/CARGO_TRUCK,
vehicles,hud_icon_minimap_vehicle_suv_1996,a&VEHICLES/SUV_1996,
legend,ui_mp_br_ping_icon_domination,a&MP_ARM/HQ,arm
legend,ui_mp_br_mapmenu_ping_navigation_squadleader,a&MPUI/PLAYER_PING_ICON,arm
legend,icon_waypoint_hq,a&MP_ARM/HQ,gwbomb
legend,ui_mp_br_mapmenu_ping_navigation_squadleader,a&MPUI/PLAYER_PING_ICON,gwbomb
bottom,ui_map_icon_ammo_cache,a&DMZ/AMMO_STATION,
