string,string,localized_a,int
invalid,UNKNOWN,a&PRESENCE/UNKNOWN_MAP,0
mp_farm_18,GOLD,a&PRESENCE/MP_FARM_18,0
mp_swap_meet,GOLD,a&PRESENCE/MP_SWAP_MEET,0
mp_luxury,GOLD,a&PRESENCE/MP_LUXURY,0
mp_grandprix_pm_2,GOLD,a&PRESENCE/MP_GRANDPRIX_PM_2,0
mp_benchmark,GOLD,a&PRESENCE/MP_HYDRO,0
mp_jup_benchmark,GOLD,a&PRESENCE/MP_JUP_ESTATE,0
mp_shipment_iw9,GOLD,a&PRESENCE/MP_SHIPMENT_IW9,0
mp_shoothouse2,GOLD,a&PRESENCE/MP_SHOOTHOUSE2,0
mp_observatory,GOLD,a&PRESENCE/MP_JUP_OBSERVATORY,0
mp_sealion,GOLD,a&PRESENCE/MP_SEALION,0
mp_jup_afghan_v2,GOLD,a&PRESENCE/MP_JUP_AFGHAN_V2,0
mp_jup_arcade,GOLD,a&PRESENCE/MP_JUP_ARCADE,0
mp_jup_delayed,GOLD,a&PRESENCE/MP_JUP_DELAYED,0
mp_jup_derail,GOLD,a&PRESENCE/MP_JUP_DERAIL,0
mp_jup_estate,GOLD,a&PRESENCE/MP_JUP_ESTATE,0
mp_jup_favela,GOLD,a&PRESENCE/MP_JUP_FAVELA,0
mp_jup_greece,GOLD,a&PRESENCE/MP_JUP_GREECE,0
mp_jup_highrise,GOLD,a&PRESENCE/MP_JUP_HIGHRISE,0
mp_m_alley,GOLD,a&PRESENCE/MP_M_ALLEY,0
mp_m_blacksite2,GOLD,a&PRESENCE/MP_M_BLACKSITE2,0
mp_m_exhibit,GOLD,a&PRESENCE/MP_M_EXHIBIT,0
mp_jup_invasion,GOLD,a&PRESENCE/MP_JUP_INVASION,0
mp_jup_karachi,GOLD,a&PRESENCE/MP_JUP_KARACHI,0
mp_jup_quarry,GOLD,a&PRESENCE/MP_JUP_QUARRY,0
mp_jup_rundown,GOLD,a&PRESENCE/MP_JUP_RUNDOWN,0
mp_jup_rust,GOLD,a&PRESENCE/MP_JUP_RUST,0
mp_jup_scrapyard,GOLD,a&PRESENCE/MP_JUP_SCRAPYARD,0
mp_jup_skidrow,GOLD,a&PRESENCE/MP_JUP_SKIDROW,0
mp_jup_subbase,GOLD,a&PRESENCE/MP_JUP_SUBBASE,0
mp_jup_terminal,GOLD,a&PRESENCE/MP_JUP_TERMINAL,0
mp_jup_underpass,GOLD,a&PRESENCE/MP_JUP_UNDERPASS,0
mp_jup_wasteland,GOLD,a&PRESENCE/MP_JUP_WASTELAND,0
