string,string,string,string
0,armory,MP_JUP_SUBBASE/ARMORY,area
1,base_entrance,MP_JUP_SUBBASE/BASE_ENTRANCE,area
2,catwalks,MP_JUP_SUBBASE/CATWALKS,area
3,catwalks_roof,MP_JUP_SUBBASE/CATWALKS_ROOF,area
4,control_room,MP_JUP_SUBBASE/CONTROL_ROOM,area
5,crane,MP_JUP_SUBBASE/CRANE,area
6,dry_dock,MP_JUP_SUBBASE/DRY_DOCK,area
7,east_dock,MP_JUP_SUBBASE/EAST_DOCK,area
8,fueling_station,MP_JUP_SUBBASE/FUELING_STATION,area
9,garage_bay,MP_JUP_SUBBASE/GARAGE_BAY,area
10,guard_room,MP_JUP_SUBBASE/GUARD_ROOM,area
11,helipad_roof,MP_JUP_SUBBASE/HELIPAD_ROOF,area
12,loading_bay,MP_JUP_SUBBASE/LOADING_BAY,area
13,maintenance_yard,MP_JUP_SUBBASE/MAINTENANCE_YARD,area
14,north_dock,MP_JUP_SUBBASE/NORTH_DOCK,area
15,office,MP_JUP_SUBBASE/OFFICE,area
16,office_warehouse,MP_JUP_SUBBASE/OFFICE_WAREHOUSE,area
17,power_station,MP_JUP_SUBBASE/POWER_STATION,area
18,server_room,MP_JUP_SUBBASE/SERVER_ROOM,area
19,tank,MP_JUP_SUBBASE/TANK,area
20,tunnel,MP_JUP_SUBBASE/TUNNEL,area
21,warehouse,MP_JUP_SUBBASE/WAREHOUSE,area
22,warehouse_2nd_level,MP_JUP_SUBBASE/WAREHOUSE_2ND_LEVEL,area
