string,localized_a,int,int
dm,a&PRESENCE/DM,0,1
war,a&PRESENCE/WAR,0,1
sd,a&PRESENCE/SD,0,1
dom,a&PRESENCE/DOM,0,1
koth,a&PRESENCE/KOTH,0,1
ctf,a&PRESENCE/CTF,0,1
dd,a&PRESENCE/DD,0,1
conf,a&PRESENCE/CONF,0,1
gun,a&PRESENCE/GUN,0,1
infect,a&PRESENCE/INFECT,0,1
arena,a&PRESENCE/ARENA,0,1
hq,a&PRESENCE/HEADQUARTERS,0,1
cyber,a&PRESENCE/CYBERATTACK,0,1
arm,a&PRESENCE/GROUNDWAR,0,5
trial,a&PRESENCE/TRIAL,0,1
br,a&PRESENCE/BR,0,2
dungeons,a&PRESENCE/DUNGEONS,0,0
gwtdm,a&PRESENCE/GWTDM,0,5
benchmark,a&PRESENCE/BENCHMARK,0,1
control,a&PRESENCE/CONTROL,0,1
bounty,a&PRESENCE/BOUNTY,0,1
aon,a&PRESENCE/AON,0,1
oic,a&PRESENCE/OIC,0,1
ob,a&PRESENCE/OB,0,1
wm,a&PRESENCE/WM,0,0
xfire,a&PRESENCE/XFIRE,0,0
cdl_koth,a&PRESENCE/CDL_KOTH,0,0
cdl_sd,a&PRESENCE/CDL_SD,0,3
cdl_control,a&PRESENCE/CDL_CONTROL,0,3
gold_gun,a&PRESENCE/GOLD_GUN,0,0
team_gun,a&PRESENCE/TEAM_GUN,0,0
conf_jugg,a&PRESENCE/CONF_JUGG,0,0
dom_jugg,a&PRESENCE/DOM_JUGG,0,0
koth_jugg,a&PRESENCE/KOTH_JUGG,0,0
hc_conf,a&PRESENCE/HC_CONF,0,0
koth_horde,a&PRESENCE/KOTH_HORDE,0,0
br_solos,a&PRESENCE/BR_SOLOS,0,2
br_duos,a&PRESENCE/BR_DUOS,0,2
br_trios,a&PRESENCE/BR_TRIOS,0,2
br_quads,a&PRESENCE/BR_QUADS,0,2
plunder,a&PRESENCE/PLUNDER,0,2
resurgence,a&PRESENCE/RESURGENCE,0,2
resur_solos,a&PRESENCE/RESUR_SOLOS,0,2
resur_duos,a&PRESENCE/RESUR_DUOS,0,2
resur_trios,a&PRESENCE/RESUR_TRIOS,0,2
resur_quads,a&PRESENCE/RESUR_QUADS,0,2
poiresurgence,a&PRESENCE/POIRESURGENCE,0,2
poiresurgence_solos,a&PRESENCE/POIRESURGENCE_SOLOS,0,2
poiresurgence_duos,a&PRESENCE/POIRESURGENCE_DUOS,0,2
poiresurgence_trios,a&PRESENCE/POIRESURGENCE_TRIOS,0,2
poiresurgence_quads,a&PRESENCE/POIRESURGENCE_QUADS,0,2
zonecontrol,a&PRESENCE/ZONECONTROL,0,2
mini_solos,a&PRESENCE/MINI_SOLOS,0,2
mini_duos,a&PRESENCE/MINI_DUOS,0,2
mini_trios,a&PRESENCE/MINI_TRIOS,0,2
mini_quads,a&PRESENCE/MINI_QUADS,0,2
resranked,a&PRESENCE/RESRANKED,0,2
resur_solos_sealion,a&PRESENCE/RESUR_SOLOS_SEALION,0,2
resur_duos_sealion,a&PRESENCE/RESUR_DUOS_SEALION,0,2
resur_trios_sealion,a&PRESENCE/RESUR_TRIOS_SEALION,0,2
resur_quads_sealion,a&PRESENCE/RESUR_QUADS_SEALION,0,2
resur_solos_delta,a&PRESENCE/RESUR_SOLOS_DELTA,0,2
resur_duos_delta,a&PRESENCE/RESUR_DUOS_DELTA,0,2
resur_trios_delta,a&PRESENCE/RESUR_TRIOS_DELTA,0,2
resur_quads_delta,a&PRESENCE/RESUR_QUADS_DELTA,0,2
resurge_solos_fk,a&PRESENCE/RESURGE_SOLOS_FK,0,2
resurge_duos_fk,a&PRESENCE/RESURGE_DUOS_FK,0,2
resurge_trios_fk,a&PRESENCE/RESURGE_TRIOS_FK,0,2
resurge_quads_fk,a&PRESENCE/RESURGE_QUADS_FK,0,2
br_solos_delta,a&PRESENCE/BR_SOLOS_DELTA,0,2
br_duos_delta,a&PRESENCE/BR_DUOS_DELTA,0,2
br_trios_delta,a&PRESENCE/BR_TRIOS_DELTA,0,2
br_quads_delta,a&PRESENCE/BR_QUADS_DELTA,0,2
resur_solos_escape,a&PRESENCE/RESUR_SOLOS_ESCAPE,0,2
resur_duos_escape,a&PRESENCE/RESUR_DUOS_ESCAPE,0,2
resur_trios_escape,a&PRESENCE/RESUR_TRIOS_ESCAPE,0,2
resur_quads_escape,a&PRESENCE/RESUR_QUADS_ESCAPE,0,2
resurgmass,a&PRESENCE/RESURGMASS,0,2
mines,a&PRESENCE/MINES,0,0
escort,a&PRESENCE/ESCORT,0,0
arcade,a&PRESENCE/ARCADE,0,0
limbo,a&PRESENCE/LIMBO,0,6
zxp,a&PRESENCE/ZXP,0,6
infect_phishing,a&PRESENCE/INFECT_PHISHING,0,1
