string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,int
22218,jup_daily_br_ch_selfrevive,a&CHALLENGE/BR_DAILY_JUP_SELFREVIVE,a&CHALLENGE/BR_DAILY_JUP_SELFREVIVE_DESC,3,2500,,1,,,,,1,,,0
22209,jup_daily_br_ch_contracts,a&CHALLENGE/BR_DAILY_MISSION_FOCUSED,a&CHALLENGE/BR_DAILY_MISSION_FOCUSED_DESC,4,2500,,1,,,,,2,,,0
22135,jup_daily_br_ch_assists,a&CHALLENGE/DAILY_ASSISTER,a&CHALLENGE/DAILY_ASSISTER_DESC,10,2500,,1,,,,,3,,,0
21415,jup_daily_br_ch_kills,a&CHALLENGE/BR_DAILY_BONUS_ANY_KILLS,a&CHALLENGE/BR_DAILY_BONUS_ANY_KILLS_DESC,5,2500,,1,,,,,4,,,0
21422,jup_daily_br_ch_loot_cache,a&CHALLENGE/BR_DAILY_LOOT_CACHES,a&CHALLENGE/BR_DAILY_LOOT_CACHES_DESC,10,2500,,1,,,,,5,,,0
38297,jup_daily_br_ch_use_equipment,a&CHALLENGE/BR_DAILY_USE_EQUIPMENT,a&CHALLENGE/BR_DAILY_USE_EQUIPMENT_DESC,10,2500,,1,,,,,6,,,0
38311,jup_daily_br_ch_use_killstreak,a&CHALLENGE/BR_DAILY_USE_KILLSTREAK,a&CHALLENGE/BR_DAILY_USE_KILLSTREAK_DESC,10,2500,,1,,,,,7,,,0
21416,jup_daily_br_ch_kills_ar,a&CHALLENGE/BR_DAILY_AR_MATCH_KILLS,a&CHALLENGE/BR_DAILY_AR_MATCH_KILLS_DESC,5,2500,,2,,,,,1,,,0
21417,jup_daily_br_ch_kills_br,a&CHALLENGE/P2_WEAPON_KILLS_BATTLE_RIFLE,a&CHALLENGE/BR_DAILY_BR_MATCH_KILLS_DESC,5,2500,,2,,,,,2,,,0
22179,jup_daily_br_ch_kills_dmr,a&CHALLENGE/BR_DAILY_DMR_MATCH_KILLS,a&CHALLENGE/BR_DAILY_DMR_MATCH_KILLS_DESC,5,2500,,2,,,,,3,,,0
22143,jup_daily_br_ch_kills_lmg,a&CHALLENGE/BR_DAILY_LMG_MATCH_KILLS,a&CHALLENGE/BR_DAILY_LMG_MATCH_KILLS_DESC,5,2500,,2,,,,,4,,,0
22215,jup_daily_br_ch_kills_shg,a&CHALLENGE/BR_DAILY_SHOTGUN_MATCH_KILLS,a&CHALLENGE/BR_DAILY_SHOTGUN_MATCH_KILLS_DESC,5,2500,,2,,,,,5,,,0
21418,jup_daily_br_ch_kills_smg,a&CHALLENGE/BR_DAILY_SMG_MATCH_KILLS,a&CHALLENGE/BR_DAILY_SMG_MATCH_KILLS_DESC,5,2500,,2,,,,,6,,,0
21419,jup_daily_br_ch_kills_sniper,a&CHALLENGE/BR_DAILY_SNIPER_MATCH_KILLS,a&CHALLENGE/BR_DAILY_SNIPER_MATCH_KILLS_DESC,5,2500,,2,,,,,7,,,0
38318,jup_daily_br_ch_intel,a&CHALLENGE/BR_DAILY_COMPLETE_CONTRACT_INTEL,a&CHALLENGE/BR_DAILY_COMPLETE_CONTRACT_INTEL_DESC,3,2500,,3,,,,,1,,,0
22180,jup_daily_br_ch_placement,a&JUP_CHALLENGE/JUP_BR_DAILY_BEST_OF_THE_BEST,a&JUP_CHALLENGE/JUP_BR_DAILY_BEST_OF_THE_BEST_DESC,1,2500,,3,,,,,2,,,0
22208,jup_daily_br_ch_caregiver,a&CHALLENGE/BR_DAILY_CAREGIVER,a&CHALLENGE/BR_DAILY_CAREGIVER_DESC,3,2500,,3,,,,,3,,,0
22211,jup_daily_br_ch_philanthropist,a&CHALLENGE/BR_DAILY_PHILANTHROPIST,a&CHALLENGE/BR_DAILY_PHILANTHROPIST_DESC,3,2500,,3,,,,,4,,,0
22212,jup_daily_br_ch_kills_lethals,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_LETHAL,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_LETHAL_DESC,2,2500,,3,,,,,5,,,0
29788,jup_daily_br_ch_kills_urzikstan,a&JUP_CHALLENGE/JUP_BR_DAILY_KILL_URZIKSTAN,a&JUP_CHALLENGE/JUP_BR_DAILY_KILL_URZIKSTAN_DESC,5,2500,,3,,,,,6,,2,0
29835,jup_daily_br_ch_kills_escape5,a&JUP_CHALLENGE/JUP_BR_DAILY_KILL_ESCAPE5,a&JUP_CHALLENGE/JUP_BR_DAILY_KILL_ESCAPE5_DESC,5,2500,,3,,,,,7,,3,0
38313,jup_daily_br_ch_assassination,a&CHALLENGE/BR_DAILY_COMPLETE_CONTRACT_ASSASSINATION,a&CHALLENGE/BR_DAILY_COMPLETE_CONTRACT_ASSASSINATION_DESC,3,2500,,3,,,,,8,,,0
38320,jup_daily_br_ch_scavenger,a&CHALLENGE/BR_DAILY_COMPLETE_CONTRACT_SCAVENGER,a&CHALLENGE/BR_DAILY_COMPLETE_CONTRACT_SCAVENGER_DESC,3,2500,,3,,,,,9,,,0
48391,jup_daily_br_ch_kills_fortunes_keep_1,a&JUP_CHALLENGE/JUP_BR_DAILY_KILL_FORTUNES_KEEP,a&JUP_CHALLENGE/JUP_BR_DAILY_KILL_FORTUNES_KEEP_DESC,2,2500,,3,,,,,10,,6,0
21715,jup_daily_br_ch_bonus,a&JUP_CHALLENGE/BR_DAILY_BONUS_TIMEBASED,a&JUP_CHALLENGE/BR_DAILY_BONUS_TIMEBASED_DESC,1,,,4,,,,,1,,,0
