string,string,localized_a,localized_a,string,string,string,string,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int
16937,jup_ob_contract_ping,a&,a&ZOMBIE_CHALLENGE/DIRECT_LINE_DESC_1,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,,0
15725,jup_ob_complete_contract,a&,a&ZOMBIE_CHALLENGE/DIRECT_LINE_DESC_2,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,,0
15726,jup_ob_exfil_successfully,a&,a&ZOMBIE_CHALLENGE/DIRECT_LINE_DESC_3,1,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,,0
16939,jup_ob_direct_line_complete,a&ZOMBIE_CHALLENGE/DIRECT_LINE,a&,3,,1500,,a&ZOMBIE_CHALLENGE/DIRECT_LINE_SUMMARY,,,,,16937|15725|15726,,,,,,,,29670,,,0
21175,jup_ob_treasure_hunter_complete,a&ZOMBIE_CHALLENGE/TREASURE_HUNTER,a&,1,39693,1500,,a&ZOMBIE_CHALLENGE/TREASURE_HUNTER_SUMMARY,,,,,21176,,,,,,,,,,,0
21176,jup_ob_open_crates,a&,a&ZOMBIE_CHALLENGE/TREASURE_HUNTER_DESC,25,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,,0
15770,jup_ob_road_warrior_complete,a&ZOMBIE_CHALLENGE/ROAD_RAGE,a&,2,,1500,,a&ZOMBIE_CHALLENGE/ROAD_RAGE_SUMMARY,,,,,16126|16128,,,,,,,,29672,,,0
16126,jup_ob_zombie_vehicle_kills,a&,a&ZOMBIE_CHALLENGE/ROAD_WARRIOR_DESC_1,30,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,,0
16127,jup_ob_zombie_vehicle_turret_kills,a&,a&ZOMBIE_CHALLENGE/ROAD_WARRIOR_DESC_2,30,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,,0
16128,jup_ob_vehicle_tire_repair,a&,a&ZOMBIE_CHALLENGE/ROAD_WARRIOR_DESC_3,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,,0
14765,jup_ob_wallbuy,a&ZOMBIE_CHALLENGE/WALL_POWER,a&,2,37352,1500,,a&ZOMBIE_CHALLENGE/WALL_POWER_SUMMARY,,,,,14352|14353,,,,,,,,,,,0
14353,jup_ob_wallbuy_kill,a&,a&ZOMBIE_CHALLENGE/WALL_POWER_DESC_2,50,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,,0
14352,jup_ob_wallbuy_purchase,a&,a&ZOMBIE_CHALLENGE/WALL_POWER_DESC_1,1,,,,a&,ui_menu_missions_tracking_radial_purchases,,,,,,,,,,,,,,,0
14966,jup_ob_pap_firepower,a&ZOMBIE_CHALLENGE/FIREPOWER,a&,2,,1500,,a&ZOMBIE_CHALLENGE/FIREPOWER_SUMMARY,,,,,14884|17587,,,,,,,,35519,,,0
14884,jup_ob_pap_purchase_level_1,a&,a&ZOMBIE_CHALLENGE/FIREPOWER_DESC_1,1,,,,a&,ui_menu_missions_tracking_radial_upgrades,,,,,,,,,,,,,,,0
17587,jup_ob_pap_kill_zombie_level_1_yellow_or_higher,a&,a&ZOMBIE_CHALLENGE/FIREPOWER_DESC_2_R1,50,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,,0
14837,jup_ob_magicbox,a&ZOMBIE_CHALLENGE/GAMBLER,a&,2,,1500,,a&ZOMBIE_CHALLENGE/GAMBLER_SUMMARY,,,,,14359|14357,,,,,,,,35516,,,0
14357,jup_ob_magicbox_kill,a&,a&ZOMBIE_CHALLENGE/GAMBLER_DESC_2,50,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,,0
