string,string,localized_a,string,string
0,atrium,a&MP_LUXURY/CALLOUT_ATRIUM,area,
1,kitchen,a&MP_LUXURY/CALLOUT_KITCHEN,area,
2,storage,a&MP_LUXURY/CALLOUT_STORAGE,area,
3,restaurant,a&MP_LUXURY/CALLOUT_RESTAURANT,area,
4,check_in,a&MP_LUXURY/CALLOUT_CHECK_IN,area,
5,patio,a&MP_LUXURY/CALLOUT_PATIO,area,
6,parking,a&MP_LUXURY/CALLOUT_PARKING,area,
7,valet,a&MP_LUXURY/CALLOUT_VALET,area,
8,rooftop,a&MP_LUXURY/CALLOUT_ROOFTOP,area,
9,penthouse,a&MP_LUXURY/CALLOUT_PENTHOUSE,area,
10,burning_car,a&MP_LUXURY/CALLOUT_BURNING_CAR,area,
11,spa_entrance,a&MP_LUXURY/CALLOUT_SPA_ENTRANCE,area,
12,bar,a&MP_LUXURY/CALLOUT_BAR,area,
14,valet_reception,a&MP_LUXURY/CALLOUT_VALET_RECEPTION,area,
15,lobby,a&MP_LUXURY/CALLOUT_LOBBY,area,
16,spa,a&MP_LUXURY/CALLOUT_SPA,area,
18,chandelier,a&MP_LUXURY/CALLOUT_CHANDELIER,area,
19,store,a&MP_LUXURY/CALLOUT_STORE,area,
20,main_entrance,a&MP_LUXURY/CALLOUT_MAIN_ENTRANCE,area,
21,underpass,a&MP_LUXURY/CALLOUT_UNDERPASS,area,
