string,string,string,string
0,callout_base,MP_JUP_WASTELAND/CALLOUT_BASE,area
1,callout_cars,MP_JUP_WASTELAND/CALLOUT_CARS,area
2,callout_church,MP_JUP_WASTELAND/CALLOUT_CHURCH,area
3,callout_dugout,MP_JUP_WASTELAND/CALLOUT_DUGOUT,area
4,callout_front_yard,MP_JUP_WASTELAND/CALLOUT_FRONT_YARD,area
5,callout_gravedigger,MP_JUP_WASTELAND/CALLOUT_GRAVEDIGGER,area
6,callout_graveyard,MP_JUP_WASTELAND/CALLOUT_GRAVEYARD,area
7,callout_chopper,MP_JUP_WASTELAND/CALLOUT_HELICOPTER,area
8,callout_house,MP_JUP_WASTELAND/CALLOUT_HOUSE,area
9,callout_lake,MP_JUP_WASTELAND/CALLOUT_LAKE,area
10,callout_north_hills,MP_JUP_WASTELAND/CALLOUT_NORTH_HILLS,area
11,callout_north_road,MP_JUP_WASTELAND/CALLOUT_NORTH_ROAD,area
12,callout_north_trench,MP_JUP_WASTELAND/CALLOUT_NORTH_TRENCH,area
13,callout_north_yard,MP_JUP_WASTELAND/CALLOUT_NORTH_YARD,area
14,callout_school,MP_JUP_WASTELAND/CALLOUT_SCHOOL,area
15,callout_junkyard,MP_JUP_WASTELAND/CALLOUT_SCRAPYARD,area
16,callout_shed,MP_JUP_WASTELAND/CALLOUT_SHED,area
17,callout_south_hills,MP_JUP_WASTELAND/CALLOUT_SOUTH_HILLS,area
18,callout_south_road,MP_JUP_WASTELAND/CALLOUT_SOUTH_ROAD,area
19,callout_south_trench,MP_JUP_WASTELAND/CALLOUT_SOUTH_TRENCH,area
20,callout_tanks,MP_JUP_WASTELAND/CALLOUT_TANKS,area
21,callout_west_trench,MP_JUP_WASTELAND/CALLOUT_WEST_TRENCH,area
