string,string,localized_a,localized_a,localized_a,string,string,string,string,string,string,string,localized_a,string,string,string,int
9932,iw9_ch_prestige_s1_triple_kill,a&CHALLENGE/PRESTIGE_S1_TRIPLE_KILL,a&CHALLENGE/PRESTIGE_S1_TRIPLE_KILL_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P1,25,6629,10000,1,1,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P1,1000,,,0
9960,iw9_ch_prestige_s1_br_headshot,a&CHALLENGE/PRESTIGE_S1_BR_HEADSHOT,a&CHALLENGE/PRESTIGE_S1_BR_HEADSHOT_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P1,100,6114,10000,1,2,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P1,1000,,,0
9934,iw9_ch_prestige_s1_frag_kill,a&CHALLENGE/PRESTIGE_S1_FRAG_KILL,a&CHALLENGE/PRESTIGE_S1_FRAG_KILL_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P1,25,6184,10000,1,3,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P1,1000,,,0
9935,iw9_ch_prestige_s1_smg_longshot,a&CHALLENGE/PRESTIGE_S1_SMG_LONGSHOT,a&CHALLENGE/PRESTIGE_S1_SMG_LONGSHOT_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P1,50,6620,10000,1,4,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P1,1000,,,0
9936,iw9_ch_prestige_s1_drill_charge_kill,a&CHALLENGE/PRESTIGE_S1_DRILL_CHARGE_KILL,a&CHALLENGE/PRESTIGE_S1_DRILL_CHARGE_KILL_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P2,25,6894,10000,2,1,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P2,1000,,,0
9937,iw9_ch_prestige_s1_ar_hipfire,a&CHALLENGE/PRESTIGE_S1_AR_HIPFIRE,a&CHALLENGE/PRESTIGE_S1_AR_HIPFIRE_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P2,200,6421,10000,2,2,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P2,1000,,,0
9938,iw9_ch_prestige_s1_dead_silence_kill,a&CHALLENGE/PRESTIGE_S1_DEAD_SILENCE_KILL,a&CHALLENGE/PRESTIGE_S1_DEAD_SILENCE_KILL_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P2,50,6687,10000,2,3,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P2,1000,,,0
9939,iw9_ch_prestige_s1_shotgun_ads,a&CHALLENGE/PRESTIGE_S1_SHOTGUN_ADS,a&CHALLENGE/PRESTIGE_S1_SHOTGUN_ADS_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P2,100,6582,10000,2,4,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P2,1000,,,0
9940,iw9_ch_prestige_s1_launcher_kill,a&CHALLENGE/PRESTIGE_S1_LAUNCHER_KILL,a&CHALLENGE/PRESTIGE_S1_LAUNCHER_KILL_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P3,50,6264,10000,3,1,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P3,1000,,,0
9941,iw9_ch_prestige_s1_finishing_move,a&CHALLENGE/PRESTIGE_S1_FINISHING_MOVE,a&CHALLENGE/PRESTIGE_S1_FINISHING_MOVE_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P3,10,6406,10000,3,2,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P3,1000,,,0
9942,iw9_ch_prestige_s1_killstreak_5,a&CHALLENGE/PRESTIGE_S1_KILLSTREAK_5,a&CHALLENGE/PRESTIGE_S1_KILLSTREAK_5_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P3,15,6535,10000,3,3,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P3,1000,,,0
9943,iw9_ch_prestige_s1_throwin_knife_kill,a&CHALLENGE/PRESTIGE_S1_THROWIN_KNIFE_KILL,a&CHALLENGE/PRESTIGE_S1_THROWIN_KNIFE_KILL_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P3,30,6521,10000,3,4,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P3,1000,,,0
9944,iw9_ch_prestige_s1_lmg_headshot,a&CHALLENGE/PRESTIGE_S1_LMG_HEADSHOT,a&CHALLENGE/PRESTIGE_S1_LMG_HEADSHOT_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P4,100,6364,10000,4,1,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P4,1000,,,0
9945,iw9_ch_prestige_s1_shock_shockstick,a&CHALLENGE/PRESTIGE_S1_SHOCK_SHOCKSTICK,a&CHALLENGE/PRESTIGE_S1_SHOCK_SHOCKSTICK_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P4,25,6316,10000,4,2,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P4,1000,,,0
9946,iw9_ch_prestige_s1_battle_rage_kill,a&CHALLENGE/PRESTIGE_S1_BATTLE_RAGE_KILL,a&CHALLENGE/PRESTIGE_S1_BATTLE_RAGE_KILL_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P4,50,6444,10000,4,3,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P4,1000,,,0
9947,iw9_ch_prestige_s1_pistol_hipfire,a&CHALLENGE/PRESTIGE_S1_PISTOL_HIPFIRE,a&CHALLENGE/PRESTIGE_S1_PISTOL_HIPFIRE_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P4,100,7012,10000,4,4,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P4,1000,,,0
9956,iw9_ch_prestige_s1_secondary_weapon,a&CHALLENGE/PRESTIGE_S1_SECONDARY_WEAPON,a&CHALLENGE/PRESTIGE_S1_SECONDARY_WEAPON_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P5,100,6275,10000,5,1,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P5,1000,,,0
9957,iw9_ch_prestige_s1_use_killstreak,a&CHALLENGE/PRESTIGE_S1_USE_KILLSTREAK,a&CHALLENGE/PRESTIGE_S1_USE_KILLSTREAK_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P5,50,6309,10000,5,2,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P5,1000,,,0
9958,iw9_ch_prestige_s1_kingslayer_kill,a&CHALLENGE/PRESTIGE_S1_KINGSLAYER_KILL,a&CHALLENGE/PRESTIGE_S1_KINGSLAYER_KILL_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P5,100,6183,10000,5,3,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P5,1000,,,0
9959,iw9_ch_prestige_s1_destroy_vehicle,a&CHALLENGE/PRESTIGE_S1_DESTROY_VEHICLE,a&CHALLENGE/PRESTIGE_S1_DESTROY_VEHICLE_DESC,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P5,25,6332,10000,5,4,,,a&CHALLENGE/PRESTIGE_S1_UNLOCK_P5,1000,,,0
