string,string,localized_a,localized_a,string,string,string,string,string,int,string
17179,jup_wc_equip_semtex_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,27258,1,equipment,0,
22151,jup_wc_equip_flash_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,27262,2,equipment,0,
23401,jup_wc_super_emp_pulse_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,27430,3,super,0,
17180,jup_wc_killstreak_airdrop_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,27326,4,killstreak,0,
17618,jup_wc_jup_jp08_ar_qbravo97,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,17214,5,weapondata,0,23082+23085+52467+26664
17181,jup_wc_equip_at_mine_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,27260,6,equipment,0,
14691,jup_wc_equip_shockstick_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,27299,7,equipment,0,
17184,jup_wc_super_deployed_decoy_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,27438,8,super,0,
17182,jup_wc_killstreak_cluster_spike_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,8,,27327,9,killstreak,0,
16380,jup_wc_perk_ghost_camo_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,27398,10,perk,0,
14682,jup_wc_jup_jp07_sm_uzulu,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,17213,11,weapondata,0,22632+22637+1200+2472
17207,jup_wc_equip_adrenaline_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,27268,12,equipment,0,
15455,jup_wc_super_trophy_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,27416,13,super,0,
15760,jup_wc_jup_jp19_br_acharlie450,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,8,,17192,14,weapondata,0,22969+22973+22977+24003
17195,jup_wc_killstreak_pac_sentry_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,8,,27333,15,killstreak,0,
17198,jup_wc_perk_tac_gloves_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,27374,16,perk,0,
23403,jup_wc_jup_jp23_me_kalpha,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,28186,17,weapondata,0,38261
17186,jup_wc_equip_c4_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,27251,18,equipment,0,
17196,jup_wc_killstreak_toma_strike_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,27329,19,killstreak,0,
17206,jup_wc_jup_jp36_sn_boscar,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,32080,20,weapondata,0,29781+32815+864
14689,jup_wc_equip_breacher_drone_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,27310,21,equipment,0,
15752,jup_wc_jup_jp01_dm_slima8,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,17202,22,weapondata,0,21757+21781+3507
17187,jup_wc_equip_gas_grenade_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,27267,23,equipment,0,
16389,jup_wc_perk_signal_jammer_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,27369,24,perk,0,
17194,jup_wc_killstreak_juggernaut_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,27341,25,killstreak,0,
15753,jup_wc_jup_jp01_lm_mgolf36,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,17207,26,weapondata,0,21758+21782+1200+3507
17185,jup_wc_equip_bunkerbuster_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,27302,27,equipment,0,
15759,jup_wc_jup_jp13_sn_svictor,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,17190,28,weapondata,0,22740+27017+36911
23397,jup_wc_perk_covert_ops_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,33536,29,perk,0,
15757,jup_wc_jup_jp07_pi_uzulum,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,17191,30,weapondata,0,22630+22635+2472
17191,jup_wc_killstreak_directional_uav_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,27339,31,killstreak,0,
15603,jup_wc_jup_cp01_sh_aromeo410,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,30275,32,weapondata,0,32592+30286+30287
17205,jup_wc_super_tac_camera_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,27427,33,super,0,
16379,jup_wc_perk_canvas_sneakers_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,27375,34,perk,0,
15747,jup_wc_equip_tracker_grenade_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,27307,35,equipment,0,
17209,jup_wc_jup_jp02_sm_scharlie3,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,17199,36,weapondata,0,22437+22442+1200+2472
17199,jup_wc_super_hb_sensor_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,8,,27442,37,super,0,
17189,jup_wc_killstreak_airdrop_multiple_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,8,,27344,38,killstreak,0,
15754,jup_wc_jup_jp02_br_bromeo2,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,17186,39,weapondata,0,22433+22438+26332+2110
16391,jup_wc_perk_taccom_system_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,8,,27385,40,perk,0,
15756,jup_wc_jup_jp04_sm_lwhiskey,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,17185,41,weapondata,0,22900+22902+1200+2472
17203,jup_wc_super_sound_veil_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,27433,42,super,0,
17193,jup_wc_killstreak_hover_jet_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,8,,27336,43,killstreak,0,
15755,jup_wc_jup_jp02_dm_bromeop,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,17180,44,weapondata,0,22436+22441+2110
16383,jup_wc_perk_intel_jacker_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,8,,27387,45,perk,0,
17188,jup_wc_equip_molotov_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,27257,46,equipment,0,
17204,jup_wc_super_suppression_rounds_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,27428,47,super,0,
17192,jup_wc_killstreak_gunship_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,27340,48,killstreak,0,
26621,jup_wc_jup_cp06_ar_falpha,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,46570,49,weapondata,0,46903+46904+52467+3507+1641
17190,jup_wc_killstreak_assault_drone_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,27256,50,killstreak,0,
23398,jup_wc_perk_marksman_gloves_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,31565,51,perk,0,
17202,jup_wc_super_recon_drone_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,27411,52,super,0,
26633,jup_wc_equip_snapshot_grenade_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,27265,53,equipment,0,
23408,jup_wc_jup_playercard_opc_launchwinchallengeshop_03,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,30,,41391,54,playercard,0,
23407,jup_wc_jup_emblem_opc_launchwinchallengeshop_05,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,60,,41847,55,emblem,0,
23409,jup_wc_jup_vinyl_rh_graffiti_01,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,90,,39743,56,weaponstickersdata,0,
23439,jup_wc_jup_las_minireddot01,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,21779,57,attachmentdata,0,
24290,jup_wc_jup_las_twofivex01,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,21774,58,attachmentdata,0,
15761,jup_wc_jup_jp19_dm_acharlied,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,17218,59,weapondata,0,22972+22976+24010
26622,jup_wc_jup_jp19_dm_acharlied_mag_20_68r_amp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,48089,60,attachmentdata,0,49001+32863+37007
23393,jup_wc_jup_jp07_sm_uzulu_22_45acp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,48086,61,attachmentdata,0,48977+48984+45996+45997+45998
27140,jup_wc_jup_cp24_sm_glima21_bar_convert,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,48085,62,attachmentdata,0,48978+48979+48980+48981+48982+48983+25628
35941,jup_wc_jup_silencer_ar_jp34,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,57612,63,attachmentdata,0,
35942,jup_wc_jup_silencer_br_jp34,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,57613,64,attachmentdata,0,
36215,jup_wc_jup_moscar_scope_global,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,58020,65,attachmentdata,0,
25534,jup_wc_ammo_blk_p43,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,2462,66,attachmentdata,0,
14688,jup_wc_killstreak_emp_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,8,,27350,67,killstreak,0,
26845,jup_wc_super_deadsilence_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,8,,27418,68,super,0,
15748,jup_wc_killstreak_drone_swarm_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,8,,27363,69,killstreak,0,
23400,jup_wc_perk_scout_vest_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,33540,70,perk,0,
17234,jup_wc_jup_acharlie_amp_300blk,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,23996,71,attachmentdata,0,22975+22971+48995+48996+48997+48998+48999+49000+2462
14695,jup_wc_jup_jp07_sm_uzulup_stock_brace,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,48087,72,attachmentdata,0,26988
17617,jup_wc_jup_jp08_ar_qbravo95_amp_t95,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,34103,73,attachmentdata,0,23090+49002+49003+49004+49005+49006+49007+49008+49009+23084+23081
14964,jup_wc_jup_cp05_lm_halpha,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,29641,74,weapondata,0,29774+3315+2727+2110
23817,jup_wc_jup_cp05_lm_halpha_stock_tac,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,32842,75,attachmentdata,0,
23816,jup_wc_jup_cp05_lm_halpha_stock_lgt,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,32843,76,attachmentdata,0,
23815,jup_wc_jup_cp05_lm_halpha_stock_hvy,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,32841,77,attachmentdata,0,
23814,jup_wc_jup_cp05_lm_halpha_stock_ass,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,32840,78,attachmentdata,0,
23812,jup_wc_jup_cp05_lm_halpha_mag_45_762n,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,32844,79,attachmentdata,0,
23811,jup_wc_jup_cp05_lm_halpha_drum_150_762n,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,32846,80,attachmentdata,0,
23810,jup_wc_jup_cp05_lm_halpha_bar_short,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,32837,81,attachmentdata,0,
23809,jup_wc_jup_cp05_lm_halpha_bar_long,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,32838,82,attachmentdata,0,
23808,jup_wc_jup_cp05_lm_halpha_bar_light,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,32836,83,attachmentdata,0,
23807,jup_wc_jup_cp05_lm_halpha_bar_bipod,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,35475,84,attachmentdata,0,
29868,jup_wc_perk_ninja_vest_jup_mp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,44949,85,perk,0,
14684,jup_wc_jup_jp10_sn_cdelta50,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,24677,86,weapondata,0,25899+27018+1934
12508,jup_wc_jup_jp20_lm_evictor,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,17198,87,weapondata,0,23030+23031+23032+2110
27136,jup_wc_jup_jp22_la_dromeo,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,17778,88,weapondata,0,
27138,jup_wc_jup_jp25_ar_talpha95,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,25498,89,weapondata,0,26008+26009+1200+3507+49184
24264,jup_wc_jup_jp25_ar_talpha95_ub_gl,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,39107,90,attachmentdata,0,
24263,jup_wc_jup_jp25_ar_talpha95_stock_taclight,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26019,91,attachmentdata,0,
24262,jup_wc_jup_jp25_ar_talpha95_stock_tac,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26022,92,attachmentdata,0,
24261,jup_wc_jup_jp25_ar_talpha95_stock_hvy_ass,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26021,93,attachmentdata,0,
24260,jup_wc_jup_jp25_ar_talpha95_stock_hvy,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26020,94,attachmentdata,0,
24259,jup_wc_jup_jp25_ar_talpha95_pgrip_tac,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26033,95,attachmentdata,0,
