string,string,string,string
0,alley,MP_OBSERVATORY/CALLOUT_ALLEY,area
1,bunker,MP_OBSERVATORY/CALLOUT_BUNKER,area
2,cargogate,MP_OBSERVATORY/CALLOUT_CARGOENTRANCE,area
3,catwalk,MP_OBSERVATORY/CALLOUT_CATWALK,area
4,depot,MP_OBSERVATORY/CALLOUT_DEPOT,area
5,dome,MP_OBSERVATORY/CALLOUT_DOME,area
6,frontgate,MP_OBSERVATORY/CALLOUT_FRONTGATE,area
7,hallway,MP_OBSERVATORY/CALLOUT_HALLWAY,area
8,loadingdock,MP_OBSERVATORY/CALLOUT_LOADINGDOCK,area
9,lowroad,MP_OBSERVATORY/CALLOUT_LOWROAD,area
10,office,MP_OBSERVATORY/CALLOUT_OFFICE,area
11,parking,MP_OBSERVATORY/CALLOUT_PARKING,area
12,yard,MP_OBSERVATORY/CALLOUT_YARD,area
