string,string,localized_a,int
invalid,UNKNOWN,a&PRESENCE/SP_UNKNOWN_MAP,0
sp_jup_vip,GOLD,a&PRESENCE/SP_JUP_VIP,0
cp_jup_port,GOLD,a&PRESENCE/CP_JUP_PORT,0
cp_jup_chemical,GOLD,a&PRESENCE/CP_JUP_CHEMICAL,0
sp_jup_silo,GOLD,a&PRESENCE/SP_JUP_SILO,0
sp_jup_milbase,GOLD,a&PRESENCE/SP_JUP_MILBASE,0
sp_jup_hijack,GOLD,a&PRESENCE/SP_JUP_HIJACK,0
cp_jup_ranch,GOLD,a&PRESENCE/CP_JUP_RANCH,0
sp_jup_flashback,GOLD,a&PRESENCE/SP_JUP_FLASHBACK,0
cp_jup_resort,GOLD,a&PRESENCE/CP_JUP_RESORT,0
cp_jup_apt,GOLD,a&PRESENCE/CP_JUP_APT,0
sp_jup_tundra,GOLD,a&PRESENCE/SP_JUP_TUNDRA,0
cp_jup_dam,GOLD,a&PRESENCE/CP_JUP_DAM,0
sp_jup_gunship,GOLD,a&PRESENCE/SP_JUP_GUNSHIP,0
sp_jup_surge,GOLD,a&PRESENCE/SP_JUP_SURGE,0
