string,string,string,string
0,back,MP_JUP_RUNDOWN/CALLOUT_BACK,area
1,bar,MP_JUP_RUNDOWN/CALLOUT_BAR,area
2,bridge,MP_JUP_RUNDOWN/CALLOUT_BRIDGE,area
3,church,MP_JUP_RUNDOWN/CALLOUT_CHURCH,area
4,construction,MP_JUP_RUNDOWN/CALLOUT_CONSTRUCTION,area
5,farm,MP_JUP_RUNDOWN/CALLOUT_FARM,area
6,fish,MP_JUP_RUNDOWN/CALLOUT_FISH,area
7,gas,MP_JUP_RUNDOWN/CALLOUT_GAS,area
8,hay,MP_JUP_RUNDOWN/CALLOUT_HAY,area
9,hotel,MP_JUP_RUNDOWN/CALLOUT_HOTEL,area
10,mansion,MP_JUP_RUNDOWN/CALLOUT_MANSION,area
11,markets,MP_JUP_RUNDOWN/CALLOUT_MARKETS,area
12,marketstreet,MP_JUP_RUNDOWN/CALLOUT_MARKET_STREET,area
13,outback,MP_JUP_RUNDOWN/CALLOUT_OUTBACK,area
14,repair,MP_JUP_RUNDOWN/CALLOUT_REPAIR,area
15,river,MP_JUP_RUNDOWN/CALLOUT_RIVER,area
16,water,MP_JUP_RUNDOWN/CALLOUT_WATER,area
