string,string,localized_a,string,string
0,Operations Building,a&MP_FARM_18/OPERATIONS_BUILDING,area,
1,Cement Hopper,a&MP_FARM_18/CEMENT_HOPPER,area,
2,Dormitory,a&MP_FARM_18/DORMITORY,area,
3,Mechanics Shop,a&MP_FARM_18/MECHANICS_SHOP,area,
4,Mess Hall,a&MP_FARM_18/MESS_HALL,area,
5,Shoot House,a&MP_FARM_18/SHOOT_HOUSE,area,
6,Training Course,a&MP_FARM_18/TRAINING_COURSE,area,
7,North Street,a&MP_FARM_18/NORTH_STREET,area,
8,South Street,a&MP_FARM_18/SOUTH_STREET,area,
9,Bus,a&MP_FARM_18/BUS,area,
10,Shooting Range,a&MP_FARM_18/SHOOTING_RANGE,area,
