string,string,string,string
0,alleyway,MP_JUP_SKIDROW/CALLOUT_ALLEYWAY,area
1,apartments,MP_JUP_SKIDROW/CALLOUT_APARTMENTS,area
2,barbershop,MP_JUP_SKIDROW/CALLOUT_BARBERSHOP,area
3,police_cars,MP_JUP_SKIDROW/CALLOUT_POLICE_CARS,area
4,burnt_car,MP_JUP_SKIDROW/CALLOUT_BURNT_CAR,area
5,docks,MP_JUP_SKIDROW/CALLOUT_DOCKS,area
6,parking,MP_JUP_SKIDROW/CALLOUT_PARKING,area
7,headquarters,MP_JUP_SKIDROW/CALLOUT_HEADQUARTERS,area
8,laundry,MP_JUP_SKIDROW/CALLOUT_LAUNDRY,area
9,mechanic,MP_JUP_SKIDROW/CALLOUT_MECHANIC,area
10,playground,MP_JUP_SKIDROW/CALLOUT_PLAYGROUND,area
11,railway,MP_JUP_SKIDROW/CALLOUT_RAILWAY,area
12,stairwell,MP_JUP_SKIDROW/CALLOUT_STAIRWELL,area
13,tunnel,MP_JUP_SKIDROW/CALLOUT_TUNNEL,area
14,video_store,MP_JUP_SKIDROW/CALLOUT_VIDEO_STORE,area
15,warehouse,MP_JUP_SKIDROW/CALLOUT_WAREHOUSE,area
16,water_tower,MP_JUP_SKIDROW/CALLOUT_WATER_TOWER,area
17,loading_dock,MP_JUP_SKIDROW/CALLOUT_LOADING_DOCK,area
18,hallway,MP_JUP_SKIDROW/CALLOUT_HALLWAY,area
19,destroyed_apartment,MP_JUP_SKIDROW/CALLOUT_DESTROYED_APARTMENT,area
