string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
include,omnvars/br/gametypes/omnvars_zonecontrol.csv,,,,,,,,,,,,,
ui_br_player_commend_count,1,,c,i,0,0,250,,,,,,,
ui_br_player_can_commend,1,,c,b,0,0,1,,,,,,,
ui_br_player_star_rating,1,,c,i,0,0,5,,,,,,,
ui_limbo_mode_safe_zone_entity_1,1,,c,e,,,,,,,,,,
ui_limbo_mode_safe_zone_entity_2,1,,c,e,,,,,,,,,,
ui_limbo_mode_safe_zone_entity_3,1,,c,e,,,,,,,,,,
ui_arcade_unlimitedgrenade_active,1,,c,b,0,0,1,,,,,,,
ui_arcade_unlimitedgrenade_progress,1,,c,f,0,0,20,,,,,,,
ui_arcade_unlimitedgrenade_timer_total,1,,g,f,0,0,100,,,,,,,
ui_arcade_unlimitedammo_active,1,,c,b,0,0,1,,,,,,,
ui_arcade_unlimitedammo_progress,1,,c,f,0,0,15,,,,,,,
ui_arcade_unlimitedammo_timer_total,1,,g,f,0,0,100,,,,,,,
ui_arcade_forcefield_active,1,,c,b,0,0,1,,,,,,,
ui_arcade_forcefield_progress,1,,c,f,0,0,1600,,,,,,,
ui_arcade_forcefield_timer_total,1,,g,f,0,0,4000,,,,,,,
ui_arcade_aoe_active,1,,c,b,0,0,1,,,,,,,
ui_arcade_aoe_progress,1,,c,f,0,0,40,,,,,,,
ui_arcade_aoe_timer_total,1,,g,f,0,0,100,,,,,,,
ui_arcade_num_powerup,1,,c,i,0,0,4,,,,,,,
ui_allies_lives_remaining,1,,g,i,0,0,100,,,,,,,
ui_axis_lives_remaining,1,,g,i,0,0,100,,,,,,,
ui_mutation_zombie_type,1,,c,i,0,-1,10,,,,,,,
ui_limbo_movement_mod_active,1,,c,b,0,0,1,,,,,,,
ui_limbo_movement_mod_progress,1,,c,f,0,0,20,,,,,,,
ui_limbo_movement_mod_timer_total,1,,g,f,0,0,100,,,,,,,
