string,string,localized_a,string,string
0,lab,a&MP_JUP_LAUNCHFACILITY/CALLOUT_LAB,area,
1,garage,a&MP_JUP_LAUNCHFACILITY/CALLOUT_GARAGE,area,
2,market,a&MP_JUP_LAUNCHFACILITY/CALLOUT_MARKET,area,
3,entry,a&MP_JUP_LAUNCHFACILITY/CALLOUT_ENTRY,area,
4,range,a&MP_JUP_LAUNCHFACILITY/CALLOUT_RANGE,area,
5,lookout,a&MP_JUP_LAUNCHFACILITY/CALLOUT_LOOKOUT,area,
6,residence,a&MP_JUP_LAUNCHFACILITY/CALLOUT_RESIDENCE,area,
7,security,a&MP_JUP_LAUNCHFACILITY/CALLOUT_SECURITY,area,
8,delivery,a&MP_JUP_LAUNCHFACILITY/CALLOUT_DELIVERY,area,
9,backlot,a&MP_JUP_LAUNCHFACILITY/CALLOUT_BACKLOT,area,
10,SAM Site,a&MP_JUP_LAUNCHFACILITY/CALLOUT_SAM_SITE,area,
11,recycle,a&MP_JUP_LAUNCHFACILITY/CALLOUT_RECYCLE,area,
12,radar,a&MP_JUP_LAUNCHFACILITY/CALLOUT_RADAR,area,
13,shipment,a&MP_JUP_LAUNCHFACILITY/CALLOUT_SHIPMENT,area,
14,service,a&MP_JUP_LAUNCHFACILITY/CALLOUT_SERVICE,area,
15,electric,a&MP_JUP_LAUNCHFACILITY/CALLOUT_ELECTRIC,area,
16,beta launch control,a&MP_JUP_LAUNCHFACILITY/CALLOUT_BETA_LAUNCH_CONTROL,area,
17,alley,a&MP_JUP_LAUNCHFACILITY/CALLOUT_ALLEY,area,
18,cargo,a&MP_JUP_LAUNCHFACILITY/CALLOUT_CARGO,area,
19,chemical,a&MP_JUP_LAUNCHFACILITY/CALLOUT_CHEMICAL,area,
20,equipment,a&MP_JUP_LAUNCHFACILITY/CALLOUT_EQUIPMENT,area,
21,halls,a&MP_JUP_LAUNCHFACILITY/CALLOUT_HALLS,area,
22,corridor,a&MP_JUP_LAUNCHFACILITY/CALLOUT_CORRIDOR,area,
23,back,a&MP_JUP_LAUNCHFACILITY/CALLOUT_BACK,area,
24,comms,a&MP_JUP_LAUNCHFACILITY/CALLOUT_COMMS,area,
25,storage,a&MP_JUP_LAUNCHFACILITY/CALLOUT_STORAGE,area,
26,alpha launch control,a&MP_JUP_LAUNCHFACILITY/CALLOUT_ALPHA_LAUNCH_CONTROL,area,
27,uphill,a&MP_JUP_LAUNCHFACILITY/CALLOUT_UPHILL,area,
28,downhill,a&MP_JUP_LAUNCHFACILITY/CALLOUT_DOWNHILL,area,
29,main street,a&MP_JUP_LAUNCHFACILITY/CALLOUT_MAIN_STREET,area,
30,police office,a&MP_JUP_LAUNCHFACILITY/CALLOUT_POLICE_OFFICE,area,
31,hotel,a&MP_JUP_LAUNCHFACILITY/CALLOUT_HOTEL,area,
32,store,a&MP_JUP_LAUNCHFACILITY/CALLOUT_STORE,area,
33,corner shop,a&MP_JUP_LAUNCHFACILITY/CALLOUT_CORNER_SHOP,area,
34,repair,a&MP_JUP_LAUNCHFACILITY/CALLOUT_REPAIR,area,
35,bakery,a&MP_JUP_LAUNCHFACILITY/CALLOUT_BAKERY,area,
36,restaurant,a&MP_JUP_LAUNCHFACILITY/CALLOUT_RESTAURANT,area,
37,launch site,a&MP_JUP_LAUNCHFACILITY/CALLOUT_LAUNCH_SITE,area,
38,construction,a&MP_JUP_LAUNCHFACILITY/CALLOUT_CONSTRUCTION,area,
39,field,a&MP_JUP_LAUNCHFACILITY/CALLOUT_FIELD,area,
40,warehouse,a&MP_JUP_LAUNCHFACILITY/CALLOUT_WAREHOUSE,area,
41,gate,a&MP_JUP_LAUNCHFACILITY/CALLOUT_GATE,area,
42,office,a&MP_JUP_LAUNCHFACILITY/CALLOUT_OFFICE,area,
43,launch facility,a&MP_JUP_LAUNCHFACILITY/CALLOUT_LAUNCH_FACILITY,area,
