string,localized_a,string
//Copied from sp/death_hints.csv,a&,
0,a&,
1,a&SCRIPT/GRENADE_DEATH,icon_death_hint_grenade
2,a&SCRIPT/GRENADE_SUICIDE,
3,a&SCRIPT/EXPLODING_VEHICLE_DEATH,icon_death_hint_vehicle
4,a&SCRIPT/EXPLODING_DESTRUCTIBLE_DEATH,hud_icon_destructable_death_sp
5,a&SCRIPT/EXPLODING_BARREL_DEATH,hud_icon_exploding_barrel
6,a&SCRIPT/STEALTH_SPRINT_HINT,
7,a&SCRIPT/MISSIONFAIL_KILLED_CHILD,
8,a&SCRIPT/STEALTH_GUNSHOT_SUPPRESSED_HINT,
9,a&SCRIPT/MISSIONFAIL_CIVILIAN_KILLED,
10,a&SCRIPT/MISSIONFAIL_KILLTEAM_BRITISH,
11,a&SCRIPT_MISSIONFAIL_KILLTEAM_RUSSIAN,
12,a&SCRIPT/MISSIONFAIL_KILLTEAM_AMERICAN,
13,a&SCRIPT/WEAP_DISCHARGE_FAIL,
14,a&HOMETOWN/ADS,
15,a&SHIPAF/HINT_CONTAINERS_KILL,
16,a&SCRIPT/STEALTH_PROXIMITY_SPEED_HINT,
17,a&SCRIPT/MISSIONFAIL_KILLEDHOSTAGE,
18,a&SCRIPT/MISSIONFAIL_HOSTAGEEXECUTED,
19,a&SCRIPT/STEALTH_CROUCH_HINT,icon_death_hint_crouch
20,a&TOWNHOUSED/ENDING_HINT_HEADSHOT,
21,a&TOWNHOUSED/FAIL_BABY3,
22,a&SCRIPT/ROE1,
23,a&SCRIPT/ROE2,
24,a&SCRIPT/ROE3,
25,a&SCRIPT/ROE4,
26,a&SCRIPT/ROE5,
27,a&SCRIPT/ROE6,
28,a&PICCADILLY/BOMBFAIL,
29,a&SCRIPT/LEAVE_MISSION_AREA,
30,a&SCRIPT/MISSIONFAIL_CIVILIAN_KILLED_2,
31,a&ESTATE/FLOODLIGHTS_HINT,
32,a&ZD30/MINEFIELDS_MINEDIED,
33,a&ESTATE/STEALTH_HINT_1,
34,a&ESTATE/STEALTH_HINT_2,
35,a&ESTATE/STEALTH_HINT_3,
36,a&ESTATE/STEALTH_HINT_4,
37,a&ESTATE/STEALTH_HINT_5,
38,a&ESTATE/STEALTH_HINT_6,
39,a&ESTATE/STEALTH_HINT_7,
40,a&ESTATE/STEALTH_HINT_8,
41,a&ESTATE/STEALTH_HINT_9,
42,a&ESTATE/STEALTH_HINT_10,
43,a&ESTATE/NVG_ADS_HINT,
44,a&ESTATE/LIGHT_METER,
45,a&CAPTIVE/TRAPPED,
46,a&CAPTIVE/PRISONERS_DIED,
47,a&ESTATE/TUNNEL_FAIL,
48,a&SCRIPT/MISSIONFAIL_CIVILIAN_FADE_1,
49,a&SCRIPT/MISSIONFAIL_CIVILIAN_FADE_2,
50,a&SCRIPT/MISSIONFAIL_UNARMED_KILLED,
51,a&SAFEHOUSE_FINALE_LOC/MISSIONFAIL_DRONE,
52,a&SCRIPT/TRACKING_GRENADE_DEATH,hud_icon_equipment_frag
53,a&EMBASSY/CCTV_CAUGHT,
54,a&ESTATE/HVT_KILLED_1,
55,a&ESTATE/HVT_KILLED_2,
56,a&ESTATE/HELI_PLR_DEATH,
57,a&SCRIPT/SUICIDE_BOMBER_PLR_OBIT,icon_death_hint_bomber
58,a&HOMETOWN/BOSS_HIDE_HINT,
59,a&ESTATE/TECHNICAL_DEATH_HINT,
60,a&ZD30/BOOBYTRAP_DEATH,icon_death_hint_tripwire
61,a&HOMETOWN/FIND_WEAPON_HINT,
62,a&ZD30/SHAFT_SUICIDE,
63,a&ZD30/OILFIRE_PUZZLE_HINT,
64,a&ZD30/SHAFT_CHOKE,
65,a&HOMETOWN/SAVE_HADIR_HINT,
66,a&ZD30/OILFIRE_HINT,
