string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,string,string,string,localized_a,localized_a,localized_a,localized_a,localized_a
1,obj_reach_comms,a&Reach Comms Building,a&,Primary,Primary,,,,,,,,,,0,1,,,,,,,,,,cp_jup_resort_create_script,,a&LEVELS_JUP/CP_JUP_RESORT,1,1,,a&,a&,a&,a&,a&
2,obj_hack_terminal,a&CP_JUP_RESORT/HACK_SERVER_OBJ,a&,Primary,Primary,,,,,,,,,,0,1,,,,,,,,,,cp_jup_resort_create_script,,a&LEVELS_JUP/CP_JUP_RESORT,1,1,,a&,a&,a&,a&,a&
3,obj_enter_house,a&CP_JUP_RESORT/MANSION_OBJ,a&,Primary,Primary,,,,,,,,,,0,1,,,,,,,,,,cp_jup_resort_create_script,,a&LEVELS_JUP/CP_JUP_RESORT,1,1,,a&,a&,a&,a&,a&
4,obj_hack_door,a&CP_JUP_RESORT/SAFE_ROOM,a&,Primary,Primary,,,,,,,,,,0,1,,,,,,,,,,cp_jup_resort_create_script,,a&LEVELS_JUP/CP_JUP_RESORT,2,1,,a&,a&,a&,a&,a&
5,obj_kill_enemies,a&Kill all the enemies before hacking the door,a&,,Secondary,,,,,,,,,,0,1,,,,,,,,,,cp_jup_resort_create_script,,a&LEVELS_JUP/CP_JUP_RESORT,2,,,a&,a&,a&,a&,a&
6,obj_exfil,a&Reach the Exfil location,a&,Primary,Primary,,,,,,,,,,0,1,,,,,,,,,,cp_jup_resort_create_script,,a&LEVELS_JUP/CP_JUP_RESORT,1,1,,a&,a&,a&,a&,a&
7,obj_laptop1,a&Disconnect or Destroy Network Connection,a&,Primary,Primary,,,,,,,,,,0,1,,,,,,,,,,cp_jup_resort_create_script,,a&LEVELS_JUP/CP_JUP_RESORT,1,,,a&,a&,a&,a&,a&
8,obj_laptop2,a&CP_JUP_RESORT/FOB_OBJ,a&,Primary,Primary,,,,,,,,,,0,1,,,,,,,,,,cp_jup_resort_create_script,,a&LEVELS_JUP/CP_JUP_RESORT,2,,,a&,a&,a&,a&,a&
9,obj_laptop3,a&CP_JUP_RESORT/OPEN_DOOR_OBJ,a&,Primary,Primary,,,,,,,,,,0,1,,,,,,,,,,cp_jup_resort_create_script,,a&LEVELS_JUP/CP_JUP_RESORT,3,,,a&,a&,a&,a&,a&
10,obj_clear_mansion,a&Clear the Mansion,a&,Primary,Primary,,,,,,,,,,0,1,,,,,,,,,,cp_jup_resort_create_script,,a&LEVELS_JUP/CP_JUP_RESORT,1,1,,a&,a&,a&,a&,a&
11,obj_code,a&Retrieve Key Card,a&,Primary,Primary,,,,,,,,,,0,1,,,,,,,,,,cp_jup_resort_create_script,,a&LEVELS_JUP/CP_JUP_RESORT,1,1,,a&,a&,a&,a&,a&
12,obj_oligarch,a&Kill the Oligarch,a&,Primary,Primary,,,,,,,,,,0,1,,,,,,,,,,cp_jup_resort_create_script,,a&LEVELS_JUP/CP_JUP_RESORT,1,1,,a&,a&,a&,a&,a&
