string,string,localized_a,localized_a
0,Salomon,a&CP_ALLY_NAMES/ALLY_1,a&CP_ALLY_NAMES/ALLY_9
1,Rieke,a&CP_ALLY_NAMES/ALLY_2,a&CP_ALLY_NAMES/ALLY_9
2,Ramon,a&CP_ALLY_NAMES/ALLY_3,a&CP_ALLY_NAMES/ALLY_9
3,Arrizon,a&CP_ALLY_NAMES/ALLY_4,a&CP_ALLY_NAMES/ALLY_9
4,Garrido,a&CP_ALLY_NAMES/ALLY_5,a&CP_ALLY_NAMES/ALLY_9
5,Pierro,a&CP_ALLY_NAMES/ALLY_6,a&CP_ALLY_NAMES/ALLY_9
6,Egan,a&CP_ALLY_NAMES/GRAVES,a&CP_ALLY_NAMES/GRAVES_CALLSIGN
7,Limaye,a&CP_ALLY_NAMES/SHEPHERD,a&CP_ALLY_NAMES/SHEPHERD_CALLSIGN
8,Jones,a&CP_ALLY_NAMES/FARAH,a&CP_ALLY_NAMES/FARAH_CALLSIGN
9,Follower,a&CP_ALLY_NAMES/DELTASQUAD_FOLLOW,a&CP_ALLY_NAMES/ALLY_9
10,Guarding,a&CP_ALLY_NAMES/DELTASQUAD_GUARDING,a&CP_ALLY_NAMES/ALLY_9
11,Price,a&CP_ALLY_NAMES/PRICE,a&CP_ALLY_NAMES/PRICE_CALLSIGN
12,Ghost,a&CP_ALLY_NAMES/GHOST,a&CP_ALLY_NAMES/GHOST_CALLSIGN
13,Soap,a&CP_ALLY_NAMES/SOAP,a&CP_ALLY_NAMES/SOAP_CALLSIGN
14,Gaz,a&CP_ALLY_NAMES/GAZ,a&CP_ALLY_NAMES/GAZ_CALLSIGN
15,Alex,a&CP_ALLY_NAMES/ALEX,a&CP_ALLY_NAMES/ALEX_CALLSIGN
