string,string
dx_cps_lass_rescue_hvi_defend_15sec_10,3.583
dx_cps_lass_rescue_hvi_defend_15sec_20,3.562
dx_cps_lass_rescue_hvi_defend_30sec_10,3.69
dx_cps_lass_rescue_hvi_defend_30sec_20,3.519
dx_cps_lass_rescue_hvi_defend_60sec_10,4.814
dx_cps_lass_rescue_hvi_defend_60sec_20,5.098
dx_cps_kama_rescue_hvi_defend_10,7.274
dx_cps_drjm_rescue_hvi_exfil_10,2.548
dx_cps_drjm_rescue_hvi_exfil_30,6.036
dx_cps_lass_rescue_hvi_exfil_20,5.439
dx_cps_lass_rescue_hvi_exfil_nag_10,4.628
dx_cps_drjm_rescue_hvi_found_callout_10,2.276
dx_cps_kama_rescue_hvi_intro_10,17.748
dx_cps_kama_rescue_hvi_intro_30,7.914
dx_cps_lass_rescue_hvi_intro_20,14.356
dx_cps_lass_rescue_hvi_intro_40,9.834
dx_cps_kama_rescue_hvi_laptop_10,5.354
dx_cps_lass_rescue_hvi_laptop_20,4.65
dx_cps_lass_rescue_hvi_laptop_success_30,4.735
dx_cps_kama_rescue_hvi_morales_nag_30,4.97
dx_cps_lass_rescue_hvi_morales_nag_10,7.828
dx_cps_lass_rescue_hvi_morales_nag_20,4.82
dx_cps_drjm_rescue_hvi_pickup_20,2.782
dx_cps_lass_rescue_hvi_pickup_10,8.874
dx_cps_drjm_rescue_hvi_pickup_nag_10,1.441
dx_cps_drjm_rescue_hvi_pickup_nag_20,1.54
dx_cps_drjm_rescue_hvi_pickup_nag_30,2.196
dx_cps_drjm_rescue_hvi_pickup_nag_40,1.758
dx_cps_drjm_rescue_hvi_pickup_nag_50,2.013
dx_cps_lass_rescue_hvi_secondary_10,7.807
dx_cps_drjm_rescue_hvi_shot_react_10,2.013
dx_cps_drjm_rescue_hvi_shot_react_20,1.185
dx_cps_drjm_rescue_hvi_shot_react_30,1.535
dx_cps_drjm_rescue_hvi_shot_react_40,0.765
dx_cps_drjm_rescue_hvi_shot_react_50,1.308
dx_cps_drjm_rescue_hvi_shot_react_60,2.279
dx_cps_lass_rescue_hvi_success_10,5.546
dx_cps_helo_rescue_pilot_check_fire_10,1.231
dx_cps_helo_rescue_pilot_check_fire_20,2.19
dx_cps_helo_rescue_pilot_check_fire_30,2.145
dx_cps_helo_rescue_pilot_check_fire_40,2.169
dx_cps_helo_rescue_pilot_check_fire_50,2.006
dx_cps_ushp_rescue_pilot_check_fire_10,2.149
dx_cps_ushp_rescue_pilot_check_fire_20,1.524
dx_cps_ushp_rescue_pilot_check_fire_30,1.717
dx_cps_ushp_rescue_pilot_check_fire_40,2.091
dx_cps_ushp_rescue_pilot_check_fire_50,2.2
dx_cps_helo_rescue_pilot_eject_exfil_10,2.879
dx_cps_ushp_rescue_pilot_eject_exfil_10,3.049
dx_cps_helo_rescue_pilot_eject_found_10,5.338
dx_cps_helo_rescue_pilot_eject_found_20,5.823
