string,string,string,string,localized_a,string,string,string,string,string,string,localized_a
0,,0,,a&,,,0,,,,a&
1,0,30000,30000,a&RANK/MSC_FULL,icon_rank_officer_sm_01,icon_rank_officer_01,,30100,ch_elder_s2_ammo_drop,icon_ribbon_s02_001,a&ELDER_PROGRESSION/RIBBON_OF_HONOR_001
2,30000,60000,30000,a&RANK/MSC_FULL2,icon_rank_officer_sm_01,icon_rank_officer_01,3958,30101,ch_elder_s2_doing_work,icon_ribbon_s02_002,a&ELDER_PROGRESSION/RIBBON_OF_HONOR_002
3,60000,90000,30000,a&RANK/MSC_FULL3,icon_rank_officer_sm_01,icon_rank_officer_01,,30102,ch_elder_s2_domination_wins,icon_ribbon_s02_003,a&ELDER_PROGRESSION/RIBBON_OF_HONOR_003
4,90000,120000,30000,a&RANK/MSC_FULL4,icon_rank_officer_sm_01,icon_rank_officer_01,,30103,ch_elder_s2_stim,icon_ribbon_s02_004,a&ELDER_PROGRESSION/RIBBON_OF_HONOR_004
5,120000,150000,30000,a&RANK/MSC_FULL5,icon_rank_officer_sm_01,icon_rank_officer_01,,30104,ch_elder_s2_smg_kills,icon_ribbon_s02_005,a&ELDER_PROGRESSION/RIBBON_OF_HONOR_005
6,150000,180000,30000,a&RANK/WOF_FULL,icon_rank_officer_sm_02,icon_rank_officer_02,3958,30105,ch_elder_s2_personal_uav,icon_ribbon_s02_006,a&ELDER_PROGRESSION/RIBBON_OF_HONOR_006
7,180000,210000,30000,a&RANK/WOF_FULL2,icon_rank_officer_sm_02,icon_rank_officer_02,,30106,ch_elder_s2_three_cheers,icon_ribbon_s02_007,a&ELDER_PROGRESSION/RIBBON_OF_HONOR_007
8,210000,240000,30000,a&RANK/WOF_FULL3,icon_rank_officer_sm_02,icon_rank_officer_02,,30107,ch_elder_s2_lmg_kills,icon_ribbon_s02_008,a&ELDER_PROGRESSION/RIBBON_OF_HONOR_008
9,240000,270000,30000,a&RANK/WOF_FULL4,icon_rank_officer_sm_02,icon_rank_officer_02,,30108,ch_elder_s2_iav,icon_ribbon_s02_009,a&ELDER_PROGRESSION/RIBBON_OF_HONOR_009
10,270000,300000,30000,a&RANK/WOF_FULL5,icon_rank_officer_sm_02,icon_rank_officer_02,,30109,ch_elder_s2_three_streak,icon_ribbon_s02_010,a&ELDER_PROGRESSION/RIBBON_OF_HONOR_010
