string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,xhash32,string,string,string,string,string,string,string,string
0,iw8_sh_dpapa12_variant_0,iw8_sh_dpapa12,,,,,,,,,,,,,,,x32#hash_c7f48ed0,ui_loot_weapon_sh_dpapa12,,,,,,,
1,iw8_sh_dpapa12_variant_1,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|1 front|1 mag|1 guard|1 gripdefault|1 ,,barshort|1,laserrange|2,,,,,guardcust|1,,,,,x32#hash_14c,ui_loot_weapon_sh_dpapa12_v2,,,,,,,
2,iw8_sh_dpapa12_variant_2,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|2 front|2 mag|2 guard|2 gripdefault|2,brake|1,,,,,,,guardlight|1,maxammo,,,,x32#hash_c7f48ee2,ui_loot_weapon_sh_dpapa12_v3,,,,,,,
3,iw8_sh_dpapa12_variant_3,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|3 front|3 mag|1 guard|3 gripdefault|3,,barlong|1,laser|1,,,,,guardheavy|1,fastreload,,,,x32#hash_14c,ui_loot_weapon_sh_dpapa12_v4,,,,,,,
4,iw8_sh_dpapa12_variant_4,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|4 front|4 mag|4 guard|4 gripdefault|4,choke|1,,laserbalanced|2,,,,,guardcust|2,gunperk_hardmelee,,,,x32#hash_c7f48ef7,ui_loot_weapon_sh_dpapa12_v5,,,,,,,
5,iw8_sh_dpapa12_variant_5,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|5 front|5 mag|5 guard|5 gripdefault|5,melee|1,barshort|2,laserrange|3,gripvert|1,,,,guardheavy|2,,,,,x32#hash_14c,ui_loot_weapon_sh_dpapa12_v6,,,,,,,
6,iw8_sh_dpapa12_variant_6,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|6 front|6 mag|6 guard|6 gripdefault|6,choke|2,barlong|2,,gripvert|2,acog3|2,calcust2|0,,,,,,,x32#hash_c7f48f0c,ui_loot_weapon_sh_dpapa12_v7,,,,,,,
7,iw8_sh_dpapa12_variant_7,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|7 front|7 mag|7 guard|7 gripdefault|7,choke|3,barlong|5,laserrange|8,,reflexmini2|4,,pistolgrip02|3,,,,,,x32#hash_14c,ui_loot_weapon_sh_dpapa12_v8,,,,,,,
8,iw8_sh_dpapa12_variant_8,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|8 front|8 mag|8 guard|8 gripdefault|8,silencer3|1,barlong|4,,gripvert|3,reflexmini|1,,,,ammomod_slow,,,,x32#hash_c7f48f21,ui_loot_weapon_sh_dpapa12_v9,,,,,,,
9,iw8_sh_dpapa12_variant_9,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|9 front|9 mag|9 guard|9 gripdefault|9,silencer2|1,barshort|3,laser|2,,,,pistolgrip01|2,guardlight|2,,,,,x32#hash_14c,ui_loot_weapon_sh_dpapa12_v10,,,,,,,
10,iw8_sh_dpapa12_variant_10,iw8_sh_dpapa12,iw8_sh_dpapa12_mpdmb,rec|10 front|10 guard|10 gripdefault|10,,barlong|3,,,reflexmini2|2,calcust2|0,pistolgrip02|2,guardcust|3,,,,,x32#hash_c7f48f36,ui_loot_weapon_sh_dpapa12_v11,,,standardDis,,,,
11,iw8_sh_dpapa12_variant_11,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|11 front|11 guard|11 gripdefault|11,silencer3|2,barshort|4,,gripcust|1,,,pistolgrip02|4,guardheavy|3,,,,,x32#hash_14c,ui_loot_weapon_sh_dpapa12_v12,,,,,,,
12,iw8_sh_dpapa12_variant_12,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|12 front|12 mag|12 guard|12 gripdefault|12 ,choke|4,barlong|6,laserrange|6,,,,pistolgrip02|5,,,,,,x32#hash_c7f48f4b,ui_loot_weapon_sh_dpapa12_v13,,,,,,,
13,iw8_sh_dpapa12_variant_13,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|1 front|1 mag|1 guard|1 gripdefault|1 ,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_sh_dpapa12_v14,,,,,,,
14,iw8_sh_dpapa12_variant_14,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|14 front|14 mag|14 guard|14 gripdefault|14,melee|2,,,,reflexmini2|12,,,guardheavy|4,ammomod_slow,,,,x32#hash_c7f48f60,ui_loot_weapon_sh_dpapa12_v15,,,,,,,
15,iw8_sh_dpapa12_variant_15,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|15 front|15 mag|15 guard|15 gripdefault|15 ,melee|3,,laserbalanced|2,,,,pistolgrip03|1,,gunperk_fastmelee,,,,x32#hash_14c,ui_loot_weapon_sh_dpapa12_v16,,,,,,,
16,iw8_sh_dpapa12_variant_16,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2a,rec|0 front|0 mag|0 guard|0 gripdefault|0,choke|5,barlong|7,laserrange|7,gripvert|4,,calcust|0,,,,,,,x32#hash_c7f48f75,ui_loot_weapon_sh_dpapa12_v17,,,,,,,
