string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,xhash32,string,string,string,string,string,string,string,string
0,iw8_sn_sbeta_variant_0,iw8_sn_sbeta,,,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_sn_sbeta,,,,,,,
1,iw8_sn_sbeta_variant_1,iw8_sn_sbeta,iw8_sn_sbeta_mpv2,rec|1 front|1 reargrip|1,,barshort|1,laserbalanced|1,,vzscope|1,,,,gunperk_marksman,,,,x32#hash_14c,ui_loot_weapon_sn_sbeta_v2,,,,,,,
2,iw8_sn_sbeta_variant_2,iw8_sn_sbeta,,rec|2 front|2 reargrip|2,,,,,acog|6,,pistolgrip01|2,stockl|3,fastreload,,,,x32#hash_c7f63ae8,ui_loot_weapon_sn_sbeta_v3,,,,,,,
3,iw8_sn_sbeta_variant_3,iw8_sn_sbeta,,rec|3 reargrip|3,,barlong|1,,,,,,stockcust|1,ammomod_wound,,,,x32#hash_14c,ui_loot_weapon_sn_sbeta_v4,,,,,,,
4,iw8_sn_sbeta_variant_4,iw8_sn_sbeta,,rec|4 reargrip|4,,barlong|2,,,scope|1,,,,gunperk_xp,,,,x32#hash_c7f63afc,ui_loot_weapon_sn_sbeta_v5,,,,,,,
5,iw8_sn_sbeta_variant_5,iw8_sn_sbeta,,rec|5 front|5 reargrip|5,,,laserbalanced|10,,holo2|9,,,stocks|2,,,,,x32#hash_14c,ui_loot_weapon_sn_sbeta_v6,,,,,,,
6,iw8_sn_sbeta_variant_6,iw8_sn_sbeta,,rec|6,,barmid|2,,,thermal|1,,pistolgrip02|2,stockcust|2,fastreload,,,,x32#hash_c7f63b10,ui_loot_weapon_sn_sbeta_v7,,,,,,,
7,iw8_sn_sbeta_variant_7,iw8_sn_sbeta,,rec|7,,barmid|3,,,,,pistolgrip02|4,stockl|2,fastreload,,,,x32#hash_14c,ui_loot_weapon_sn_sbeta_v8,,,,,,,
8,iw8_sn_sbeta_variant_8,iw8_sn_sbeta,iw8_sn_sbeta_mpv2,rec|8 reargrip|8,comp|1,,,,reflex3|8,,pistolgrip03|1,stockh|2,fastreload,,,,x32#hash_c7f63b24,ui_loot_weapon_sn_sbeta_v9,,,,,,,
9,iw8_sn_sbeta_variant_9,iw8_sn_sbeta,,rec|9 reargrip|9,silencer3|12,barshort|2,laserbalanced|7,,reflexmini3|5,,pistolgrip01|3,,,,,,x32#hash_c7f63a48,ui_loot_weapon_sn_sbeta_v10,,,,,,,
