string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,xhash32,string,string,string,string,string,string,string,string
0,iw8_sn_hdromeo_variant_0,iw8_sn_hdromeo,,,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_sn_hdromeo,,,,,,,
1,iw8_sn_hdromeo_variant_1,iw8_sn_hdromeo,,rec|1 front|1 mag|1,,,,,vzscope|0,,,stocks|1,gunperk_xp,,,,x32#hash_c7f5e4c8,ui_loot_weapon_sn_hdromeo_v2,,,,,,,
2,iw8_sn_hdromeo_variant_2,iw8_sn_hdromeo,,rec|2 back|2 mag|2 scope|2,,barsil|1,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_sn_hdromeo_v3,,,,,,,
3,iw8_sn_hdromeo_variant_3,iw8_sn_hdromeo,,rec|3 mag|3,,barsil2|1,,,vzscope|1,,,stockh|1,gunperk_marksman,,,,x32#hash_c7f5e4de,ui_loot_weapon_sn_hdromeo_v4,,,,,,,
4,iw8_sn_hdromeo_variant_4,iw8_sn_hdromeo,,rec|4 front|4 mag|4,brake|2,,,,vzscope|2,xmags|2,,stocks|2,fastreload,,,,x32#hash_14c,ui_loot_weapon_sn_hdromeo_v5,,,,,,,
5,iw8_sn_hdromeo_variant_5,iw8_sn_hdromeo,,rec|5 front|5 mag|5,silencer2|1,,,,acog|1,,,stockcust|1,flinch,,,pistolgrip01|1,x32#hash_c7f5e4f4,ui_loot_weapon_sn_hdromeo_v6,,,,,,,
6,iw8_sn_hdromeo_variant_6,iw8_sn_hdromeo,,rec|6 front|6 mag|6 scope|0,silencer2|2,barlong|1,,,thermal|1,,,stockl|2,gunperk_holdbreath,,,,x32#hash_14c,ui_loot_weapon_sn_hdromeo_v7,,,,,,,
7,iw8_sn_hdromeo_variant_7,iw8_sn_hdromeo,,rec|7 mag|7 scope|3,,barsil2|2,,,,,,stockh|2,gunperk_fastmelee,,,,x32#hash_c7f5e50a,ui_loot_weapon_sn_hdromeo_v8,,,,,,,
8,iw8_sn_hdromeo_variant_8,iw8_sn_hdromeo,,rec|8 front|8 mag|8,,,,,vzscope|3,,,stocks|3,fastreload,,,,x32#hash_14c,ui_loot_weapon_sn_hdromeo_v9,,,,,,,
9,iw8_sn_hdromeo_variant_9,iw8_sn_hdromeo,,rec|9 back|9 mag|9,silencer|2,barlong|2,laserbalanced|1,,acog2|1,,,stocks|4,,,,,x32#hash_c7f5e418,ui_loot_weapon_sn_hdromeo_v10,,,,,,,
10,iw8_sn_hdromeo_variant_10,iw8_sn_hdromeo,,rec|10 scope|5,silencer2|3,barlong|3,,bipod|1,,xmags|1,,stocks|5,,,,,x32#hash_14c,ui_loot_weapon_sn_hdromeo_v11,,,,,,,
11,iw8_sn_hdromeo_variant_11,iw8_sn_hdromeo,,rec|11 back|11 mag|11,silencer3|1,barlong|4,,,thermal|2,,,stockh|3,maxammo,,,,x32#hash_c7f5e42e,ui_loot_weapon_sn_hdromeo_v12,,,,,,,
