string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,xhash32,string,string,string,string,string,string,string,string
0,iw8_pi_decho_variant_0,iw8_pi_decho,,,,,,,,,,,,,,,x32#hash_c7d8c400,ui_loot_weapon_pi_decho,,,,,,,
1,iw8_pi_decho_variant_1,iw8_pi_decho,,rec|1 front|1 mag|1,,,,,,,pistolgrip03|4,,,,,,x32#hash_c7f3c598,ui_loot_weapon_pi_decho_v2,,,,,,,
2,iw8_pi_decho_variant_2,iw8_pi_decho,,rec|2,,barlong|1,,,reflexmini2|4,xmags|1,pistolgrip03|3,,fastreload,,,,x32#hash_14c,ui_loot_weapon_pi_decho_v3,,,,,,,
3,iw8_pi_decho_variant_3,iw8_pi_decho,,rec|3 front|3 mag|3 triggrip|3,,,,,,,pistolgrip03|2,,gunperk_xp,trigcust|2,,,x32#hash_c7f3c5ac,ui_loot_weapon_pi_decho_v4,,,,,,,
4,iw8_pi_decho_variant_4,iw8_pi_decho,,rec|4 front|4 mag|4 triggrip|4,comp|3,,,,acog3|1,,pistolgrip03|1,,,,,,x32#hash_14c,ui_loot_weapon_pi_decho_v5,,,,,,,
5,iw8_pi_decho_variant_5,iw8_pi_decho,,rec|5 front|5 triggrip|5,,,laserrange|1,,reflex4|1,xmagslrg|2,,,fmj,trigcust03|1,,,x32#hash_c7f3c5c0,ui_loot_weapon_pi_decho_v6,,,,,,,
6,iw8_pi_decho_variant_6,iw8_pi_decho,,rec|6 front|6 triggrip|6,brake|1,,laserrange|9,,reflex2|1,xmags|2,,,,trigcust|1,,,x32#hash_14c,ui_loot_weapon_pi_decho_v7,,,,,,,
7,iw8_pi_decho_variant_7,iw8_pi_decho,,rec|7 front|7 mag|7,silencer4|1,,,,acog2|1,,pistolgrip03|5,,,trigcust|3,,,x32#hash_c7f3c5d4,ui_loot_weapon_pi_decho_v8,,,,,,,
8,iw8_pi_decho_variant_8,iw8_pi_decho,,rec|8 mag|8 triggrip|8,comp|4,barshort|1,,,reflexmini3|4,xmagslrg|3,,,,trigcust|4,,,x32#hash_14c,ui_loot_weapon_pi_decho_v9,,,,,,,
9,iw8_pi_decho_variant_9,iw8_pi_decho,,rec|9 mag|9 triggrip|9,brake|3,barlong|3,laserbalanced|7,,acog|2,,pistolgrip01|2,,,,,,x32#hash_14c,ui_loot_weapon_pi_decho_v10,,,,,,,
10,iw8_pi_decho_variant_10,iw8_pi_decho,iw8_pi_decho_mpdmb,rec|10 mag|10 triggrip|10,brake|2,barlong|2,,,,,pistolgrip02|2,,ammomod_slow,trigcust03|2,,,x32#hash_c7f3c520,ui_loot_weapon_pi_decho_v11,,,standardDis,,,,
11,iw8_pi_decho_variant_11,iw8_pi_decho,,rec|11 front|11 triggrip|11,silencer4|2,,laserbalanced|8,,reflex3|1,xmags|3,,,,,,,x32#hash_14c,ui_loot_weapon_pi_decho_v12,,,,,,,
12,iw8_pi_decho_variant_12,iw8_pi_decho,iw8_pi_decho_mpmtx,rec|12 front|12 mag|12,brake|4,,laserrange|8,,reflexmini3|5,,pistolgrip02|3,,,trigcust|5,,,x32#hash_c7f3c534,ui_loot_weapon_pi_decho_v13,,green,,,,,
