string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,xhash32,string,string,string,string,string,string,string,string
0,iw8_knife_variant_0,iw8_knife,,,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_me_soscar,,,,,,,
1,iw8_knife_variant_1,iw8_knife,,rec|1,,,,,,,,,,,,,x32#hash_c7f2a3c0,ui_loot_weapon_me_soscar_v2,icon_weapon_me_tactical_knife_v2,,,,,,
2,iw8_knife_variant_2,iw8_knife,,rec|2,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_me_soscar_v3,icon_weapon_me_tactical_knife_v2,,,,,,
3,iw8_knife_variant_3,iw8_knife,,rec|3,,,,,,,,,,,,,x32#hash_c7f2a3d0,ui_loot_weapon_me_soscar_v4,icon_weapon_me_tactical_knife_v4,,,,,,
4,iw8_knife_variant_4,iw8_knife,,rec|4,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_me_soscar_v5,icon_weapon_me_tactical_knife_v5,,,,,,
5,iw8_knife_variant_5,iw8_knife,,rec|5,,,,,,,,,,,,,x32#hash_c7f2a3e0,ui_loot_weapon_me_soscar_v6,icon_weapon_me_tactical_knife_v6,,,,,,
6,iw8_knife_variant_6,iw8_knife,,rec|6,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_me_soscar_v7,icon_weapon_me_tactical_knife_v7,,,,,,
7,iw8_knife_variant_7,iw8_knife,,rec|7,,,,,,,,,,,,,x32#hash_c7f2a3f0,ui_loot_weapon_me_soscar_v8,icon_weapon_me_tactical_knife_v8,,,,,,
8,iw8_knife_variant_8,iw8_knife,,rec|8,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_me_soscar_v9,icon_weapon_me_tactical_knife_v9,,,,,,
9,iw8_knife_variant_9,iw8_knife,,rec|9,,,,,,,,,,,,,x32#hash_c7f2a400,ui_loot_weapon_me_soscar_v10,icon_weapon_me_tactical_knife_v10,,,,,,
10,iw8_knife_variant_10,iw8_knife,,rec|10,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_me_soscar_v11,icon_weapon_me_tactical_knife_v11,,,,,,
11,iw8_knife_variant_11,iw8_knife,,rec|11,,,,,,,,,,,,,x32#hash_c7f2a410,ui_loot_weapon_me_soscar_v12,icon_weapon_me_tactical_knife_v12,,,,,,
12,iw8_knife_variant_12,iw8_knife,,rec|12,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_me_soscar_v13,icon_weapon_me_tactical_knife_v13,,,,,,
13,iw8_knife_variant_13,iw8_knife,,rec|13,,,,,,,,,,,,,x32#hash_c7f2a420,ui_loot_weapon_me_soscar_v14,icon_weapon_me_tactical_knife_v14,,,,,,
14,iw8_knife_variant_14,iw8_knife,,rec|14,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_me_soscar_v15,icon_weapon_me_tactical_knife_v15,,,,,,
15,iw8_knife_variant_15,iw8_knife,,rec|15,,,,,,,,,,,,,x32#hash_c7f2a430,ui_loot_weapon_me_soscar_v16,icon_weapon_me_tactical_knife_v16,,,,,,
16,iw8_knife_variant_16,iw8_knife,iw8_knife_mpa,rec|0,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_me_soscar_v17,icon_weapon_me_tactical_knife_v17,,,,,,
17,iw8_knife_variant_17,iw8_knife,iw8_knife_mpa,rec|1,,,,,,,,,,,,,x32#hash_c7f2a440,ui_loot_weapon_me_soscar_v18,icon_weapon_me_tactical_knife_v18,,,,,,
18,iw8_knife_variant_18,iw8_knife,iw8_knife_mpa,rec|2,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_me_soscar_v19,icon_weapon_me_tactical_knife_v19,,,,,,
19,iw8_knife_variant_19,iw8_knife,iw8_knife_mpa,rec|3,,,,,,,,,,,,,x32#hash_c7f2a451,ui_loot_weapon_me_soscar_v20,icon_weapon_me_tactical_knife_v20,,,,,,
20,iw8_knife_variant_20,iw8_knife,iw8_knife_mpa,rec|4,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_me_soscar_v21,icon_weapon_me_tactical_knife_v21,,,,,,
21,iw8_knife_variant_21,iw8_knife,iw8_knife_mpa,rec|5,,,,,,,,,,,,,x32#hash_c7f2a462,ui_loot_weapon_me_soscar_v22,icon_weapon_me_tactical_knife_v22,,,,,,
22,iw8_knife_variant_22,iw8_knife,iw8_knife_mpa,rec|6,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_me_soscar_v23,icon_weapon_me_tactical_knife_v23,,,,,,
23,iw8_knife_variant_23,iw8_knife,iw8_knife_mpa,rec|7,,,,,,,,,,,,,x32#hash_c7f2a473,ui_loot_weapon_me_soscar_v24,icon_weapon_me_tactical_knife_v24,,,,,,
24,iw8_knife_variant_24,iw8_knife,iw8_knife_mpa,rec|8,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_me_soscar_v25,icon_weapon_me_tactical_knife_v25,,,,,,
25,iw8_knife_variant_25,iw8_knife,iw8_knife_mpa,rec|9,,,,,,,,,,,,,x32#hash_c7f2a484,ui_loot_weapon_me_soscar_v26,icon_weapon_me_tactical_knife_v26,,,,,,
26,iw8_knife_variant_26,iw8_knife,iw8_knife_mpa,rec|10,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_me_soscar_v27,icon_weapon_me_tactical_knife_v27,,,,,,
27,iw8_knife_variant_27,iw8_knife,iw8_knife_mpa,rec|11,,,,,,,,,,,,,x32#hash_c7f2a495,ui_loot_weapon_me_soscar_v28,icon_weapon_me_tactical_knife_v12,,,,,,
