string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,xhash32,string,string,string,string,string,string,string,string
0,iw8_lm_mkilo3_variant_0,iw8_lm_mkilo3,,,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_lm_mkilo3,,,,,,,
1,iw8_lm_mkilo3_variant_1,iw8_lm_mkilo3,,rec|1 front|1 back|1 mag|1 ,,barshort|1,,,reflexmini3|10,smags|1,pistolgrip01|1,stockcust|1,,,,,x32#hash_c7f348a8,ui_loot_weapon_lm_mkilo3_v2,,,,,,,
2,iw8_lm_mkilo3_variant_2,iw8_lm_mkilo3,,rec|2 front|2 back|2 mag|2,,barlong|1,,bipod|1,,,pistolgrip03|1,,,,,,x32#hash_14c,ui_loot_weapon_lm_mkilo3_v3,,,,,,,
3,iw8_lm_mkilo3_variant_3,iw8_lm_mkilo3,iw8_lm_mkilo3_mpmtx,rec|3 front|3 back|3 mag|3,,barlong|2,laserrange|8,gripvert|6,,,pistolgrip02|1,stocks|1,,,,,x32#hash_c7f348bc,ui_loot_weapon_lm_mkilo3_v4,,,,,,,
4,iw8_lm_mkilo3_variant_4,iw8_lm_mkilo3,iw8_lm_mkilo3_mpdmb,rec|4 front|4 back|4 mag|4,,barlong|3,laserbalanced|2,bipod|2,holo|3,,,,ammomod_wound,,,,x32#hash_14c,ui_loot_weapon_lm_mkilo3_v5,,shadow,standardDis,,,,
5,iw8_lm_mkilo3_variant_5,iw8_lm_mkilo3,,rec|1 front|1 back|1 mag|1 ,,,,,,,,,,,,,x32#hash_c7f348d0,ui_loot_weapon_lm_mkilo3_v6,,,,,,,
6,iw8_lm_mkilo3_variant_6,iw8_lm_mkilo3,,rec|6 front|6 back|6 mag|6,silencer3|4,barlong|4,laserbalanced|5,,holo|4,smags|2,,,,,,,x32#hash_14c,ui_loot_weapon_lm_mkilo3_v7,,,,,,,
7,iw8_lm_mkilo3_variant_7,iw8_lm_mkilo3,,rec|1 front|1 back|1 mag|1 ,,,,,,,,,,,,,x32#hash_c7f348e4,ui_loot_weapon_lm_mkilo3_v8,,,,,,,
8,iw8_lm_mkilo3_variant_8,iw8_lm_mkilo3,,rec|1 front|1 back|1 mag|1 ,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_lm_mkilo3_v9,,,,,,,
9,iw8_lm_mkilo3_variant_9,iw8_lm_mkilo3,,rec|1 front|1 back|1 mag|1 ,,,,,,,,,,,,,x32#hash_c7f348f8,ui_loot_weapon_lm_mkilo3_v10,,,,,,,
0,iw9_lm_mkilo3_variant_0,iw9_lm_mkilo3,,,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_lm_mkilo3,,,,,,,
1,iw9_lm_mkilo3_variant_1,iw9_lm_mkilo3,,,,,,,reflex01_tall|0,,,,,,,,x32#hash_14c,ui_loot_weapon_lm_mkilo3,,,,,,,
2,iw9_lm_mkilo3_variant_2,iw9_lm_mkilo3,,,iw9_silencer01|0,,,,reflex01_tall|0,,,,,,,,x32#hash_14c,ui_loot_weapon_lm_mkilo3,,,,,,,
