string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,xhash32,string,string,string,string,string,string,string,string
0,iw8_sm_mpapa7_variant_0,iw8_sm_mpapa7,,,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_sm_mpapa7,,,,,,,
1,iw8_sm_mpapa7_variant_1,iw8_sm_mpapa7,iw8_sm_mpapa7_mpv2,rec|1 front|0 back|1 mag|1,flashhider|1,,,,reflex|3,,,,gunperk_xp,,,,x32#hash_14c,ui_loot_weapon_sm_mpapa7_v2,,,,,,,
2,iw8_sm_mpapa7_variant_2,iw8_sm_mpapa7,,rec|2 front|0 back|2 mag|2,,,,,,,,,,,,,x32#hash_c7f54b18,ui_loot_weapon_sm_mpapa7_v3,,,,,,,
3,iw8_sm_mpapa7_variant_3,iw8_sm_mpapa7,iw8_sm_mpapa7_mpv2,rec|3,,barshort|1,,,,xmags|1,pistolgrip02|1,stocks|1,fastreload,,,,x32#hash_14c,ui_loot_weapon_sm_mpapa7_v4,,,,,,,
4,iw8_sm_mpapa7_variant_4,iw8_sm_mpapa7,iw8_sm_mpapa7_mpv2,rec|4 mag|4,,barlong|0,,,acog2|1,,,stockh|1,,,,,x32#hash_c7f54b2d,ui_loot_weapon_sm_mpapa7_v5,,,,,,,
5,iw8_sm_mpapa7_variant_5,iw8_sm_mpapa7,,rec|5 front|5 mag|5,brake|6,,,gripvertpro|6,,,,stockh|2,,,,,x32#hash_14c,ui_loot_weapon_sm_mpapa7_v6,,,,,,,
6,iw8_sm_mpapa7_variant_6,iw8_sm_mpapa7,iw8_sm_mpapa7_mpv2,rec|6 front|6 back|6,,,laserrange|2,,,xmags|2,,,ammomod_wound,,,,x32#hash_c7f54b42,ui_loot_weapon_sm_mpapa7_v7,,,,,,,
7,iw8_sm_mpapa7_variant_7,iw8_sm_mpapa7,iw8_sm_mpapa7_mpv2,rec|7,,barlong|1,,,hybrid|6,xmagslrg|1,pistolgrip02|2,stocks|2,,,,,x32#hash_14c,ui_loot_weapon_sm_mpapa7_v8,,,,,,,
8,iw8_sm_mpapa7_variant_8,iw8_sm_mpapa7,iw8_sm_mpapa7_mpv2,rec|8 mag|8,silencer|3,barlong|2,,gripcust|3,hybrid3|3,,,stockh|3,,,,,x32#hash_c7f54b57,ui_loot_weapon_sm_mpapa7_v9,,,,,,,
9,iw8_sm_mpapa7_variant_9,iw8_sm_mpapa7,iw8_sm_mpapa7_mpv2,rec|9 mag|9,,barshort|2,laserbalanced|8,gripvert|6,,,pistolgrip02|3,stockno|1,,,,,x32#hash_c7f54a70,ui_loot_weapon_sm_mpapa7_v10,,,,,,,
