string,string,string,string,string,string,string,string,int
iw8_ar_falpha,frontpiece,0,loadout_showcase_preview_barrel_alt1,,9,0,,0
iw8_ar_falpha,magazine,0,loadout_showcase_preview_magazine_alt1,,0,0,,0
iw8_ar_falpha,muzzle,0,loadout_showcase_preview_muzzle_alt1,,0,0,,0
iw8_ar_falpha,backpiece,0,,,-20,0,-2,0
iw8_ar_falpha,reargrip,0,loadout_showcase_preview_reargrip_alt1,,-10,10,-5,0
iw8_ar_falpha,charm,0,loadout_showcase_preview_large_charm_alt1,,,,,0
iw8_ar_falpha,sticker,0,loadout_showcase_preview_sticker_alt1,,,,,0
iw8_ar_mike4,muzzle,0,loadout_showcase_preview_muzzle_alt1,,,,,0
iw8_ar_mike4,frontpiece,0,loadout_showcase_preview_barrel_alt1,,5,0,,0
iw8_ar_mike4,magazine,0,,,0,0,-2,0
iw8_ar_mike4,backpiece,0,,,-5,0,,0
iw8_ar_mike4,extra,0,loadout_showcase_preview_laser_alt1,,,,,0
iw8_ar_akilo47,muzzle,0,loadout_showcase_preview_muzzle_alt1,,,,,0
iw8_ar_akilo47,frontpiece,0,loadout_showcase_preview_barrel_alt1,,,,,0
iw8_ar_falima,magazine,0,,,0,-5,-5,0
iw8_ar_falima,frontpiece,0,loadout_showcase_preview_barrel_alt1,,,,,0
iw8_ar_falima,muzzle,0,loadout_showcase_preview_muzzle_alt1,,,,,0
iw8_ar_falima,sticker,0,loadout_showcase_preview_sticker_alt2,,,,,0
iw8_ar_falima,charm,0,loadout_showcase_preview_reargrip,,,,,0
iw8_ar_kilo433,frontpiece,0,loadout_showcase_preview_barrel_alt1,,,,,0
iw8_ar_scharlie,magazine,0,,,0,0,-1,0
iw8_ar_scharlie,frontpiece,0,,,6,0,0,0
iw8_ar_scharlie,backpiece,0,,,-2,0,0,0
iw8_ar_scharlie,muzzle,0,loadout_showcase_preview_muzzle_alt1,,,,,0
iw8_ar_scharlie,extra,0,loadout_showcase_preview_laser_alt1,,,,,0
iw8_ar_scharlie,charm,0,loadout_showcase_preview_reargrip,,,,,0
iw8_ar_asierra12,frontpiece,0,loadout_showcase_preview_barrel_alt1,,9,0,,0
iw8_ar_asierra12,magazine,0,loadout_showcase_preview_magazine_alt1,,0,-5,-5,0
iw8_ar_asierra12,muzzle,0,loadout_showcase_preview_muzzle_alt1,,,,,0
iw8_ar_asierra12,optic,0,,,0,0,2,0
iw8_ar_asierra12,reargrip,0,loadout_showcase_preview_reargrip_alt1,,,,,0
iw8_ar_asierra12,charm,0,loadout_showcase_preview_large_charm_alt1,,,,,0
iw8_ar_asierra12,sticker,0,loadout_showcase_preview_sticker_alt3,,,,,0
iw8_ar_asierra12,undermount,0,,,-3,0,-2,0
iw8_ar_mcharlie,optic,0,,,0,0,1,0
iw8_ar_mcharlie,backpiece,0,,,-2,0,0,0
iw8_ar_mcharlie,magazine,0,,,0,0,-2,0
iw8_ar_tango21,charm,0,loadout_showcase_preview_charm_alt3,,,,,0
iw8_ar_tango21,extra,0,loadout_showcase_preview_laser_alt1,,,,,0
iw8_ar_tango21,magazine,0,loadout_showcase_preview_magazine_alt1,,,,,0
iw8_ar_tango21,frontpiece,0,loadout_showcase_preview_barrel_alt1,,,,,0
iw8_ar_tango21,reargrip,0,loadout_showcase_preview_reargrip_alt1,,0,6.5,0,0
iw8_ar_tango21,undermount,0,,,-2,0,0,0
iw8_ar_sierra552,frontpiece,0,loadout_showcase_preview_barrel_alt1,,0,0,,0
iw8_ar_sierra552,extra,0,loadout_showcase_preview_laser_alt1,,,,,0
iw8_ar_sierra552,backpiece,0,loadout_showcase_preview_stock_alt2,,0,0,,0
iw8_ar_sierra552,muzzle,0,loadout_showcase_preview_muzzle_alt1,,0,0,,0
iw8_ar_sierra552,charm,0,loadout_showcase_preview_large_charm_alt1,,0,0,,0
iw8_sm_mpapa5,undermount,0,,,-3,0,0,0
iw8_sm_mpapa5,extra,0,loadout_showcase_preview_laser_alt2,,,,,0
iw8_sm_mpapa5,charm,0,loadout_showcase_preview_charm_alt3,,,,,0
iw8_sm_mpapa7,extra,0,loadout_showcase_preview_laser_alt1,,,,,0
iw8_sm_mpapa7,backpiece,0,loadout_showcase_preview_stock_alt1,,,,,0
iw8_sm_mpapa7,frontpiece,0,,,3,0,1,0
iw8_sm_mpapa7,magazine,0,,,0,0,-4,0
iw8_sm_mpapa7,reargrip,0,loadout_showcase_preview_reargrip_alt1,,,,,0
iw8_sm_mpapa7,sticker,0,loadout_showcase_preview_sticker_alt2,,,,,0
iw8_sm_augolf,frontpiece,0,loadout_showcase_preview_barrel_alt1,,,,,0
iw8_sm_augolf,undermount,0,,,-3,0,0,0
iw8_sm_augolf,magazine,0,loadout_showcase_preview_magazine_alt1,,0,0,-2,0
iw8_sm_augolf,muzzle,0,loadout_showcase_preview_muzzle_alt1,,0,0,0,0
iw8_sm_augolf,reargrip,0,loadout_showcase_preview_reargrip_alt1,,,,,0
iw8_sm_augolf,sticker,0,loadout_showcase_preview_sticker_alt2,,,,,0
iw8_sm_augolf,charm,0,loadout_showcase_preview_underbarrel,,,,,0
iw8_sm_papa90,extra,0,loadout_showcase_preview_laser_alt1,,,,,0
iw8_sm_papa90,undermount,0,,,-15,0,0,0
iw8_sm_papa90,reargrip,0,loadout_showcase_preview_reargrip_alt1,,,,,0
iw8_sm_papa90,frontpiece,0,,,0,0,0,0
iw8_sm_papa90,magazine,0,loadout_showcase_preview_magazine_alt2,,,,,0
iw8_sm_papa90,muzzle,0,,,1.5,0,0,0
iw8_sm_papa90,backpiece,0,loadout_showcase_preview_stock_alt1,,-17,0,0,0
iw8_sm_uzulu,undermount,0,,,-1.5,0,0,0
iw8_sm_uzulu,extra,0,loadout_showcase_preview_laser_alt1,,,,,0
iw8_sm_uzulu,reargrip,0,loadout_showcase_preview_reargrip_alt1,,,,,0
iw8_sm_uzulu,sticker,0,loadout_showcase_preview_sticker_alt2,,,,,0
iw8_sm_beta,frontpiece,0,loadout_showcase_preview_barrel_alt1,,9,0,0,0
iw8_sm_beta,magazine,0,loadout_showcase_preview_underbarrel,,7,0,-2,0
iw8_sm_beta,muzzle,0,,,1.8,0,0,0
iw8_sm_beta,sticker,0,loadout_showcase_preview_sticker_alt2,,,,,0
iw8_sm_beta,charm,0,loadout_showcase_preview_charm_alt2,,,,,0
iw8_sm_smgolf45,backpiece,0,loadout_showcase_preview_stock_alt1,,,,,0
iw8_sm_smgolf45,extra,0,loadout_showcase_preview_laser_alt1,,,,,0
iw8_sm_smgolf45,frontpiece,0,loadout_showcase_preview_barrel_alt1,,,,,0
iw8_sm_smgolf45,undermount,0,,,-2,0,0,0
iw8_sm_smgolf45,magazine,0,loadout_showcase_preview_large_magazine,,,,,0
iw8_sm_smgolf45,muzzle,0,loadout_showcase_preview_muzzle_alt1,,,,,0
iw8_sm_smgolf45,reargrip,0,loadout_showcase_preview_large_reargrip,,,,,0
iw8_sm_smgolf45,sticker,0,loadout_showcase_preview_sticker,,,,,0
iw8_sm_smgolf45,optic,0,,,5.5,3,2,0
iw8_sm_smgolf45,charm,0,loadout_showcase_preview_charm_alt3,,,,,0
iw8_sh_romeo870,muzzle,0,loadout_showcase_preview_muzzle_alt1,,,,,0
iw8_sh_romeo870,charm,0,loadout_showcase_preview_charm_alt2,,,,,0
