string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,xhash32,string,string,string,string,string,string,string,string
0,iw8_lm_lima86_variant_0,iw8_lm_lima86,,,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_lm_lima86,,,,,,,
1,iw8_lm_lima86_variant_1,iw8_lm_lima86,iw8_lm_lima86_mpv2,rec|1 front|1 mag|1 ironsight|0,flashhider|3,barshort|1,,,,xmags|1,,stockl|1,fastreload,,,,x32#hash_c7f31088,ui_loot_weapon_lm_lima86_v2,,,,,,,
2,iw8_lm_lima86_variant_2,iw8_lm_lima86,,rec|2 front|2 mag|2 ,comp|5,barlong|1,,bipod|1,,xmags|2,,,,,,,x32#hash_14c,ui_loot_weapon_lm_lima86_v3,,,,,,,
3,iw8_lm_lima86_variant_3,iw8_lm_lima86,,rec|3 front|3 mag|3,,,,,acog|3,xmagslrg|1,,stockl|2,fastreload,,,,x32#hash_c7f3109c,ui_loot_weapon_lm_lima86_v4,,,,,,,
4,iw8_lm_lima86_variant_4,iw8_lm_lima86,iw8_lm_lima86_mpv2,rec|4 front|4 mag|4 ironsight|0,brake|2,barshort|2,,gripcust|7,reflex2|3,,,,,,,,x32#hash_14c,ui_loot_weapon_lm_lima86_v5,,,,,,,
5,iw8_lm_lima86_variant_5,iw8_lm_lima86,,rec|5 front|5 mag|5,,barshort|3,laserrange|3,gripangpro|5,hybrid4|1,,,,,,,,x32#hash_c7f310b0,ui_loot_weapon_lm_lima86_v6,,,,,,,
6,iw8_lm_lima86_variant_6,iw8_lm_lima86,iw8_lm_lima86_mpv2,rec|6 front|6 mag|6 ironsight|0,silencer3|3,,laserbalanced|7,gripcust|10,thermal|3,,,stockcust|2,,,,,x32#hash_14c,ui_loot_weapon_lm_lima86_v7,,,,,,,
7,iw8_lm_lima86_variant_7,iw8_lm_lima86,iw8_lm_lima86_mpv2,rec|7 front|7 mag|7 ironsight|0,,barshort|4,,gripang|7,,,pistolgrip02|1,stockcust|3,,,,,x32#hash_c7f310c4,ui_loot_weapon_lm_lima86_v8,,,,,,,
8,iw8_lm_lima86_variant_8,iw8_lm_lima86,,rec|8 front|8 mag|8,,barlong|2,,bipod|2,scope|10,,,stockcust|4,ammomod_wound,,,,x32#hash_14c,ui_loot_weapon_lm_lima86_v9,,,,,,,
9,iw8_lm_lima86_variant_9,iw8_lm_lima86,,rec|9 front|9 mag|9,,barshort|5,laserbalanced|10,gripvertpro|3,holo3|13,,,stockcust|5,,,,,x32#hash_c7f310d8,ui_loot_weapon_lm_lima86_v10,,,,,,,
10,iw8_lm_lima86_variant_10,iw8_lm_lima86,iw8_lm_lima86_mpv2,rec|10 front|10 mag|10 ironsight|0,,,,,hybrid3|3,xmags|3,,stockl|3,gunperk_fastmelee,,,,x32#hash_14c,ui_loot_weapon_lm_lima86_v11,,,,,,,
11,iw8_lm_lima86_variant_11,iw8_lm_lima86,,rec|1 front|1 mag|1,,,,,,,,,,,,,x32#hash_c7f310ec,ui_loot_weapon_lm_lima86_v12,,,,,,,
12,iw8_lm_lima86_variant_12,iw8_lm_lima86,iw8_lm_lima86_mpv2,rec|12 front|12 mag|12 ironsight|0,comp|7,,,gripcust|5,holo|12,,pistolgrip03|1,,,,,,x32#hash_14c,ui_loot_weapon_lm_lima86_v13,,,,,,,
13,iw8_lm_lima86_variant_13,iw8_lm_lima86,,rec|1 front|1 mag|1,,,,,,,,,,,,,x32#hash_c7f31100,ui_loot_weapon_lm_lima86_v14,,,,,,,
14,iw8_lm_lima86_variant_14,iw8_lm_lima86,,rec|14 front|14 mag|14,,,laserrange|11,gripvert|9,,xmagslrg|2,,,,,,,x32#hash_14c,ui_loot_weapon_lm_lima86_v15,,,,,,,
15,iw8_lm_lima86_variant_15,iw8_lm_lima86,,rec|15 front|15 mag|15,,barshort|6,,,reflex3|14,,,stockcust|6,,,,,x32#hash_c7f31114,ui_loot_weapon_lm_lima86_v16,,,,,,,
16,iw8_lm_lima86_variant_16,iw8_lm_lima86,iw8_lm_lima86_mpv2a,rec|0 front|0 mag|0 ironsight|0,comp|8,,,gripang|9,,,pistolgrip03|2,,,,,,x32#hash_14c,ui_loot_weapon_lm_lima86_v17,,,,,,,
17,iw8_lm_lima86_variant_17,iw8_lm_lima86,,rec|0 front|0 mag|0,,,,,,,,,,,,,x32#hash_c7f31128,ui_loot_weapon_lm_lima86_v18,,,,,,,
18,iw8_lm_lima86_variant_18,iw8_lm_lima86,,rec|0 front|0 mag|0,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_lm_lima86_v19,,,,,,,
19,iw8_lm_lima86_variant_19,iw8_lm_lima86,,rec|0 front|0 mag|0,,,,,,,,,,,,,x32#hash_c7f3113d,ui_loot_weapon_lm_lima86_v20,,,,,,,
20,iw8_lm_lima86_variant_20,iw8_lm_lima86,,rec|0 front|0 mag|0,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_lm_lima86_v21,,,,,,,
21,iw8_lm_lima86_variant_21,iw8_lm_lima86,,rec|0 front|0 mag|0,,,,,,,,,,,,,x32#hash_c7f31152,ui_loot_weapon_lm_lima86_v22,,,,,,,
22,iw8_lm_lima86_variant_22,iw8_lm_lima86,,rec|0 front|0 mag|0,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_lm_lima86_v23,,,,,,,
23,iw8_lm_lima86_variant_23,iw8_lm_lima86,,rec|0 front|0 mag|0,,,,,,,,,,,,,x32#hash_c7f31167,ui_loot_weapon_lm_lima86_v24,,,,,,,
